PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,55,45,100,0.55,0.45
CE_Z01_2ARI,Ceres,AriesD2,35,42,77,0.45,0.55
CE_Z01_3ARI,Ceres,AriesD3,91,69,160,0.57,0.43
CE_Z02_1TAU,Ceres,TaurusD1,91,69,160,0.57,0.43
CE_Z02_2TAU,Ceres,TaurusD2,81,75,156,0.52,0.48
CE_Z02_3TAU,Ceres,TaurusD3,87,81,168,0.52,0.48
CE_Z03_1GEM,Ceres,GeminiD1,83,65,148,0.56,0.44
CE_Z03_2GEM,Ceres,GeminiD2,62,62,124,0.5,0.5
CE_Z03_3GEM,Ceres,GeminiD3,75,79,154,0.49,0.51
CE_Z04_1CAN,Ceres,CancerD1,74,46,120,0.62,0.38
CE_Z04_2CAN,Ceres,CancerD2,24,43,67,0.36,0.64
CE_Z04_3CAN,Ceres,CancerD3,29,39,68,0.43,0.57
CE_Z05_1LEO,Ceres,LeoD1,59,71,130,0.45,0.55
CE_Z05_2LEO,Ceres,LeoD2,71,77,148,0.48,0.52
CE_Z05_3LEO,Ceres,LeoD1,32,39,71,0.45,0.55
CE_Z06_1VIR,Ceres,VirgoD1,94,62,156,0.6,0.4
CE_Z06_2VIR,Ceres,VirgoD2,65,55,120,0.54,0.46
CE_Z06_3VIR,Ceres,VirgoD3,36,35,71,0.51,0.49
CE_Z07_1LIB,Ceres,LibraD1,40,40,80,0.5,0.5
CE_Z07_2LIB,Ceres,LibraD2,42,40,82,0.51,0.49
CE_Z07_3LIB,Ceres,LibraD3,71,56,127,0.56,0.44
CE_Z08_1SCO,Ceres,ScorpioD1,48,41,89,0.54,0.46
CE_Z08_2SCO,Ceres,ScorpioD2,19,35,54,0.35,0.65
CE_Z08_3SCO,Ceres,ScorpioD3,26,26,52,0.5,0.5
CE_Z09_1SAG,Ceres,SagittariusD1,75,75,150,0.5,0.5
CE_Z09_2SAG,Ceres,SagittariusD2,42,71,113,0.37,0.63
CE_Z09_3SAG,Ceres,SagittariusD3,92,61,153,0.6,0.4
CE_Z10_1CAP,Ceres,CapricornD1,53,62,115,0.46,0.54
CE_Z10_2CAP,Ceres,CapricornD2,28,29,57,0.49,0.51
CE_Z10_3CAP,Ceres,CapricornD3,59,63,122,0.48,0.52
CE_Z11_1AQU,Ceres,AquariusD1,71,79,150,0.47,0.53
CE_Z11_2AQU,Ceres,AquariusD2,65,68,133,0.49,0.51
CE_Z11_3AQU,Ceres,AquariusD3,95,81,176,0.54,0.46
CE_Z12_1PIS,Ceres,PiscesD1,95,61,156,0.61,0.39
CE_Z12_2PIS,Ceres,PiscesD2,104,74,178,0.58,0.42
CE_Z12_3PIS,Ceres,PiscesD3,88,69,157,0.56,0.44
CH_Z01_1ARI,Chiron,AriesD1,371,396,767,0.48,0.52
CH_Z01_2ARI,Chiron,AriesD2,185,189,374,0.49,0.51
CH_Z11_1AQU,Chiron,AquariusD1,96,86,182,0.53,0.47
CH_Z11_2AQU,Chiron,AquariusD2,249,198,447,0.56,0.44
CH_Z11_3AQU,Chiron,AquariusD3,307,226,533,0.58,0.42
CH_Z12_1PIS,Chiron,PiscesD1,342,326,668,0.51,0.49
CH_Z12_2PIS,Chiron,PiscesD2,316,306,622,0.51,0.49
CH_Z12_3PIS,Chiron,PiscesD3,391,358,749,0.52,0.48
JN_Z01_1ARI,Juno,AriesD1,65,42,107,0.61,0.39
JN_Z01_2ARI,Juno,AriesD2,18,24,42,0.43,0.57
JN_Z01_3ARI,Juno,AriesD3,19,22,41,0.46,0.54
JN_Z02_1TAU,Juno,TaurusD1,25,17,42,0.6,0.4
JN_Z02_2TAU,Juno,TaurusD2,22,22,44,0.5,0.5
JN_Z02_3TAU,Juno,TaurusD3,71,61,132,0.54,0.46
JN_Z03_1GEM,Juno,GeminiD1,27,35,62,0.44,0.56
JN_Z03_2GEM,Juno,GeminiD2,16,24,40,0.4,0.6
JN_Z03_3GEM,Juno,GeminiD3,19,21,40,0.48,0.52
JN_Z04_1CAN,Juno,CancerD1,23,18,41,0.56,0.44
JN_Z04_2CAN,Juno,CancerD2,16,25,41,0.39,0.61
JN_Z04_3CAN,Juno,CancerD3,25,30,55,0.45,0.55
JN_Z05_1LEO,Juno,LeoD1,67,61,128,0.52,0.48
JN_Z05_2LEO,Juno,LeoD2,59,74,133,0.44,0.56
JN_Z05_3LEO,Juno,LeoD1,40,27,67,0.6,0.4
JN_Z06_1VIR,Juno,VirgoD1,31,36,67,0.46,0.54
JN_Z06_2VIR,Juno,VirgoD2,75,64,139,0.54,0.46
JN_Z06_3VIR,Juno,VirgoD3,90,74,164,0.55,0.45
JN_Z07_1LIB,Juno,LibraD1,73,65,138,0.53,0.47
JN_Z07_2LIB,Juno,LibraD2,135,110,245,0.55,0.45
JN_Z07_3LIB,Juno,LibraD3,127,96,223,0.57,0.43
JN_Z08_1SCO,Juno,ScorpioD1,84,84,168,0.5,0.5
JN_Z08_2SCO,Juno,ScorpioD2,94,60,154,0.61,0.39
JN_Z08_3SCO,Juno,ScorpioD3,99,74,173,0.57,0.43
JN_Z09_1SAG,Juno,SagittariusD1,96,109,205,0.47,0.53
JN_Z09_2SAG,Juno,SagittariusD2,113,122,235,0.48,0.52
JN_Z09_3SAG,Juno,SagittariusD3,128,109,237,0.54,0.46
JN_Z10_1CAP,Juno,CapricornD1,80,78,158,0.51,0.49
JN_Z10_2CAP,Juno,CapricornD2,80,84,164,0.49,0.51
JN_Z10_3CAP,Juno,CapricornD3,41,35,76,0.54,0.46
JN_Z11_1AQU,Juno,AquariusD1,77,61,138,0.56,0.44
JN_Z11_2AQU,Juno,AquariusD2,81,78,159,0.51,0.49
JN_Z11_3AQU,Juno,AquariusD3,35,35,70,0.5,0.5
JN_Z12_1PIS,Juno,PiscesD1,52,53,105,0.5,0.5
JN_Z12_2PIS,Juno,PiscesD2,68,70,138,0.49,0.51
JN_Z12_3PIS,Juno,PiscesD3,86,85,171,0.5,0.5
JU_Z01_1ARI,Jupiter,AriesD1,140,112,252,0.56,0.44
JU_Z01_2ARI,Jupiter,AriesD2,20,9,29,0.69,0.31
JU_Z01_3ARI,Jupiter,AriesD3,18,13,31,0.58,0.42
JU_Z02_1TAU,Jupiter,TaurusD1,95,89,184,0.52,0.48
JU_Z02_2TAU,Jupiter,TaurusD2,30,22,52,0.58,0.42
JU_Z02_3TAU,Jupiter,TaurusD3,9,21,30,0.3,0.7
JU_Z03_1GEM,Jupiter,GeminiD1,59,45,104,0.57,0.43
JU_Z03_2GEM,Jupiter,GeminiD2,67,67,134,0.5,0.5
JU_Z03_3GEM,Jupiter,GeminiD3,13,20,33,0.39,0.61
JU_Z04_1CAN,Jupiter,CancerD1,16,16,32,0.5,0.5
JU_Z04_2CAN,Jupiter,CancerD2,100,84,184,0.54,0.46
JU_Z04_3CAN,Jupiter,CancerD3,29,29,58,0.5,0.5
JU_Z05_1LEO,Jupiter,LeoD1,18,14,32,0.56,0.44
JU_Z05_2LEO,Jupiter,LeoD2,66,86,152,0.43,0.57
JU_Z05_3LEO,Jupiter,LeoD1,41,54,95,0.43,0.57
JU_Z06_1VIR,Jupiter,VirgoD1,14,19,33,0.42,0.58
JU_Z06_2VIR,Jupiter,VirgoD2,82,63,145,0.57,0.43
JU_Z06_3VIR,Jupiter,VirgoD3,58,47,105,0.55,0.45
JU_Z07_1LIB,Jupiter,LibraD1,19,14,33,0.58,0.42
JU_Z07_2LIB,Jupiter,LibraD2,73,72,145,0.5,0.5
JU_Z07_3LIB,Jupiter,LibraD3,58,45,103,0.56,0.44
JU_Z08_1SCO,Jupiter,ScorpioD1,41,28,69,0.59,0.41
JU_Z08_2SCO,Jupiter,ScorpioD2,103,106,209,0.49,0.51
JU_Z08_3SCO,Jupiter,ScorpioD3,69,70,139,0.5,0.5
JU_Z09_1SAG,Jupiter,SagittariusD1,35,38,73,0.48,0.52
JU_Z09_2SAG,Jupiter,SagittariusD2,193,139,332,0.58,0.42
JU_Z09_3SAG,Jupiter,SagittariusD3,62,83,145,0.43,0.57
JU_Z10_1CAP,Jupiter,CapricornD1,38,27,65,0.58,0.42
JU_Z10_2CAP,Jupiter,CapricornD2,111,132,243,0.46,0.54
JU_Z10_3CAP,Jupiter,CapricornD3,136,101,237,0.57,0.43
JU_Z11_1AQU,Jupiter,AquariusD1,31,30,61,0.51,0.49
JU_Z11_2AQU,Jupiter,AquariusD2,77,50,127,0.61,0.39
JU_Z11_3AQU,Jupiter,AquariusD3,155,141,296,0.52,0.48
JU_Z12_1PIS,Jupiter,PiscesD1,47,69,116,0.41,0.59
JU_Z12_2PIS,Jupiter,PiscesD2,39,22,61,0.64,0.36
JU_Z12_3PIS,Jupiter,PiscesD3,95,108,203,0.47,0.53
MA_Z01_1ARI,Mars,AriesD1,57,32,89,0.64,0.36
MA_Z01_2ARI,Mars,AriesD2,74,58,132,0.56,0.44
MA_Z01_3ARI,Mars,AriesD3,75,71,146,0.51,0.49
MA_Z02_1TAU,Mars,TaurusD1,51,44,95,0.54,0.46
MA_Z02_2TAU,Mars,TaurusD2,51,44,95,0.54,0.46
