PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,107,100,207,0.52,0.48
CE_VM02,Ceres,Bharani,108,92,200,0.54,0.46
CE_VM03,Ceres,Krittica,86,60,146,0.59,0.41
CE_VM04,Ceres,Rohini,81,64,145,0.56,0.44
CE_VM05,Ceres,Mrigashira,83,81,164,0.51,0.49
CE_VM06,Ceres,Ardra,60,50,110,0.55,0.45
CE_VM07,Ceres,Punavasu,29,40,69,0.42,0.58
CE_VM08,Ceres,Pushya,57,75,132,0.43,0.57
CE_VM09,Ceres,Ashlesha,74,68,142,0.52,0.48
CE_VM10,Ceres,Magha,67,71,138,0.49,0.51
CE_VM11,Ceres,PurvaPhalguni,57,73,130,0.44,0.56
CE_VM12,Ceres,UttaraPhalguni,37,30,67,0.55,0.45
CE_VM13,Ceres,Hasta,37,26,63,0.59,0.41
CE_VM14,Ceres,Chitra,88,106,194,0.45,0.55
CE_VM15,Ceres,Swati,82,77,159,0.52,0.48
CE_VM16,Ceres,Vishakha,111,84,195,0.57,0.43
CE_VM17,Ceres,Anuradha,102,89,191,0.53,0.47
CE_VM18,Ceres,Jyeshtha,99,97,196,0.51,0.49
CE_VM19,Ceres,Mula,113,84,197,0.57,0.43
CE_VM20,Ceres,PurvaAshada,55,39,94,0.59,0.41
CE_VM21,Ceres,UttaraAshada,91,96,187,0.49,0.51
CE_VM22,Ceres,Shravana,104,119,223,0.47,0.53
CE_VM23,Ceres,Danishtha,130,103,233,0.56,0.44
CE_VM24,Ceres,Shatabhisha,136,78,214,0.64,0.36
CE_VM25,Ceres,PurvaBhadrapada,99,100,199,0.5,0.5
CE_VM26,Ceres,UttaraBhadrapada,88,60,148,0.59,0.41
CE_VM27,Ceres,Revati,68,72,140,0.49,0.51
CH_VM21,Chiron,UttaraAshada,160,135,295,0.54,0.46
CH_VM22,Chiron,Shravana,323,270,593,0.54,0.46
CH_VM23,Chiron,Danishtha,363,293,656,0.55,0.45
CH_VM24,Chiron,Shatabhisha,442,414,856,0.52,0.48
CH_VM25,Chiron,PurvaBhadrapada,401,453,854,0.47,0.53
CH_VM26,Chiron,UttaraBhadrapada,502,420,922,0.54,0.46
CH_VM27,Chiron,Revati,58,49,107,0.54,0.46
JN_VM01,Juno,Aswini,31,40,71,0.44,0.56
JN_VM02,Juno,Bharani,41,44,85,0.48,0.52
JN_VM03,Juno,Krittica,95,72,167,0.57,0.43
JN_VM04,Juno,Rohini,70,55,125,0.56,0.44
JN_VM05,Juno,Mrigashira,67,67,134,0.5,0.5
JN_VM06,Juno,Ardra,38,35,73,0.52,0.48
JN_VM07,Juno,Punavasu,41,35,76,0.54,0.46
JN_VM08,Juno,Pushya,72,78,150,0.48,0.52
JN_VM09,Juno,Ashlesha,78,65,143,0.55,0.45
JN_VM10,Juno,Magha,41,46,87,0.47,0.53
JN_VM11,Juno,PurvaPhalguni,95,73,168,0.57,0.43
JN_VM12,Juno,UttaraPhalguni,101,77,178,0.57,0.43
JN_VM13,Juno,Hasta,153,120,273,0.56,0.44
JN_VM14,Juno,Chitra,164,130,294,0.56,0.44
JN_VM15,Juno,Swati,115,101,216,0.53,0.47
JN_VM16,Juno,Vishakha,117,96,213,0.55,0.45
JN_VM17,Juno,Anuradha,132,118,250,0.53,0.47
JN_VM18,Juno,Jyeshtha,169,149,318,0.53,0.47
JN_VM19,Juno,Mula,120,116,236,0.51,0.49
JN_VM20,Juno,PurvaAshada,85,92,177,0.48,0.52
JN_VM21,Juno,UttaraAshada,41,55,96,0.43,0.57
JN_VM22,Juno,Shravana,95,104,199,0.48,0.52
JN_VM23,Juno,Danishtha,50,64,114,0.44,0.56
JN_VM24,Juno,Shatabhisha,49,34,83,0.59,0.41
JN_VM25,Juno,PurvaBhadrapada,79,59,138,0.57,0.43
JN_VM26,Juno,UttaraBhadrapada,79,67,146,0.54,0.46
JN_VM27,Juno,Revati,31,42,73,0.42,0.58
JU_VM01,Jupiter,Aswini,81,63,144,0.56,0.44
JU_VM02,Jupiter,Bharani,54,51,105,0.51,0.49
JU_VM03,Jupiter,Krittica,19,22,41,0.46,0.54
JU_VM04,Jupiter,Rohini,103,104,207,0.5,0.5
JU_VM05,Jupiter,Mrigashira,14,28,42,0.33,0.67
JU_VM06,Jupiter,Ardra,61,50,111,0.55,0.45
JU_VM07,Jupiter,Punavasu,68,76,144,0.47,0.53
JU_VM08,Jupiter,Pushya,17,25,42,0.4,0.6
JU_VM09,Jupiter,Ashlesha,94,121,215,0.44,0.56
JU_VM10,Jupiter,Magha,22,22,44,0.5,0.5
JU_VM11,Jupiter,PurvaPhalguni,81,80,161,0.5,0.5
JU_VM12,Jupiter,UttaraPhalguni,54,47,101,0.53,0.47
JU_VM13,Jupiter,Hasta,136,136,272,0.5,0.5
JU_VM14,Jupiter,Chitra,120,108,228,0.53,0.47
JU_VM15,Jupiter,Swati,97,106,203,0.48,0.52
JU_VM16,Jupiter,Vishakha,170,149,319,0.53,0.47
JU_VM17,Jupiter,Anuradha,60,53,113,0.53,0.47
JU_VM18,Jupiter,Jyeshtha,223,157,380,0.59,0.41
JU_VM19,Jupiter,Mula,54,47,101,0.53,0.47
JU_VM20,Jupiter,PurvaAshada,149,127,276,0.54,0.46
JU_VM21,Jupiter,UttaraAshada,130,102,232,0.56,0.44
JU_VM22,Jupiter,Shravana,46,48,94,0.49,0.51
JU_VM23,Jupiter,Danishtha,183,157,340,0.54,0.46
JU_VM24,Jupiter,Shatabhisha,43,38,81,0.53,0.47
JU_VM25,Jupiter,PurvaBhadrapada,66,46,112,0.59,0.41
JU_VM26,Jupiter,UttaraBhadrapada,77,59,136,0.57,0.43
JU_VM27,Jupiter,Revati,27,12,39,0.69,0.31
MA_VM01,Mars,Aswini,85,73,158,0.54,0.46
MA_VM02,Mars,Bharani,109,85,194,0.56,0.44
MA_VM03,Mars,Krittica,80,79,159,0.5,0.5
MA_VM04,Mars,Rohini,66,65,131,0.5,0.5
MA_VM05,Mars,Mrigashira,102,75,177,0.58,0.42
MA_VM06,Mars,Ardra,115,84,199,0.58,0.42
MA_VM07,Mars,Punavasu,76,61,137,0.55,0.45
MA_VM08,Mars,Pushya,114,91,205,0.56,0.44
MA_VM09,Mars,Ashlesha,110,86,196,0.56,0.44
MA_VM10,Mars,Magha,85,87,172,0.49,0.51
MA_VM11,Mars,PurvaPhalguni,89,114,203,0.44,0.56
MA_VM12,Mars,UttaraPhalguni,73,92,165,0.44,0.56
MA_VM13,Mars,Hasta,97,95,192,0.51,0.49
MA_VM14,Mars,Chitra,102,91,193,0.53,0.47
MA_VM15,Mars,Swati,82,58,140,0.59,0.41
MA_VM16,Mars,Vishakha,91,74,165,0.55,0.45
MA_VM17,Mars,Anuradha,92,106,198,0.46,0.54
MA_VM18,Mars,Jyeshtha,61,58,119,0.51,0.49
MA_VM19,Mars,Mula,61,57,118,0.52,0.48
MA_VM20,Mars,PurvaAshada,66,50,116,0.57,0.43
MA_VM21,Mars,UttaraAshada,76,83,159,0.48,0.52
MA_VM22,Mars,Shravana,79,83,162,0.49,0.51
MA_VM23,Mars,Danishtha,60,50,110,0.55,0.45
MA_VM24,Mars,Shatabhisha,58,53,111,0.52,0.48
MA_VM25,Mars,PurvaBhadrapada,58,53,111,0.52,0.48
MA_VM26,Mars,UttaraBhadrapada,65,51,116,0.56,0.44
MA_VM27,Mars,Revati,97,80,177,0.55,0.45
ME_VM01,Mercury,Aswini,76,68,144,0.53,0.47
ME_VM02,Mercury,Bharani,59,66,125,0.47,0.53
ME_VM03,Mercury,Krittica,73,58,131,0.56,0.44
ME_VM04,Mercury,Rohini,74,71,145,0.51,0.49
ME_VM05,Mercury,Mrigashira,87,62,149,0.58,0.42
ME_VM06,Mercury,Ardra,93,74,167,0.56,0.44
ME_VM07,Mercury,Punavasu,71,82,153,0.46,0.54
ME_VM08,Mercury,Pushya,90,67,157,0.57,0.43
ME_VM09,Mercury,Ashlesha,92,84,176,0.52,0.48
ME_VM10,Mercury,Magha,79,55,134,0.59,0.41
ME_VM11,Mercury,PurvaPhalguni,75,71,146,0.51,0.49
ME_VM12,Mercury,UttaraPhalguni,77,71,148,0.52,0.48
ME_VM13,Mercury,Hasta,88,81,169,0.52,0.48
ME_VM14,Mercury,Chitra,95,91,186,0.51,0.49
ME_VM15,Mercury,Swati,95,100,195,0.49,0.51
ME_VM16,Mercury,Vishakha,96,92,188,0.51,0.49
ME_VM17,Mercury,Anuradha,84,88,172,0.49,0.51
ME_VM18,Mercury,Jyeshtha,92,78,170,0.54,0.46
ME_VM19,Mercury,Mula,86,73,159,0.54,0.46
ME_VM20,Mercury,PurvaAshada,72,71,143,0.5,0.5
ME_VM21,Mercury,UttaraAshada,78,66,144,0.54,0.46
ME_VM22,Mercury,Shravana,78,82,160,0.49,0.51
ME_VM23,Mercury,Danishtha,104,74,178,0.58,0.42
ME_VM24,Mercury,Shatabhisha,88,80,168,0.52,0.48
ME_VM25,Mercury,PurvaBhadrapada,80,92,172,0.47,0.53
ME_VM26,Mercury,UttaraBhadrapada,87,72,159,0.55,0.45
ME_VM27,Mercury,Revati,80,65,145,0.55,0.45
MO_VM01,Moon,Aswini,86,75,161,0.53,0.47
MO_VM02,Moon,Bharani,87,72,159,0.55,0.45
MO_VM03,Moon,Krittica,77,77,154,0.5,0.5
MO_VM04,Moon,Rohini,89,74,163,0.55,0.45
MO_VM05,Moon,Mrigashira,66,90,156,0.42,0.58
MO_VM06,Moon,Ardra,85,76,161,0.53,0.47
MO_VM07,Moon,Punavasu,89,71,160,0.56,0.44
MO_VM08,Moon,Pushya,78,77,155,0.5,0.5
MO_VM09,Moon,Ashlesha,87,71,158,0.55,0.45
MO_VM10,Moon,Magha,84,79,163,0.52,0.48
MO_VM11,Moon,PurvaPhalguni,82,78,160,0.51,0.49
MO_VM12,Moon,UttaraPhalguni,78,77,155,0.5,0.5
MO_VM13,Moon,Hasta,76,83,159,0.48,0.52
MO_VM14,Moon,Chitra,84,72,156,0.54,0.46
MO_VM15,Moon,Swati,100,61,161,0.62,0.38
MO_VM16,Moon,Vishakha,84,71,155,0.54,0.46
MO_VM17,Moon,Anuradha,88,68,156,0.56,0.44
MO_VM18,Moon,Jyeshtha,77,83,160,0.48,0.52
MO_VM19,Moon,Mula,88,69,157,0.56,0.44
MO_VM20,Moon,PurvaAshada,85,75,160,0.53,0.47
MO_VM21,Moon,UttaraAshada,75,83,158,0.47,0.53
MO_VM22,Moon,Shravana,77,85,162,0.48,0.52
MO_VM23,Moon,Danishtha,77,85,162,0.48,0.52
MO_VM24,Moon,Shatabhisha,87,73,160,0.54,0.46
MO_VM25,Moon,PurvaBhadrapada,87,71,158,0.55,0.45
MO_VM26,Moon,UttaraBhadrapada,91,66,157,0.58,0.42
MO_VM27,Moon,Revati,85,72,157,0.54,0.46
NE_VM22,Neptune,Shravana,169,138,307,0.55,0.45
NE_VM23,Neptune,Danishtha,829,691,1520,0.55,0.45
NE_VM24,Neptune,Shatabhisha,743,774,1517,0.49,0.51
NE_VM25,Neptune,PurvaBhadrapada,508,431,939,0.54,0.46
NN_VM01,NNode,Aswini,37,46,83,0.45,0.55
NN_VM03,NNode,Krittica,20,14,34,0.59,0.41
NN_VM04,NNode,Rohini,90,85,175,0.51,0.49
NN_VM05,NNode,Mrigashira,100,73,173,0.58,0.42
NN_VM06,NNode,Ardra,98,76,174,0.56,0.44
NN_VM07,NNode,Punavasu,95,79,174,0.55,0.45
NN_VM08,NNode,Pushya,88,85,173,0.51,0.49
NN_VM09,NNode,Ashlesha,80,93,173,0.46,0.54
NN_VM10,NNode,Magha,94,79,173,0.54,0.46
NN_VM11,NNode,PurvaPhalguni,87,89,176,0.49,0.51
NN_VM12,NNode,UttaraPhalguni,90,83,173,0.52,0.48
NN_VM13,NNode,Hasta,73,99,172,0.42,0.58
NN_VM14,NNode,Chitra,76,99,175,0.43,0.57
NN_VM15,NNode,Swati,92,81,173,0.53,0.47
NN_VM16,NNode,Vishakha,73,98,171,0.43,0.57
NN_VM17,NNode,Anuradha,93,82,175,0.53,0.47
NN_VM18,NNode,Jyeshtha,94,80,174,0.54,0.46
NN_VM19,NNode,Mula,107,66,173,0.62,0.38
NN_VM20,NNode,PurvaAshada,93,82,175,0.53,0.47
NN_VM21,NNode,UttaraAshada,97,76,173,0.56,0.44
NN_VM22,NNode,Shravana,86,88,174,0.49,0.51
NN_VM23,NNode,Danishtha,97,76,173,0.56,0.44
NN_VM24,NNode,Shatabhisha,100,74,174,0.57,0.43
NN_VM25,NNode,PurvaBhadrapada,91,81,172,0.53,0.47
NN_VM26,NNode,UttaraBhadrapada,99,74,173,0.57,0.43
NN_VM27,NNode,Revati,99,76,175,0.57,0.43
