
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-08  0.37   Ceres     Direct 508  492  1000     0.51      0.49
 2: 2021-02-08  0.04  Chiron     Direct 337  329   666     0.51      0.49
 3: 2021-02-08  0.25    Juno     Direct 506  523  1029     0.49      0.51
 4: 2021-02-08  0.24 Jupiter     Direct 467  439   906     0.52      0.48
 5: 2021-02-08  0.55    Mars     Direct 593  586  1179     0.50      0.50
 6: 2021-02-08 -1.18 Mercury Retrograde 114  131   245     0.47      0.53
 7: 2021-02-08 13.84    Moon     Direct 663  672  1335     0.50      0.50
 8: 2021-02-08  0.03 Neptune     Direct 321  309   630     0.51      0.49
 9: 2021-02-08  1.00   NNode     Direct 663  672  1335     0.50      0.50
10: 2021-02-08  0.34  Pallas     Direct 480  507   987     0.49      0.51
11: 2021-02-08  0.03  Pholus     Direct 353  327   680     0.52      0.48
12: 2021-02-08  0.03   Pluto     Direct 345  321   666     0.52      0.48
13: 2021-02-08  0.12  Saturn     Direct 400  363   763     0.52      0.48
14: 2021-02-08  1.00   SNode     Direct 663  672  1335     0.50      0.50
15: 2021-02-08  1.01     Sun     Direct 663  672  1335     0.50      0.50
16: 2021-02-08  0.02  Uranus     Direct 324  358   682     0.48      0.52
17: 2021-02-08  1.25   Venus     Direct 603  626  1229     0.49      0.51
18: 2021-02-08 -0.15   Vesta Retrograde  88  105   193     0.46      0.54

DAILY PLANET ZODIAC SIGN POSITION:

    pID       Date  Planet     ZodSign Buy Sell DaysN BuyDays% SellDays%
 1:  CE 2021-02-08   Ceres      Pisces 128  113   241     0.53      0.47
 2:  CH 2021-02-08  Chiron       Aries 428  443   871     0.49      0.51
 3:  JN 2021-02-08    Juno Sagittarius  23   22    45     0.51      0.49
 4:  JU 2021-02-08 Jupiter    Aquarius  22   22    44     0.50      0.50
 5:  MA 2021-02-08    Mars      Taurus  43   28    71     0.61      0.39
 6:  ME 2021-02-08 Mercury    Aquarius  44   45    89     0.49      0.51
 7:  MO 2021-02-08    Moon   Capricorn  58   61   119     0.49      0.51
 8:  NE 2021-02-08 Neptune      Pisces 663  672  1335     0.50      0.50
 9:  NN 2021-02-08   NNode      Gemini 121  118   239     0.51      0.49
10:  PA 2021-02-08  Pallas    Aquarius  48   41    89     0.54      0.46
11:  PH 2021-02-08  Pholus   Capricorn 413  427   840     0.49      0.51
12:  PL 2021-02-08   Pluto   Capricorn 663  672  1335     0.50      0.50
13:  SA 2021-02-08  Saturn    Aquarius  77   69   146     0.53      0.47
14:  SN 2021-02-08   SNode Sagittarius 121  118   239     0.51      0.49
15:  SU 2021-02-08     Sun    Aquarius  51   50   101     0.50      0.50
16:  UR 2021-02-08  Uranus      Taurus 434  435   869     0.50      0.50
17:  VE 2021-02-08   Venus    Aquarius  39   33    72     0.54      0.46
18:  VS 2021-02-08   Vesta       Virgo  90   75   165     0.55      0.45

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-08    0.23   0.00   0.51         0      23        20       24    Mars   NNode  SemiSextile   8   16    24     0.33      0.67
 2: 2021-02-08    0.23   0.00   0.51         0      23        20       24    Mars   SNode     Quincunx   8   16    24     0.33      0.67
 3: 2021-02-08    0.31   0.00   0.67         0      23        10       24 Mercury  Pholus   SemiSquare  20   12    32     0.62      0.38
 4: 2021-02-08    0.36   0.00   0.82         0      23        19       24 Mercury   Vesta     Quincunx   5    8    13     0.38      0.62
 5: 2021-02-08    0.98   0.00   1.72         6      12         9        7    Moon  Uranus        Trine  42   55    97     0.43      0.57
 6: 2021-02-08    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 663  672  1335     0.50      0.50
 7: 2021-02-08    0.30   0.00   0.68         0      23         9       24     Sun   Vesta     Quincunx   9    6    15     0.60      0.40
 8: 2021-02-08    0.57   0.02   1.26         0      23        14       24 Mercury     Sun  Conjunction  33   50    83     0.40      0.60
 9: 2021-02-08    0.41   0.02   0.88         0      23         2       24     Sun Neptune  SemiSextile  11   15    26     0.42      0.58
10: 2021-02-08    0.33   0.02   0.76         0      23        19       24     Sun  Pholus   SemiSquare  14   16    30     0.47      0.53
11: 2021-02-08    0.62   0.03   1.20         0      23        23       24 Mercury Neptune  SemiSextile  15   19    34     0.44      0.56
12: 2021-02-08    0.70   0.03   1.43         0      23         1       24 Mercury  Pallas  Conjunction  19   16    35     0.54      0.46
13: 2021-02-08    0.96   0.03   1.70        17      23        20        7    Moon   Ceres     Quintile  41   55    96     0.43      0.57
14: 2021-02-08    0.82   0.03   1.64        20      23        23        4    Moon  Pallas SemiQuintile  41   55    96     0.43      0.57
15: 2021-02-08    0.92   0.04   1.65         2       8         5        7    Moon     Sun   SemiSquare  40   51    91     0.44      0.56
16: 2021-02-08    0.07   0.04   0.11         0      23        23       24  Saturn  Chiron      Sextile   8    9    17     0.47      0.53
17: 2021-02-08    0.98   0.05   1.75         4      10         7        7    Moon Jupiter SemiQuintile  41   55    96     0.43      0.57
18: 2021-02-08    0.99   0.06   1.77         7      13        10        7    Moon Neptune     Quintile  47   56   103     0.46      0.54
19: 2021-02-08    0.99   0.06   1.78         3       9         6        7    Moon  Pholus  Conjunction  23   26    49     0.47      0.53
20: 2021-02-08    0.91   0.06   1.62         9      15        12        7    Moon   Venus  SemiSextile  44   49    93     0.47      0.53
21: 2021-02-08    0.97   0.07   1.76         4      10         7        7    Moon  Pallas   SemiSquare  54   42    96     0.56      0.44
22: 2021-02-08    0.24   0.08   0.40         0      23        23       24   Ceres   Pluto      Sextile   4    8    12     0.33      0.67
23: 2021-02-08    0.72   0.09   1.51        19      23        22        5    Moon     Sun SemiQuintile  42   52    94     0.45      0.55
24: 2021-02-08    0.91   0.09   1.84         0       5         2        6    Moon   Vesta    BiSeptile  43   53    96     0.45      0.55
25: 2021-02-08    0.93   0.13   1.73         4       9         6        6    Moon Mercury   SemiSquare  42   51    93     0.45      0.55
26: 2021-02-08    0.92   0.18   1.67         0      23        NA       24 Mercury   Ceres SemiQuintile  31   42    73     0.42      0.58
