PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,1170,1071,2241,0.52,0.48
CE_RET,Ceres,Retrograde,351,299,650,0.54,0.46
CE_STA,Ceres,Stationary,51,55,106,0.48,0.52
CH_DIR,Chiron,Direct,859,790,1649,0.52,0.48
CH_RET,Chiron,Retrograde,630,547,1177,0.54,0.46
CH_STA,Chiron,Stationary,83,88,171,0.49,0.51
JN_DIR,Juno,Direct,1209,1082,2291,0.53,0.47
JN_RET,Juno,Retrograde,306,287,593,0.52,0.48
JN_STA,Juno,Stationary,57,56,113,0.5,0.5
JU_DIR,Jupiter,Direct,1059,927,1986,0.53,0.47
JU_RET,Jupiter,Retrograde,459,417,876,0.52,0.48
JU_STA,Jupiter,Stationary,54,81,135,0.4,0.6
MA_DIR,Mars,Direct,1374,1260,2634,0.52,0.48
MA_RET,Mars,Retrograde,166,125,291,0.57,0.43
MA_STA,Mars,Stationary,32,40,72,0.44,0.56
ME_DIR,Mercury,Direct,1217,1114,2331,0.52,0.48
ME_RET,Mercury,Retrograde,306,268,574,0.53,0.47
ME_STA,Mercury,Stationary,49,43,92,0.53,0.47
MO_DIR,Moon,Direct,1572,1425,2997,0.52,0.48
NE_DIR,Neptune,Direct,801,737,1538,0.52,0.48
NE_RET,Neptune,Retrograde,621,541,1162,0.53,0.47
NE_STA,Neptune,Stationary,150,147,297,0.51,0.49
NN_DIR,NNode,Direct,1572,1425,2997,0.52,0.48
PA_DIR,Pallas,Direct,1185,1089,2274,0.52,0.48
PA_RET,Pallas,Retrograde,350,286,636,0.55,0.45
PA_STA,Pallas,Stationary,37,50,87,0.43,0.57
PH_DIR,Pholus,Direct,819,735,1554,0.53,0.47
PH_RET,Pholus,Retrograde,635,580,1215,0.52,0.48
PH_STA,Pholus,Stationary,118,110,228,0.52,0.48
PL_DIR,Pluto,Direct,810,727,1537,0.53,0.47
PL_RET,Pluto,Retrograde,598,565,1163,0.51,0.49
PL_STA,Pluto,Stationary,164,133,297,0.55,0.45
SA_DIR,Saturn,Direct,908,823,1731,0.52,0.48
SA_RET,Saturn,Retrograde,562,515,1077,0.52,0.48
SA_STA,Saturn,Stationary,102,87,189,0.54,0.46
SN_DIR,SNode,Direct,1572,1425,2997,0.52,0.48
SU_DIR,Sun,Direct,1572,1425,2997,0.52,0.48
UR_DIR,Uranus,Direct,867,785,1652,0.52,0.48
UR_RET,Uranus,Retrograde,596,543,1139,0.52,0.48
UR_STA,Uranus,Stationary,109,97,206,0.53,0.47
VE_DIR,Venus,Direct,1425,1283,2708,0.53,0.47
VE_RET,Venus,Retrograde,122,102,224,0.54,0.46
VE_STA,Venus,Stationary,25,40,65,0.38,0.62
VS_DIR,Vesta,Direct,1243,1125,2368,0.52,0.48
VS_RET,Vesta,Retrograde,289,254,543,0.53,0.47
VS_STA,Vesta,Stationary,40,46,86,0.47,0.53
