PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",264,279,543,0.49,0.51,CAR
"CAR_(6,8]",Cardinal,"(6,8]",491,389,880,0.56,0.44,CAR
"CAR_(8,14]",Cardinal,"(8,14]",251,245,496,0.51,0.49,CAR
"CAR_[0,5]",Cardinal,"[0,5]",571,542,1113,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",299,243,542,0.55,0.45,FIX
"FIX_(6,7]",Fixed,"(6,7]",175,181,356,0.49,0.51,FIX
"FIX_(7,14]",Fixed,"(7,14]",176,175,351,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",927,856,1783,0.52,0.48,FIX
"MUT_(4,6]",Mutable,"(4,6]",571,514,1085,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",304,312,616,0.49,0.51,MUT
"MUT_(7,13]",Mutable,"(7,13]",471,426,897,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",231,203,434,0.53,0.47,MUT
