PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM1,Ceres,Saratan,236,253,489,0.48,0.52
CE_AM10,Ceres,Gabha,183,174,357,0.51,0.49
CE_AM11,Ceres,Zubra,278,259,537,0.52,0.48
CE_AM12,Ceres,Sarfa,176,173,349,0.5,0.5
CE_AM13,Ceres,Auwa,209,207,416,0.5,0.5
CE_AM14,Ceres,Simak,156,176,332,0.47,0.53
CE_AM15,Ceres,Gafr,196,211,407,0.48,0.52
CE_AM16,Ceres,Zubana,196,177,373,0.53,0.47
CE_AM17,Ceres,Iklik,205,177,382,0.54,0.46
CE_AM18,Ceres,Qualb,191,230,421,0.45,0.55
CE_AM19,Ceres,Saula,245,217,462,0.53,0.47
CE_AM2,Ceres,Butain,283,260,543,0.52,0.48
CE_AM20,Ceres,Na'a'im,302,261,563,0.54,0.46
CE_AM21,Ceres,Balda,248,210,458,0.54,0.46
CE_AM22,Ceres,Dabih,237,242,479,0.49,0.51
CE_AM23,Ceres,Bula,256,223,479,0.53,0.47
CE_AM24,Ceres,Su'ud,246,242,488,0.5,0.5
CE_AM25,Ceres,Ahbija,253,233,486,0.52,0.48
CE_AM26,Ceres,Muqaddam,308,294,602,0.51,0.49
CE_AM27,Ceres,Mu'ahhar,309,285,594,0.52,0.48
CE_AM28,Ceres,Risa,274,224,498,0.55,0.45
CE_AM3,Ceres,Turaija,297,271,568,0.52,0.48
CE_AM4,Ceres,Dabaran,225,231,456,0.49,0.51
CE_AM5,Ceres,Haq'a,221,228,449,0.49,0.51
CE_AM6,Ceres,Han'a,234,209,443,0.53,0.47
CE_AM7,Ceres,Dira,209,206,415,0.5,0.5
CE_AM8,Ceres,Natra,186,198,384,0.48,0.52
CE_AM9,Ceres,Tarf(a),242,213,455,0.53,0.47
CH_AM1,Chiron,Saratan,570,532,1102,0.52,0.48
CH_AM10,Chiron,Gabha,144,136,280,0.51,0.49
CH_AM11,Chiron,Zubra,113,118,231,0.49,0.51
CH_AM12,Chiron,Sarfa,104,94,198,0.53,0.47
CH_AM13,Chiron,Auwa,110,77,187,0.59,0.41
CH_AM14,Chiron,Simak,127,115,242,0.52,0.48
CH_AM15,Chiron,Gafr,95,90,185,0.51,0.49
CH_AM16,Chiron,Zubana,61,66,127,0.48,0.52
CH_AM17,Chiron,Iklik,136,100,236,0.58,0.42
CH_AM18,Chiron,Qualb,125,122,247,0.51,0.49
CH_AM19,Chiron,Saula,124,129,253,0.49,0.51
CH_AM2,Chiron,Butain,494,463,957,0.52,0.48
CH_AM20,Chiron,Na'a'im,102,144,246,0.41,0.59
CH_AM21,Chiron,Balda,140,142,282,0.5,0.5
CH_AM22,Chiron,Dabih,159,158,317,0.5,0.5
CH_AM23,Chiron,Bula,234,181,415,0.56,0.44
CH_AM24,Chiron,Su'ud,260,223,483,0.54,0.46
CH_AM25,Chiron,Ahbija,305,315,620,0.49,0.51
CH_AM26,Chiron,Muqaddam,344,311,655,0.53,0.47
CH_AM27,Chiron,Mu'ahhar,415,402,817,0.51,0.49
CH_AM28,Chiron,Risa,485,420,905,0.54,0.46
CH_AM3,Chiron,Turaija,421,398,819,0.51,0.49
CH_AM4,Chiron,Dabaran,374,384,758,0.49,0.51
CH_AM5,Chiron,Haq'a,314,361,675,0.47,0.53
CH_AM6,Chiron,Han'a,272,260,532,0.51,0.49
CH_AM7,Chiron,Dira,235,194,429,0.55,0.45
CH_AM8,Chiron,Natra,197,173,370,0.53,0.47
CH_AM9,Chiron,Tarf(a),141,176,317,0.44,0.56
JN_AM1,Juno,Saratan,184,157,341,0.54,0.46
JN_AM10,Juno,Gabha,174,149,323,0.54,0.46
JN_AM11,Juno,Zubra,187,187,374,0.5,0.5
JN_AM12,Juno,Sarfa,215,210,425,0.51,0.49
JN_AM13,Juno,Auwa,225,251,476,0.47,0.53
JN_AM14,Juno,Simak,309,246,555,0.56,0.44
JN_AM15,Juno,Gafr,332,324,656,0.51,0.49
JN_AM16,Juno,Zubana,378,350,728,0.52,0.48
JN_AM17,Juno,Iklik,365,329,694,0.53,0.47
JN_AM18,Juno,Qualb,330,369,699,0.47,0.53
JN_AM19,Juno,Saula,367,353,720,0.51,0.49
JN_AM2,Juno,Butain,148,138,286,0.52,0.48
JN_AM20,Juno,Na'a'im,374,333,707,0.53,0.47
JN_AM21,Juno,Balda,289,347,636,0.45,0.55
JN_AM22,Juno,Dabih,318,260,578,0.55,0.45
JN_AM23,Juno,Bula,292,276,568,0.51,0.49
JN_AM24,Juno,Su'ud,235,249,484,0.49,0.51
JN_AM25,Juno,Ahbija,217,225,442,0.49,0.51
JN_AM26,Juno,Muqaddam,221,193,414,0.53,0.47
JN_AM27,Juno,Mu'ahhar,189,192,381,0.5,0.5
JN_AM28,Juno,Risa,159,177,336,0.47,0.53
JN_AM3,Juno,Turaija,157,139,296,0.53,0.47
JN_AM4,Juno,Dabaran,141,138,279,0.51,0.49
JN_AM5,Juno,Haq'a,187,159,346,0.54,0.46
JN_AM6,Juno,Han'a,144,113,257,0.56,0.44
JN_AM7,Juno,Dira,150,112,262,0.57,0.43
JN_AM8,Juno,Natra,171,150,321,0.53,0.47
JN_AM9,Juno,Tarf(a),143,158,301,0.48,0.52
JU_AM1,Jupiter,Saratan,122,99,221,0.55,0.45
JU_AM10,Jupiter,Gabha,211,214,425,0.5,0.5
JU_AM11,Jupiter,Zubra,295,266,561,0.53,0.47
JU_AM12,Jupiter,Sarfa,128,156,284,0.45,0.55
JU_AM13,Jupiter,Auwa,334,308,642,0.52,0.48
JU_AM14,Jupiter,Simak,159,155,314,0.51,0.49
JU_AM15,Jupiter,Gafr,301,247,548,0.55,0.45
JU_AM16,Jupiter,Zubana,260,233,493,0.53,0.47
JU_AM17,Jupiter,Iklik,273,285,558,0.49,0.51
JU_AM18,Jupiter,Qualb,363,294,657,0.55,0.45
JU_AM19,Jupiter,Saula,204,239,443,0.46,0.54
JU_AM2,Jupiter,Butain,252,191,443,0.57,0.43
JU_AM20,Jupiter,Na'a'im,367,345,712,0.52,0.48
JU_AM21,Jupiter,Balda,240,180,420,0.57,0.43
JU_AM22,Jupiter,Dabih,280,320,600,0.47,0.53
JU_AM23,Jupiter,Bula,280,289,569,0.49,0.51
JU_AM24,Jupiter,Su'ud,197,183,380,0.52,0.48
JU_AM25,Jupiter,Ahbija,313,274,587,0.53,0.47
JU_AM26,Jupiter,Muqaddam,142,126,268,0.53,0.47
JU_AM27,Jupiter,Mu'ahhar,187,182,369,0.51,0.49
JU_AM28,Jupiter,Risa,277,269,546,0.51,0.49
JU_AM3,Jupiter,Turaija,251,244,495,0.51,0.49
JU_AM4,Jupiter,Dabaran,106,112,218,0.49,0.51
JU_AM5,Jupiter,Haq'a,237,250,487,0.49,0.51
JU_AM6,Jupiter,Han'a,251,234,485,0.52,0.48
