PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,5022,4753,9775,0.51,0.49
CE_RET,Ceres,Retrograde,1338,1334,2672,0.5,0.5
CE_STA,Ceres,Stationary,246,197,443,0.56,0.44
CH_DIR,Chiron,Direct,3782,3673,7455,0.51,0.49
CH_RET,Chiron,Retrograde,2536,2289,4825,0.53,0.47
CH_STA,Chiron,Stationary,288,322,610,0.47,0.53
JN_DIR,Juno,Direct,4958,4761,9719,0.51,0.49
JN_RET,Juno,Retrograde,1377,1290,2667,0.52,0.48
JN_STA,Juno,Stationary,271,233,504,0.54,0.46
JU_DIR,Jupiter,Direct,4327,4139,8466,0.51,0.49
JU_RET,Jupiter,Retrograde,1974,1847,3821,0.52,0.48
JU_STA,Jupiter,Stationary,305,298,603,0.51,0.49
MA_DIR,Mars,Direct,5848,5555,11403,0.51,0.49
MA_RET,Mars,Retrograde,612,587,1199,0.51,0.49
MA_STA,Mars,Stationary,146,142,288,0.51,0.49
ME_DIR,Mercury,Direct,5132,4890,10022,0.51,0.49
ME_RET,Mercury,Retrograde,1251,1219,2470,0.51,0.49
ME_STA,Mercury,Stationary,223,175,398,0.56,0.44
MO_DIR,Moon,Direct,6606,6284,12890,0.51,0.49
NE_DIR,Neptune,Direct,3427,3143,6570,0.52,0.48
NE_RET,Neptune,Retrograde,2533,2501,5034,0.5,0.5
NE_STA,Neptune,Stationary,646,640,1286,0.5,0.5
NN_DIR,NNode,Direct,6606,6284,12890,0.51,0.49
PA_DIR,Pallas,Direct,4952,4653,9605,0.52,0.48
PA_RET,Pallas,Retrograde,1441,1438,2879,0.5,0.5
PA_STA,Pallas,Stationary,213,193,406,0.52,0.48
PH_DIR,Pholus,Direct,3663,3581,7244,0.51,0.49
PH_RET,Pholus,Retrograde,2560,2359,4919,0.52,0.48
PH_STA,Pholus,Stationary,383,344,727,0.53,0.47
PL_DIR,Pluto,Direct,3446,3229,6675,0.52,0.48
PL_RET,Pluto,Retrograde,2502,2439,4941,0.51,0.49
PL_STA,Pluto,Stationary,658,616,1274,0.52,0.48
SA_DIR,Saturn,Direct,3977,3672,7649,0.52,0.48
SA_RET,Saturn,Retrograde,2222,2240,4462,0.5,0.5
SA_STA,Saturn,Stationary,407,372,779,0.52,0.48
SN_DIR,SNode,Direct,6606,6284,12890,0.51,0.49
SU_DIR,Sun,Direct,6606,6284,12890,0.51,0.49
UR_DIR,Uranus,Direct,3649,3414,7063,0.52,0.48
UR_RET,Uranus,Retrograde,2513,2490,5003,0.5,0.5
UR_STA,Uranus,Stationary,444,380,824,0.54,0.46
VE_DIR,Venus,Direct,6023,5702,11725,0.51,0.49
VE_RET,Venus,Retrograde,465,458,923,0.5,0.5
VE_STA,Venus,Stationary,118,124,242,0.49,0.51
VS_DIR,Vesta,Direct,5204,4957,10161,0.51,0.49
VS_RET,Vesta,Retrograde,1208,1114,2322,0.52,0.48
VS_STA,Vesta,Stationary,194,213,407,0.48,0.52
