PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,2150,2081,4231,0.51,0.49
CE_FIX,Ceres,Fixed,2127,2088,4215,0.5,0.5
CE_MUT,Ceres,Mutable,2343,2122,4465,0.52,0.48
CH_CAR,Chiron,Cardinal,2328,2141,4469,0.52,0.48
CH_FIX,Chiron,Fixed,2080,2058,4138,0.5,0.5
CH_MUT,Chiron,Mutable,2212,2092,4304,0.51,0.49
JN_CAR,Juno,Cardinal,2259,2111,4370,0.52,0.48
JN_FIX,Juno,Fixed,2235,2128,4363,0.51,0.49
JN_MUT,Juno,Mutable,2126,2052,4178,0.51,0.49
JU_CAR,Jupiter,Cardinal,2212,2110,4322,0.51,0.49
JU_FIX,Jupiter,Fixed,2212,2092,4304,0.51,0.49
JU_MUT,Jupiter,Mutable,2196,2089,4285,0.51,0.49
MA_CAR,Mars,Cardinal,2239,2127,4366,0.51,0.49
MA_FIX,Mars,Fixed,2190,2161,4351,0.5,0.5
MA_MUT,Mars,Mutable,2191,2003,4194,0.52,0.48
ME_CAR,Mercury,Cardinal,2171,2118,4289,0.51,0.49
ME_FIX,Mercury,Fixed,2289,2076,4365,0.52,0.48
ME_MUT,Mercury,Mutable,2160,2097,4257,0.51,0.49
MO_CAR,Moon,Cardinal,2185,2133,4318,0.51,0.49
MO_FIX,Moon,Fixed,2239,2070,4309,0.52,0.48
MO_MUT,Moon,Mutable,2196,2088,4284,0.51,0.49
NE_CAR,Neptune,Cardinal,1827,1681,3508,0.52,0.48
NE_FIX,Neptune,Fixed,1781,1726,3507,0.51,0.49
NE_MUT,Neptune,Mutable,3012,2884,5896,0.51,0.49
NN_CAR,NNode,Cardinal,2207,2092,4299,0.51,0.49
NN_FIX,NNode,Fixed,2207,2096,4303,0.51,0.49
NN_MUT,NNode,Mutable,2206,2103,4309,0.51,0.49
PA_CAR,Pallas,Cardinal,2132,2069,4201,0.51,0.49
PA_FIX,Pallas,Fixed,2302,2099,4401,0.52,0.48
PA_MUT,Pallas,Mutable,2186,2123,4309,0.51,0.49
PH_CAR,Pholus,Cardinal,1526,1522,3048,0.5,0.5
PH_FIX,Pholus,Fixed,1568,1440,3008,0.52,0.48
PH_MUT,Pholus,Mutable,3526,3329,6855,0.51,0.49
PL_CAR,Pluto,Cardinal,3188,3053,6241,0.51,0.49
PL_FIX,Pluto,Fixed,1505,1398,2903,0.52,0.48
PL_MUT,Pluto,Mutable,1927,1840,3767,0.51,0.49
SA_CAR,Saturn,Cardinal,2245,2113,4358,0.52,0.48
SA_FIX,Saturn,Fixed,2198,2073,4271,0.51,0.49
SA_MUT,Saturn,Mutable,2177,2105,4282,0.51,0.49
SN_CAR,SNode,Cardinal,2207,2092,4299,0.51,0.49
SN_FIX,SNode,Fixed,2207,2096,4303,0.51,0.49
SN_MUT,SNode,Mutable,2206,2103,4309,0.51,0.49
SU_CAR,Sun,Cardinal,2165,2062,4227,0.51,0.49
SU_FIX,Sun,Fixed,2269,2136,4405,0.52,0.48
SU_MUT,Sun,Mutable,2186,2093,4279,0.51,0.49
UR_CAR,Uranus,Cardinal,2627,2457,5084,0.52,0.48
UR_FIX,Uranus,Fixed,2141,2064,4205,0.51,0.49
UR_MUT,Uranus,Mutable,1852,1770,3622,0.51,0.49
VE_CAR,Venus,Cardinal,2203,2084,4287,0.51,0.49
VE_FIX,Venus,Fixed,2208,2180,4388,0.5,0.5
VE_MUT,Venus,Mutable,2209,2027,4236,0.52,0.48
VS_CAR,Vesta,Cardinal,2207,2087,4294,0.51,0.49
VS_FIX,Vesta,Fixed,2161,2111,4272,0.51,0.49
VS_MUT,Vesta,Mutable,2252,2093,4345,0.52,0.48
