PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,2149,2067,4216,0.51,0.49
CE_FIX,2131,2084,4215,0.51,0.49
CE_MUT,2335,2113,4448,0.52,0.48
CH_CAR,2313,2124,4437,0.52,0.48
CH_FIX,2084,2054,4138,0.5,0.5
CH_MUT,2218,2086,4304,0.52,0.48
EM_CAR,2178,1998,4176,0.52,0.48
EM_FIX,2245,2138,4383,0.51,0.49
EM_MUT,2192,2128,4320,0.51,0.49
ES_CAR,2401,2194,4595,0.52,0.48
ES_FIX,2016,1978,3994,0.5,0.5
ES_MUT,2198,2092,4290,0.51,0.49
JN_CAR,2260,2110,4370,0.52,0.48
JN_FIX,2241,2122,4363,0.51,0.49
JN_MUT,2114,2032,4146,0.51,0.49
JU_CAR,2220,2102,4322,0.51,0.49
JU_FIX,2194,2078,4272,0.51,0.49
JU_MUT,2201,2084,4285,0.51,0.49
MA_CAR,2245,2121,4366,0.51,0.49
MA_FIX,2186,2139,4325,0.51,0.49
MA_MUT,2184,2004,4188,0.52,0.48
ME_CAR,2183,2106,4289,0.51,0.49
ME_FIX,2271,2062,4333,0.52,0.48
ME_MUT,2161,2096,4257,0.51,0.49
MO_CAR,2177,2126,4303,0.51,0.49
MO_FIX,2238,2058,4296,0.52,0.48
MO_MUT,2200,2080,4280,0.51,0.49
NE_CAR,1844,1664,3508,0.53,0.47
NE_FIX,1783,1724,3507,0.51,0.49
NE_MUT,2988,2876,5864,0.51,0.49
NN_CAR,2218,2081,4299,0.52,0.48
NN_FIX,2211,2092,4303,0.51,0.49
NN_MUT,2186,2091,4277,0.51,0.49
PA_CAR,2143,2058,4201,0.51,0.49
PA_FIX,2289,2085,4374,0.52,0.48
PA_MUT,2183,2121,4304,0.51,0.49
PH_CAR,1508,1508,3016,0.5,0.5
PH_FIX,1575,1433,3008,0.52,0.48
PH_MUT,3532,3323,6855,0.52,0.48
PL_CAR,3166,3043,6209,0.51,0.49
PL_FIX,1517,1386,2903,0.52,0.48
PL_MUT,1932,1835,3767,0.51,0.49
SA_CAR,2255,2103,4358,0.52,0.48
SA_FIX,2176,2063,4239,0.51,0.49
SA_MUT,2184,2098,4282,0.51,0.49
SN_CAR,2218,2081,4299,0.52,0.48
SN_FIX,2211,2092,4303,0.51,0.49
SN_MUT,2186,2091,4277,0.51,0.49
SU_CAR,2189,2038,4227,0.52,0.48
SU_FIX,2254,2135,4389,0.51,0.49
SU_MUT,2172,2091,4263,0.51,0.49
UR_CAR,2634,2450,5084,0.52,0.48
UR_FIX,2117,2056,4173,0.51,0.49
UR_MUT,1864,1758,3622,0.51,0.49
VE_CAR,2212,2071,4283,0.52,0.48
VE_FIX,2195,2176,4371,0.5,0.5
VE_MUT,2208,2017,4225,0.52,0.48
VS_CAR,2217,2077,4294,0.52,0.48
VS_FIX,2175,2097,4272,0.51,0.49
VS_MUT,2223,2090,4313,0.52,0.48
