PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,2886,2533,5419,0.53,0.47
CE_RET,Ceres,Retrograde,797,678,1475,0.54,0.46
CE_STA,Ceres,Stationary,122,120,242,0.5,0.5
CH_DIR,Chiron,Direct,2231,1890,4121,0.54,0.46
CH_RET,Chiron,Retrograde,1412,1266,2678,0.53,0.47
CH_STA,Chiron,Stationary,162,175,337,0.48,0.52
JN_DIR,Juno,Direct,2835,2476,5311,0.53,0.47
JN_RET,Juno,Retrograde,825,708,1533,0.54,0.46
JN_STA,Juno,Stationary,145,147,292,0.5,0.5
JU_DIR,Jupiter,Direct,2524,2177,4701,0.54,0.46
JU_RET,Jupiter,Retrograde,1110,994,2104,0.53,0.47
JU_STA,Jupiter,Stationary,171,160,331,0.52,0.48
MA_DIR,Mars,Direct,3394,2929,6323,0.54,0.46
MA_RET,Mars,Retrograde,324,333,657,0.49,0.51
MA_STA,Mars,Stationary,87,69,156,0.56,0.44
ME_DIR,Mercury,Direct,3006,2554,5560,0.54,0.46
ME_RET,Mercury,Retrograde,679,672,1351,0.5,0.5
ME_STA,Mercury,Stationary,120,105,225,0.53,0.47
MO_DIR,Moon,Direct,3805,3331,7136,0.53,0.47
NE_DIR,Neptune,Direct,1970,1627,3597,0.55,0.45
NE_RET,Neptune,Retrograde,1480,1350,2830,0.52,0.48
NE_STA,Neptune,Stationary,355,354,709,0.5,0.5
NN_DIR,NNode,Direct,3805,3331,7136,0.53,0.47
PA_DIR,Pallas,Direct,2820,2448,5268,0.54,0.46
PA_RET,Pallas,Retrograde,855,783,1638,0.52,0.48
PA_STA,Pallas,Stationary,130,100,230,0.57,0.43
PH_DIR,Pholus,Direct,2074,1790,3864,0.54,0.46
PH_RET,Pholus,Retrograde,1474,1340,2814,0.52,0.48
PH_STA,Pholus,Stationary,257,201,458,0.56,0.44
PL_DIR,Pluto,Direct,1981,1664,3645,0.54,0.46
PL_RET,Pluto,Retrograde,1437,1321,2758,0.52,0.48
PL_STA,Pluto,Stationary,387,346,733,0.53,0.47
SA_DIR,Saturn,Direct,2226,1970,4196,0.53,0.47
SA_RET,Saturn,Retrograde,1350,1168,2518,0.54,0.46
SA_STA,Saturn,Stationary,229,193,422,0.54,0.46
SN_DIR,SNode,Direct,3805,3331,7136,0.53,0.47
SU_DIR,Sun,Direct,3805,3331,7136,0.53,0.47
UR_DIR,Uranus,Direct,2115,1779,3894,0.54,0.46
UR_RET,Uranus,Retrograde,1456,1316,2772,0.53,0.47
UR_STA,Uranus,Stationary,234,236,470,0.5,0.5
VE_DIR,Venus,Direct,3456,3051,6507,0.53,0.47
VE_RET,Venus,Retrograde,290,206,496,0.58,0.42
VE_STA,Venus,Stationary,59,74,133,0.44,0.56
VS_DIR,Vesta,Direct,2960,2634,5594,0.53,0.47
VS_RET,Vesta,Retrograde,721,595,1316,0.55,0.45
VS_STA,Vesta,Stationary,124,102,226,0.55,0.45
