PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,2856,2511,5367,0.53,0.47
CE_RET,Ceres,Retrograde,797,678,1475,0.54,0.46
CE_STA,Ceres,Stationary,122,120,242,0.5,0.5
CH_DIR,Chiron,Direct,2231,1890,4121,0.54,0.46
CH_RET,Chiron,Retrograde,1383,1246,2629,0.53,0.47
CH_STA,Chiron,Stationary,161,173,334,0.48,0.52
JN_DIR,Juno,Direct,2821,2458,5279,0.53,0.47
JN_RET,Juno,Retrograde,818,704,1522,0.54,0.46
JN_STA,Juno,Stationary,136,147,283,0.48,0.52
JU_DIR,Jupiter,Direct,2524,2177,4701,0.54,0.46
JU_RET,Jupiter,Retrograde,1080,972,2052,0.53,0.47
JU_STA,Jupiter,Stationary,171,160,331,0.52,0.48
MA_DIR,Mars,Direct,3364,2907,6271,0.54,0.46
MA_RET,Mars,Retrograde,324,333,657,0.49,0.51
MA_STA,Mars,Stationary,87,69,156,0.56,0.44
ME_DIR,Mercury,Direct,2977,2533,5510,0.54,0.46
ME_RET,Mercury,Retrograde,679,671,1350,0.5,0.5
ME_STA,Mercury,Stationary,119,105,224,0.53,0.47
MO_DIR,Moon,Direct,3775,3309,7084,0.53,0.47
NE_DIR,Neptune,Direct,1970,1627,3597,0.55,0.45
NE_RET,Neptune,Retrograde,1450,1328,2778,0.52,0.48
NE_STA,Neptune,Stationary,355,354,709,0.5,0.5
NN_DIR,NNode,Direct,3775,3309,7084,0.53,0.47
PA_DIR,Pallas,Direct,2820,2448,5268,0.54,0.46
PA_RET,Pallas,Retrograde,825,761,1586,0.52,0.48
PA_STA,Pallas,Stationary,130,100,230,0.57,0.43
PH_DIR,Pholus,Direct,2073,1789,3862,0.54,0.46
PH_RET,Pholus,Retrograde,1452,1323,2775,0.52,0.48
PH_STA,Pholus,Stationary,250,197,447,0.56,0.44
PL_DIR,Pluto,Direct,1981,1664,3645,0.54,0.46
PL_RET,Pluto,Retrograde,1408,1300,2708,0.52,0.48
PL_STA,Pluto,Stationary,386,345,731,0.53,0.47
SA_DIR,Saturn,Direct,2226,1970,4196,0.53,0.47
SA_RET,Saturn,Retrograde,1320,1146,2466,0.54,0.46
SA_STA,Saturn,Stationary,229,193,422,0.54,0.46
SN_DIR,SNode,Direct,3775,3309,7084,0.53,0.47
SU_DIR,Sun,Direct,3775,3309,7084,0.53,0.47
UR_DIR,Uranus,Direct,2099,1775,3874,0.54,0.46
UR_RET,Uranus,Retrograde,1446,1303,2749,0.53,0.47
UR_STA,Uranus,Stationary,230,231,461,0.5,0.5
VE_DIR,Venus,Direct,3426,3029,6455,0.53,0.47
VE_RET,Venus,Retrograde,290,206,496,0.58,0.42
VE_STA,Venus,Stationary,59,74,133,0.44,0.56
VS_DIR,Vesta,Direct,2930,2612,5542,0.53,0.47
VS_RET,Vesta,Retrograde,721,595,1316,0.55,0.45
VS_STA,Vesta,Stationary,124,102,226,0.55,0.45
