PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",886,743,1629,0.54,0.46
"CE_(3,4]",Ceres,"(3,4]",689,622,1311,0.53,0.47
"CE_(4,8]",Ceres,"(4,8]",505,466,971,0.52,0.48
"CE_[0,2]",Ceres,"[0,2]",1635,1427,3062,0.53,0.47
"CH_(1,2]",Chiron,"(1,2]",1112,981,2093,0.53,0.47
"CH_(2,3]",Chiron,"(2,3]",307,296,603,0.51,0.49
CH_1,Chiron,1,1584,1416,3000,0.53,0.47
"CH_[0,1)",Chiron,"[0,1)",712,565,1277,0.56,0.44
"JN_(2,3]",Juno,"(2,3]",858,745,1603,0.54,0.46
"JN_(3,4]",Juno,"(3,4]",730,628,1358,0.54,0.46
"JN_(4,9]",Juno,"(4,9]",630,527,1157,0.54,0.46
"JN_[0,2]",Juno,"[0,2]",1497,1358,2855,0.52,0.48
"JU_(1,2]",Jupiter,"(1,2]",1090,971,2061,0.53,0.47
"JU_(2,3]",Jupiter,"(2,3]",936,750,1686,0.56,0.44
"JU_(3,7]",Jupiter,"(3,7]",597,559,1156,0.52,0.48
"JU_[0,1]",Jupiter,"[0,1]",1092,978,2070,0.53,0.47
"MA_(2,3]",Mars,"(2,3]",823,720,1543,0.53,0.47
"MA_(3,5]",Mars,"(3,5]",1311,1147,2458,0.53,0.47
"MA_(5,11]",Mars,"(5,11]",492,437,929,0.53,0.47
"MA_[0,2]",Mars,"[0,2]",1089,954,2043,0.53,0.47
"ME_(3,4]",Mercury,"(3,4]",766,686,1452,0.53,0.47
"ME_(4,6]",Mercury,"(4,6]",1181,1098,2279,0.52,0.48
"ME_(6,13]",Mercury,"(6,13]",475,402,877,0.54,0.46
"ME_[0,3]",Mercury,"[0,3]",1293,1072,2365,0.55,0.45
"MO_(13,15]",Moon,"(13,15]",1059,942,2001,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",898,814,1712,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",645,536,1181,0.55,0.45
"MO_[5,13]",Moon,"[5,13]",1113,966,2079,0.54,0.46
NE_0,Neptune,0,3715,3258,6973,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",985,844,1829,0.54,0.46
"NN_(3,6]",NNode,"(3,6]",853,776,1629,0.52,0.48
NN_2,NNode,2,1303,1173,2476,0.53,0.47
"NN_[1,2)",NNode,"[1,2)",574,465,1039,0.55,0.45
"PA_(1,2]",Pallas,"(1,2]",985,851,1836,0.54,0.46
"PA_(2,3]",Pallas,"(2,3]",874,757,1631,0.54,0.46
"PA_(3,8]",Pallas,"(3,8]",806,701,1507,0.53,0.47
"PA_[0,1]",Pallas,"[0,1]",1050,949,1999,0.53,0.47
"PH_(0,1]",Pholus,"(0,1]",1546,1390,2936,0.53,0.47
"PH_(1,2]",Pholus,"(1,2]",137,129,266,0.52,0.48
PH_0,Pholus,0,2032,1739,3771,0.54,0.46
"SA_(1,2]",Saturn,"(1,2]",1008,850,1858,0.54,0.46
"SA_(2,4]",Saturn,"(2,4]",412,382,794,0.52,0.48
SA_1,Saturn,1,1448,1267,2715,0.53,0.47
"SA_[0,1)",Saturn,"[0,1)",847,759,1606,0.53,0.47
"SN_(2,5]",SNode,"(2,5]",850,776,1626,0.52,0.48
SN_2,SNode,2,933,841,1774,0.53,0.47
"SN_[0,1]",SNode,"[0,1]",1932,1641,3573,0.54,0.46
"SU_(3,4]",Sun,"(3,4]",798,741,1539,0.52,0.48
"SU_(4,5]",Sun,"(4,5]",627,562,1189,0.53,0.47
"SU_(5,11]",Sun,"(5,11]",735,639,1374,0.53,0.47
"SU_[0,3]",Sun,"[0,3]",1555,1316,2871,0.54,0.46
"UR_(1,3]",Uranus,"(1,3]",819,795,1614,0.51,0.49
UR_0,Uranus,0,1297,1193,2490,0.52,0.48
UR_1,Uranus,1,1599,1270,2869,0.56,0.44
"VE_(3,4]",Venus,"(3,4]",808,717,1525,0.53,0.47
"VE_(4,6]",Venus,"(4,6]",1227,1012,2239,0.55,0.45
"VE_(6,12]",Venus,"(6,12]",465,439,904,0.51,0.49
"VE_[0,3]",Venus,"[0,3]",1215,1090,2305,0.53,0.47
"VS_(2,3]",Vesta,"(2,3]",885,753,1638,0.54,0.46
"VS_(3,4]",Vesta,"(3,4]",693,631,1324,0.52,0.48
"VS_(4,10]",Vesta,"(4,10]",894,805,1699,0.53,0.47
"VS_[0,2]",Vesta,"[0,2]",1243,1069,2312,0.54,0.46
