MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,133,112,245,0.54,0.46
F_02_TAU,Full,Taurus,157,146,303,0.52,0.48
F_03_GEM,Full,Gemini,167,117,284,0.59,0.41
F_04_CAN,Full,Cancer,131,121,252,0.52,0.48
F_05_LEO,Full,Leo,182,140,322,0.57,0.43
F_06_VIR,Full,Virgo,160,130,290,0.55,0.45
F_07_LIB,Full,Libra,145,121,266,0.55,0.45
F_08_SCO,Full,Scorpio,153,124,277,0.55,0.45
F_09_SAG,Full,Sagittarius,154,172,326,0.47,0.53
F_10_CAP,Full,Capricorn,163,146,309,0.53,0.47
F_11_AQU,Full,Aquarius,163,138,301,0.54,0.46
F_12_PIS,Full,Pisces,141,142,283,0.5,0.5
N_01_ARI,New,Aries,129,107,236,0.55,0.45
N_02_TAU,New,Taurus,165,147,312,0.53,0.47
N_03_GEM,New,Gemini,152,153,305,0.5,0.5
N_04_CAN,New,Cancer,178,146,324,0.55,0.45
N_05_LEO,New,Leo,157,144,301,0.52,0.48
N_06_VIR,New,Virgo,191,165,356,0.54,0.46
N_07_LIB,New,Libra,157,140,297,0.53,0.47
N_08_SCO,New,Scorpio,170,140,310,0.55,0.45
N_09_SAG,New,Sagittarius,137,125,262,0.52,0.48
N_10_CAP,New,Capricorn,170,137,307,0.55,0.45
N_11_AQU,New,Aquarius,143,123,266,0.54,0.46
N_12_PIS,New,Pisces,113,120,233,0.48,0.52
