
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-07  0.37   Ceres     Direct 5093 4440  9533     0.53      0.47
 2: 2021-02-07  0.04  Chiron     Direct 3853 3433  7286     0.53      0.47
 3: 2021-02-07  0.25    Juno     Direct 4990 4465  9455     0.53      0.47
 4: 2021-02-07  0.24 Jupiter     Direct 4415 3839  8254     0.53      0.47
 5: 2021-02-07  0.55    Mars     Direct 5894 5221 11115     0.53      0.47
 6: 2021-02-07 -1.12 Mercury Retrograde 1271 1132  2403     0.53      0.47
 7: 2021-02-07 13.94    Moon     Direct 6660 5906 12566     0.53      0.47
 8: 2021-02-07  0.03 Neptune     Direct 3381 2949  6330     0.53      0.47
 9: 2021-02-07  1.00   NNode     Direct 6660 5906 12566     0.53      0.47
10: 2021-02-07  0.34  Pallas     Direct 5017 4332  9349     0.54      0.46
11: 2021-02-07  0.03  Pholus     Direct 3744 3289  7033     0.53      0.47
12: 2021-02-07  0.03   Pluto     Direct 3391 3066  6457     0.53      0.47
13: 2021-02-07  0.12  Saturn     Direct 3960 3500  7460     0.53      0.47
14: 2021-02-07  1.00   SNode     Direct 6660 5906 12566     0.53      0.47
15: 2021-02-07  1.01     Sun     Direct 6660 5906 12566     0.53      0.47
16: 2021-02-07  0.02  Uranus     Direct 3653 3178  6831     0.53      0.47
17: 2021-02-07  1.25   Venus     Direct 6059 5358 11417     0.53      0.47
18: 2021-02-07 -0.15   Vesta Retrograde 1189 1079  2268     0.52      0.48

DAILY PLANET ZODIAC SIGN POSITION:

    pID       Date  Planet     ZodSign  Buy Sell DaysN BuyDays% SellDays%
 1:  CE 2021-02-07   Ceres      Pisces  683  591  1274     0.54      0.46
 2:  CH 2021-02-07  Chiron       Aries 1274  989  2263     0.56      0.44
 3:  JN 2021-02-07    Juno Sagittarius  792  739  1531     0.52      0.48
 4:  JU 2021-02-07 Jupiter    Aquarius  545  502  1047     0.52      0.48
 5:  MA 2021-02-07    Mars      Taurus  533  473  1006     0.53      0.47
 6:  ME 2021-02-07 Mercury    Aquarius  587  505  1092     0.54      0.46
 7:  MO 2021-02-07    Moon Sagittarius  549  484  1033     0.53      0.47
 8:  NE 2021-02-07 Neptune      Pisces 1222 1065  2287     0.53      0.47
 9:  NN 2021-02-07   NNode      Gemini  482  446   928     0.52      0.48
10:  PA 2021-02-07  Pallas    Aquarius  914  765  1679     0.54      0.46
11:  PH 2021-02-07  Pholus   Capricorn  296  265   561     0.53      0.47
12:  PL 2021-02-07   Pluto   Capricorn 1625 1447  3072     0.53      0.47
13:  SA 2021-02-07  Saturn    Aquarius  404  404   808     0.50      0.50
14:  SN 2021-02-07   SNode Sagittarius  482  446   928     0.52      0.48
15:  SU 2021-02-07     Sun    Aquarius  564  485  1049     0.54      0.46
16:  UR 2021-02-07  Uranus      Taurus  310  275   585     0.53      0.47
17:  VE 2021-02-07   Venus    Aquarius  519  447   966     0.54      0.46
18:  VS 2021-02-07   Vesta       Virgo  504  507  1011     0.50      0.50

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-07    0.77   0.04   1.65         0       4         1        5    Moon     Sun      Sextile  361  357   718     0.50      0.50
 2: 2021-02-07    1.02   0.19   1.93         0       6         3        7    Moon Neptune       Square  378  364   742     0.51      0.49
 3: 2021-02-07    1.03   0.26   1.99         0       6         3        7    Moon   Pluto SemiQuintile  379  363   742     0.51      0.49
 4: 2021-02-07    0.99   0.14   1.84         1       7         4        7    Moon  Pallas      Sextile  373  378   751     0.50      0.50
 5: 2021-02-07    1.04   0.24   1.99         1       7         4        7    Moon   Vesta       Square  361  360   721     0.50      0.50
 6: 2021-02-07    0.44   0.02   1.00         0      23         4       24   Venus  Uranus       Square  119  102   221     0.54      0.46
 7: 2021-02-07    1.01   0.19   1.91         2       8         5        7    Moon  Saturn   SemiSquare  388  345   733     0.53      0.47
 8: 2021-02-07    0.94   0.17   1.72         4       9         6        6    Moon Mercury      Sextile  364  327   691     0.53      0.47
 9: 2021-02-07    0.96   0.03   1.70         4      10         7        7    Moon    Mars   BiQuintile  385  343   728     0.53      0.47
10: 2021-02-07    1.00   0.01   1.75         4      10         7        7    Moon  Uranus SesquiSquare  385  372   757     0.51      0.49
11: 2021-02-07    1.06   0.17   1.94         4      11         7        8    Moon   Venus   SemiSquare  370  336   706     0.52      0.48
12: 2021-02-07    1.00   0.04   1.77         6      12         9        7    Moon  Chiron    BiSeptile  396  362   758     0.52      0.48
13: 2021-02-07    0.17   0.00   0.38         0      23         9       24     Sun   Ceres SemiQuintile  154  146   300     0.51      0.49
14: 2021-02-07    0.97   0.03   1.72         9      15        12        7    Moon   Ceres       Square  383  349   732     0.52      0.48
15: 2021-02-07    0.99   0.03   1.77        10      16        13        7    Moon   Pluto  SemiSextile  405  352   757     0.54      0.46
16: 2021-02-07    0.31   0.01   0.69         0      23        14       24 Mercury  Chiron   SemiSquare  132  123   255     0.52      0.48
17: 2021-02-07    0.98   0.02   1.72        12      18        15        7    Moon Jupiter   SemiSquare  409  367   776     0.53      0.47
18: 2021-02-07    0.86   0.01   1.72        18      23        21        6    Moon  Saturn SemiQuintile  393  360   753     0.52      0.48
19: 2021-02-07    0.81   0.10   1.52         0      23        23       24 Mercury  Pallas  Conjunction   99   74   173     0.57      0.43
20: 2021-02-07    0.91   0.09   1.75        20      23        23        4    Moon    Mars SesquiSquare  374  353   727     0.51      0.49
21: 2021-02-07    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 5257 4854 10111     0.52      0.48
22: 2021-02-07    0.14   0.10   0.18         0      23        23       24  Saturn  Chiron      Sextile    6    7    13     0.46      0.54
23: 2021-02-07    0.58   0.42   0.74         0      23        NA       24   Ceres   Pluto      Sextile  110  101   211     0.52      0.48
24: 2021-02-07    1.00   0.99   1.01         0      23        NA       24  Chiron  Pholus       Square  271  232   503     0.54      0.46
25: 2021-02-07    0.79   0.78   0.80         0      23        NA       24  Chiron  Uranus  SemiSextile 1329 1207  2536     0.52      0.48
26: 2021-02-07    0.41   0.31   0.51         0      23        NA       24 Jupiter  Pholus SemiQuintile  132  165   297     0.44      0.56
27: 2021-02-07    1.11   0.96   1.26         0      23        NA       24    Mars    Juno     Quincunx  115   86   201     0.57      0.43
