PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,103,115,218,0.47,0.53
CE_FIX,Ceres,Fixed,239,235,474,0.5,0.5
CE_MUT,Ceres,Mutable,310,308,618,0.5,0.5
CH_CAR,Chiron,Cardinal,441,435,876,0.5,0.5
CH_MUT,Chiron,Mutable,211,223,434,0.49,0.51
JN_CAR,Juno,Cardinal,315,297,612,0.51,0.49
JN_FIX,Juno,Fixed,189,229,418,0.45,0.55
JN_MUT,Juno,Mutable,148,132,280,0.53,0.47
JU_CAR,Jupiter,Cardinal,239,239,478,0.5,0.5
JU_FIX,Jupiter,Fixed,229,214,443,0.52,0.48
JU_MUT,Jupiter,Mutable,184,205,389,0.47,0.53
MA_CAR,Mars,Cardinal,272,250,522,0.52,0.48
MA_FIX,Mars,Fixed,220,241,461,0.48,0.52
MA_MUT,Mars,Mutable,160,167,327,0.49,0.51
ME_CAR,Mercury,Cardinal,197,203,400,0.49,0.51
ME_FIX,Mercury,Fixed,217,245,462,0.47,0.53
ME_MUT,Mercury,Mutable,238,210,448,0.53,0.47
MO_CAR,Moon,Cardinal,216,224,440,0.49,0.51
MO_FIX,Moon,Fixed,219,218,437,0.5,0.5
MO_MUT,Moon,Mutable,217,216,433,0.5,0.5
NE_MUT,Neptune,Mutable,652,658,1310,0.5,0.5
NN_CAR,NNode,Cardinal,288,278,566,0.51,0.49
NN_FIX,NNode,Fixed,240,260,500,0.48,0.52
NN_MUT,NNode,Mutable,124,120,244,0.51,0.49
PA_CAR,Pallas,Cardinal,354,343,697,0.51,0.49
PA_FIX,Pallas,Fixed,200,228,428,0.47,0.53
PA_MUT,Pallas,Mutable,98,87,185,0.53,0.47
PH_CAR,Pholus,Cardinal,446,399,845,0.53,0.47
PH_MUT,Pholus,Mutable,206,259,465,0.44,0.56
PL_CAR,Pluto,Cardinal,652,658,1310,0.5,0.5
SA_CAR,Saturn,Cardinal,482,507,989,0.49,0.51
SA_FIX,Saturn,Fixed,84,67,151,0.56,0.44
SA_MUT,Saturn,Mutable,86,84,170,0.51,0.49
SN_CAR,SNode,Cardinal,288,278,566,0.51,0.49
SN_FIX,SNode,Fixed,240,260,500,0.48,0.52
SN_MUT,SNode,Mutable,124,120,244,0.51,0.49
SU_CAR,Sun,Cardinal,219,222,441,0.5,0.5
SU_FIX,Sun,Fixed,231,213,444,0.52,0.48
SU_MUT,Sun,Mutable,202,223,425,0.48,0.52
UR_CAR,Uranus,Cardinal,214,222,436,0.49,0.51
UR_FIX,Uranus,Fixed,438,436,874,0.5,0.5
VE_CAR,Venus,Cardinal,196,224,420,0.47,0.53
VE_FIX,Venus,Fixed,209,209,418,0.5,0.5
VE_MUT,Venus,Mutable,247,225,472,0.52,0.48
VS_CAR,Vesta,Cardinal,180,161,341,0.53,0.47
VS_FIX,Vesta,Fixed,246,245,491,0.5,0.5
VS_MUT,Vesta,Mutable,226,252,478,0.47,0.53
