PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,103,118,221,0.47,0.53
CE_FIX,Ceres,Fixed,239,235,474,0.5,0.5
CE_MUT,Ceres,Mutable,322,311,633,0.51,0.49
CH_CAR,Chiron,Cardinal,453,441,894,0.51,0.49
CH_MUT,Chiron,Mutable,211,223,434,0.49,0.51
JN_CAR,Juno,Cardinal,315,297,612,0.51,0.49
JN_FIX,Juno,Fixed,189,229,418,0.45,0.55
JN_MUT,Juno,Mutable,160,138,298,0.54,0.46
JU_CAR,Jupiter,Cardinal,239,239,478,0.5,0.5
JU_FIX,Jupiter,Fixed,241,220,461,0.52,0.48
JU_MUT,Jupiter,Mutable,184,205,389,0.47,0.53
MA_CAR,Mars,Cardinal,272,250,522,0.52,0.48
MA_FIX,Mars,Fixed,232,247,479,0.48,0.52
MA_MUT,Mars,Mutable,160,167,327,0.49,0.51
ME_CAR,Mercury,Cardinal,197,203,400,0.49,0.51
ME_FIX,Mercury,Fixed,229,251,480,0.48,0.52
ME_MUT,Mercury,Mutable,238,210,448,0.53,0.47
MO_CAR,Moon,Cardinal,220,228,448,0.49,0.51
MO_FIX,Moon,Fixed,223,218,441,0.51,0.49
MO_MUT,Moon,Mutable,221,218,439,0.5,0.5
NE_MUT,Neptune,Mutable,664,664,1328,0.5,0.5
NN_CAR,NNode,Cardinal,288,278,566,0.51,0.49
NN_FIX,NNode,Fixed,240,260,500,0.48,0.52
NN_MUT,NNode,Mutable,136,126,262,0.52,0.48
PA_CAR,Pallas,Cardinal,354,343,697,0.51,0.49
PA_FIX,Pallas,Fixed,212,234,446,0.48,0.52
PA_MUT,Pallas,Mutable,98,87,185,0.53,0.47
PH_CAR,Pholus,Cardinal,458,405,863,0.53,0.47
PH_MUT,Pholus,Mutable,206,259,465,0.44,0.56
PL_CAR,Pluto,Cardinal,664,664,1328,0.5,0.5
SA_CAR,Saturn,Cardinal,482,507,989,0.49,0.51
SA_FIX,Saturn,Fixed,96,73,169,0.57,0.43
SA_MUT,Saturn,Mutable,86,84,170,0.51,0.49
SN_CAR,SNode,Cardinal,288,278,566,0.51,0.49
SN_FIX,SNode,Fixed,240,260,500,0.48,0.52
SN_MUT,SNode,Mutable,136,126,262,0.52,0.48
SU_CAR,Sun,Cardinal,219,222,441,0.5,0.5
SU_FIX,Sun,Fixed,241,215,456,0.53,0.47
SU_MUT,Sun,Mutable,204,227,431,0.47,0.53
UR_CAR,Uranus,Cardinal,214,222,436,0.49,0.51
UR_FIX,Uranus,Fixed,450,442,892,0.5,0.5
VE_CAR,Venus,Cardinal,196,224,420,0.47,0.53
VE_FIX,Venus,Fixed,221,215,436,0.51,0.49
VE_MUT,Venus,Mutable,247,225,472,0.52,0.48
VS_CAR,Vesta,Cardinal,180,161,341,0.53,0.47
VS_FIX,Vesta,Fixed,246,245,491,0.5,0.5
VS_MUT,Vesta,Mutable,238,258,496,0.48,0.52
