PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",80,85,165,0.48,0.52,CAR
"CAR_(6,8]",Cardinal,"(6,8]",186,206,392,0.47,0.53,CAR
"CAR_(8,14]",Cardinal,"(8,14]",271,249,520,0.52,0.48,CAR
"CAR_[0,5]",Cardinal,"[0,5]",127,124,251,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",85,93,178,0.48,0.52,FIX
"FIX_(6,7]",Fixed,"(6,7]",82,73,155,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",83,82,165,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",414,416,830,0.5,0.5,FIX
"MUT_(4,6]",Mutable,"(4,6]",283,294,577,0.49,0.51,MUT
"MUT_(6,7]",Mutable,"(6,7]",98,91,189,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",58,61,119,0.49,0.51,MUT
"MUT_[0,4]",Mutable,"[0,4]",225,218,443,0.51,0.49,MUT
