PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,564,572,1136,0.5,0.5
CE_RET,Ceres,Retrograde,140,148,288,0.49,0.51
CE_STA,Ceres,Stationary,33,14,47,0.7,0.3
CH_DIR,Chiron,Direct,434,368,802,0.54,0.46
CH_RET,Chiron,Retrograde,263,318,581,0.45,0.55
CH_STA,Chiron,Stationary,40,48,88,0.45,0.55
JN_DIR,Juno,Direct,553,535,1088,0.51,0.49
JN_RET,Juno,Retrograde,151,175,326,0.46,0.54
JN_STA,Juno,Stationary,33,24,57,0.58,0.42
JU_DIR,Jupiter,Direct,508,513,1021,0.5,0.5
JU_RET,Jupiter,Retrograde,199,184,383,0.52,0.48
JU_STA,Jupiter,Stationary,30,37,67,0.45,0.55
MA_DIR,Mars,Direct,675,640,1315,0.51,0.49
MA_RET,Mars,Retrograde,47,75,122,0.39,0.61
MA_STA,Mars,Stationary,15,19,34,0.44,0.56
ME_DIR,Mercury,Direct,595,541,1136,0.52,0.48
ME_RET,Mercury,Retrograde,124,164,288,0.43,0.57
ME_STA,Mercury,Stationary,18,29,47,0.38,0.62
MO_DIR,Moon,Direct,737,734,1471,0.5,0.5
NE_DIR,Neptune,Direct,421,340,761,0.55,0.45
NE_RET,Neptune,Retrograde,254,311,565,0.45,0.55
NE_STA,Neptune,Stationary,62,83,145,0.43,0.57
NN_DIR,NNode,Direct,737,734,1471,0.5,0.5
PA_DIR,Pallas,Direct,538,573,1111,0.48,0.52
PA_RET,Pallas,Retrograde,173,135,308,0.56,0.44
PA_STA,Pallas,Stationary,26,26,52,0.5,0.5
PH_DIR,Pholus,Direct,378,354,732,0.52,0.48
PH_RET,Pholus,Retrograde,291,316,607,0.48,0.52
PH_STA,Pholus,Stationary,68,64,132,0.52,0.48
PL_DIR,Pluto,Direct,396,345,741,0.53,0.47
PL_RET,Pluto,Retrograde,256,313,569,0.45,0.55
PL_STA,Pluto,Stationary,85,76,161,0.53,0.47
SA_DIR,Saturn,Direct,457,408,865,0.53,0.47
SA_RET,Saturn,Retrograde,238,269,507,0.47,0.53
SA_STA,Saturn,Stationary,42,57,99,0.42,0.58
SN_DIR,SNode,Direct,737,734,1471,0.5,0.5
SU_DIR,Sun,Direct,737,734,1471,0.5,0.5
UR_DIR,Uranus,Direct,431,387,818,0.53,0.47
UR_RET,Uranus,Retrograde,262,296,558,0.47,0.53
UR_STA,Uranus,Stationary,44,51,95,0.46,0.54
VE_DIR,Venus,Direct,683,682,1365,0.5,0.5
VE_RET,Venus,Retrograde,44,41,85,0.52,0.48
VE_STA,Venus,Stationary,10,11,21,0.48,0.52
VS_DIR,Vesta,Direct,578,577,1155,0.5,0.5
VS_RET,Vesta,Retrograde,139,131,270,0.51,0.49
VS_STA,Vesta,Stationary,20,26,46,0.43,0.57
