MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,23,37,60,0.38,0.62
F_11_AQU,Full,Aquarius,24,36,60,0.4,0.6
F_12_PIS,Full,Pisces,23,34,57,0.4,0.6
F_1_ARI,Full,Aries,34,34,68,0.5,0.5
F_2_TAU,Full,Taurus,16,28,44,0.36,0.64
F_3_GEM,Full,Gemini,30,41,71,0.42,0.58
F_4_CAN,Full,Cancer,26,16,42,0.62,0.38
F_5_LEO,Full,Leo,37,29,66,0.56,0.44
F_6_VIR,Full,Virgo,8,23,31,0.26,0.74
F_7_LIB,Full,Libra,28,32,60,0.47,0.53
F_8_SCO,Full,Scorpio,16,16,32,0.5,0.5
F_9_SAG,Full,Sagittarius,29,32,61,0.48,0.52
N_10_CAP,New,Capricorn,31,31,62,0.5,0.5
N_11_AQU,New,Aquarius,30,15,45,0.67,0.33
N_12_PIS,New,Pisces,20,23,43,0.47,0.53
N_1_ARI,New,Aries,22,7,29,0.76,0.24
N_2_TAU,New,Taurus,47,22,69,0.68,0.32
N_3_GEM,New,Gemini,12,17,29,0.41,0.59
N_4_CAN,New,Cancer,34,27,61,0.56,0.44
N_5_LEO,New,Leo,25,35,60,0.42,0.58
N_6_VIR,New,Virgo,28,31,59,0.47,0.53
N_7_LIB,New,Libra,38,38,76,0.5,0.5
N_8_SCO,New,Scorpio,33,28,61,0.54,0.46
N_9_SAG,New,Sagittarius,36,26,62,0.58,0.42
