PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,290,291,581,0.5,0.5
CE_FIX,Ceres,Fixed,418,391,809,0.52,0.48
CE_MUT,Ceres,Mutable,426,349,775,0.55,0.45
CH_CAR,Chiron,Cardinal,559,478,1037,0.54,0.46
CH_MUT,Chiron,Mutable,575,553,1128,0.51,0.49
JN_CAR,Juno,Cardinal,480,397,877,0.55,0.45
JN_FIX,Juno,Fixed,362,357,719,0.5,0.5
JN_MUT,Juno,Mutable,292,277,569,0.51,0.49
JU_CAR,Jupiter,Cardinal,433,342,775,0.56,0.44
JU_FIX,Jupiter,Fixed,291,250,541,0.54,0.46
JU_MUT,Jupiter,Mutable,410,439,849,0.48,0.52
MA_CAR,Mars,Cardinal,391,344,735,0.53,0.47
MA_FIX,Mars,Fixed,402,381,783,0.51,0.49
MA_MUT,Mars,Mutable,341,306,647,0.53,0.47
ME_CAR,Mercury,Cardinal,378,330,708,0.53,0.47
ME_FIX,Mercury,Fixed,362,360,722,0.5,0.5
ME_MUT,Mercury,Mutable,394,341,735,0.54,0.46
MO_CAR,Moon,Cardinal,376,354,730,0.52,0.48
MO_FIX,Moon,Fixed,381,339,720,0.53,0.47
MO_MUT,Moon,Mutable,377,338,715,0.53,0.47
NE_MUT,Neptune,Mutable,1134,1031,2165,0.52,0.48
NN_CAR,NNode,Cardinal,320,307,627,0.51,0.49
NN_FIX,NNode,Fixed,291,275,566,0.51,0.49
NN_MUT,NNode,Mutable,523,449,972,0.54,0.46
PA_CAR,Pallas,Cardinal,480,389,869,0.55,0.45
PA_FIX,Pallas,Fixed,346,349,695,0.5,0.5
PA_MUT,Pallas,Mutable,308,293,601,0.51,0.49
PH_CAR,Pholus,Cardinal,549,457,1006,0.55,0.45
PH_MUT,Pholus,Mutable,585,574,1159,0.5,0.5
PL_CAR,Pluto,Cardinal,1134,1031,2165,0.52,0.48
SA_CAR,Saturn,Cardinal,503,486,989,0.51,0.49
SA_FIX,Saturn,Fixed,194,158,352,0.55,0.45
SA_MUT,Saturn,Mutable,437,387,824,0.53,0.47
SN_CAR,SNode,Cardinal,320,308,628,0.51,0.49
SN_FIX,SNode,Fixed,291,275,566,0.51,0.49
SN_MUT,SNode,Mutable,523,448,971,0.54,0.46
SU_CAR,Sun,Cardinal,369,350,719,0.51,0.49
SU_FIX,Sun,Fixed,394,320,714,0.55,0.45
SU_MUT,Sun,Mutable,371,361,732,0.51,0.49
UR_CAR,Uranus,Cardinal,576,554,1130,0.51,0.49
UR_FIX,Uranus,Fixed,558,477,1035,0.54,0.46
VE_CAR,Venus,Cardinal,365,351,716,0.51,0.49
VE_FIX,Venus,Fixed,373,346,719,0.52,0.48
VE_MUT,Venus,Mutable,396,334,730,0.54,0.46
VS_CAR,Vesta,Cardinal,386,327,713,0.54,0.46
VS_FIX,Vesta,Fixed,354,350,704,0.5,0.5
VS_MUT,Vesta,Mutable,394,354,748,0.53,0.47
