PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,15,13,28,0.54,0.46
CE_CH_a103,Ceres,Chiron,BiSeptile,76,56,132,0.58,0.42
CE_CH_a120,Ceres,Chiron,Trine,37,57,94,0.39,0.61
CE_CH_a135,Ceres,Chiron,SesquiSquare,43,52,95,0.45,0.55
CE_CH_a144,Ceres,Chiron,BiQuintile,54,44,98,0.55,0.45
CE_CH_a150,Ceres,Chiron,Quincunx,32,38,70,0.46,0.54
CE_CH_a180,Ceres,Chiron,Opposition,18,20,38,0.47,0.53
CE_CH_a30,Ceres,Chiron,SemiSextile,78,61,139,0.56,0.44
CE_CH_a36,Ceres,Chiron,SemiQuintile,76,77,153,0.5,0.5
CE_CH_a45,Ceres,Chiron,SemiSquare,55,52,107,0.51,0.49
CE_CH_a60,Ceres,Chiron,Sextile,40,52,92,0.43,0.57
CE_CH_a72,Ceres,Chiron,Quintile,33,51,84,0.39,0.61
CE_CH_a90,Ceres,Chiron,Square,42,41,83,0.51,0.49
CE_JU_a0,Ceres,Jupiter,Conjunction,24,22,46,0.52,0.48
CE_JU_a103,Ceres,Jupiter,BiSeptile,62,60,122,0.51,0.49
CE_JU_a120,Ceres,Jupiter,Trine,11,15,26,0.42,0.58
CE_JU_a135,Ceres,Jupiter,SesquiSquare,65,67,132,0.49,0.51
CE_JU_a144,Ceres,Jupiter,BiQuintile,50,56,106,0.47,0.53
CE_JU_a150,Ceres,Jupiter,Quincunx,45,45,90,0.5,0.5
CE_JU_a180,Ceres,Jupiter,Opposition,15,13,28,0.54,0.46
CE_JU_a30,Ceres,Jupiter,SemiSextile,58,49,107,0.54,0.46
CE_JU_a36,Ceres,Jupiter,SemiQuintile,102,104,206,0.5,0.5
CE_JU_a45,Ceres,Jupiter,SemiSquare,66,66,132,0.5,0.5
CE_JU_a60,Ceres,Jupiter,Sextile,27,33,60,0.45,0.55
CE_JU_a72,Ceres,Jupiter,Quintile,16,16,32,0.5,0.5
CE_JU_a90,Ceres,Jupiter,Square,66,57,123,0.54,0.46
CE_NE_a0,Ceres,Neptune,Conjunction,39,34,73,0.53,0.47
CE_NE_a103,Ceres,Neptune,BiSeptile,33,49,82,0.4,0.6
CE_NE_a120,Ceres,Neptune,Trine,39,40,79,0.49,0.51
CE_NE_a135,Ceres,Neptune,SesquiSquare,41,36,77,0.53,0.47
CE_NE_a144,Ceres,Neptune,BiQuintile,36,42,78,0.46,0.54
CE_NE_a150,Ceres,Neptune,Quincunx,57,52,109,0.52,0.48
CE_NE_a180,Ceres,Neptune,Opposition,10,19,29,0.34,0.66
CE_NE_a30,Ceres,Neptune,SemiSextile,68,75,143,0.48,0.52
CE_NE_a36,Ceres,Neptune,SemiQuintile,46,46,92,0.5,0.5
CE_NE_a45,Ceres,Neptune,SemiSquare,41,54,95,0.43,0.57
CE_NE_a60,Ceres,Neptune,Sextile,49,38,87,0.56,0.44
CE_NE_a72,Ceres,Neptune,Quintile,22,34,56,0.39,0.61
CE_NE_a90,Ceres,Neptune,Square,56,56,112,0.5,0.5
CE_NN_a0,Ceres,NNode,Conjunction,62,52,114,0.54,0.46
CE_NN_a103,Ceres,NNode,BiSeptile,38,35,73,0.52,0.48
CE_NN_a120,Ceres,NNode,Trine,50,66,116,0.43,0.57
CE_NN_a135,Ceres,NNode,SesquiSquare,90,87,177,0.51,0.49
CE_NN_a144,Ceres,NNode,BiQuintile,77,55,132,0.58,0.42
CE_NN_a150,Ceres,NNode,Quincunx,88,104,192,0.46,0.54
CE_NN_a180,Ceres,NNode,Opposition,11,21,32,0.34,0.66
CE_NN_a30,Ceres,NNode,SemiSextile,26,29,55,0.47,0.53
CE_NN_a36,Ceres,NNode,SemiQuintile,46,49,95,0.48,0.52
CE_NN_a45,Ceres,NNode,SemiSquare,31,23,54,0.57,0.43
CE_NN_a60,Ceres,NNode,Sextile,43,42,85,0.51,0.49
CE_NN_a72,Ceres,NNode,Quintile,42,55,97,0.43,0.57
CE_NN_a90,Ceres,NNode,Square,57,48,105,0.54,0.46
CE_PA_a103,Ceres,Pallas,BiSeptile,18,5,23,0.78,0.22
CE_PA_a30,Ceres,Pallas,SemiSextile,254,262,516,0.49,0.51
CE_PA_a36,Ceres,Pallas,SemiQuintile,214,199,413,0.52,0.48
CE_PA_a45,Ceres,Pallas,SemiSquare,121,140,261,0.46,0.54
CE_PA_a60,Ceres,Pallas,Sextile,85,78,163,0.52,0.48
CE_PA_a72,Ceres,Pallas,Quintile,52,46,98,0.53,0.47
CE_PA_a90,Ceres,Pallas,Square,25,19,44,0.57,0.43
CE_PH_a0,Ceres,Pholus,Conjunction,14,21,35,0.4,0.6
CE_PH_a103,Ceres,Pholus,BiSeptile,54,60,114,0.47,0.53
CE_PH_a120,Ceres,Pholus,Trine,47,42,89,0.53,0.47
CE_PH_a135,Ceres,Pholus,SesquiSquare,49,53,102,0.48,0.52
CE_PH_a144,Ceres,Pholus,BiQuintile,39,39,78,0.5,0.5
CE_PH_a150,Ceres,Pholus,Quincunx,36,26,62,0.58,0.42
CE_PH_a180,Ceres,Pholus,Opposition,30,37,67,0.45,0.55
CE_PH_a30,Ceres,Pholus,SemiSextile,48,63,111,0.43,0.57
CE_PH_a36,Ceres,Pholus,SemiQuintile,52,49,101,0.51,0.49
