PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,626,627,1253,0.5,0.5
CE_FIX,828,825,1653,0.5,0.5
CE_MUT,788,752,1540,0.51,0.49
CH_CAR,520,508,1028,0.51,0.49
CH_FIX,712,666,1378,0.52,0.48
CH_MUT,1010,1030,2040,0.5,0.5
EM_CAR,717,741,1458,0.49,0.51
EM_FIX,732,757,1489,0.49,0.51
EM_MUT,793,706,1499,0.53,0.47
ES_CAR,880,867,1747,0.5,0.5
ES_FIX,656,653,1309,0.5,0.5
ES_MUT,706,684,1390,0.51,0.49
JN_CAR,809,760,1569,0.52,0.48
JN_FIX,726,721,1447,0.5,0.5
JN_MUT,707,723,1430,0.49,0.51
JU_CAR,812,717,1529,0.53,0.47
JU_FIX,681,725,1406,0.48,0.52
JU_MUT,749,762,1511,0.5,0.5
MA_CAR,772,739,1511,0.51,0.49
MA_FIX,765,776,1541,0.5,0.5
MA_MUT,705,689,1394,0.51,0.49
ME_CAR,764,728,1492,0.51,0.49
ME_FIX,741,751,1492,0.5,0.5
ME_MUT,737,725,1462,0.5,0.5
MO_CAR,743,751,1494,0.5,0.5
MO_FIX,736,741,1477,0.5,0.5
MO_MUT,763,712,1475,0.52,0.48
NE_FIX,1039,981,2020,0.51,0.49
NE_MUT,1203,1223,2426,0.5,0.5
NN_CAR,775,842,1617,0.48,0.52
NN_FIX,754,694,1448,0.52,0.48
NN_MUT,713,668,1381,0.52,0.48
PA_CAR,814,788,1602,0.51,0.49
PA_FIX,683,661,1344,0.51,0.49
PA_MUT,745,755,1500,0.5,0.5
PH_CAR,303,296,599,0.51,0.49
PH_FIX,240,251,491,0.49,0.51
PH_MUT,1699,1657,3356,0.51,0.49
PL_CAR,1641,1626,3267,0.5,0.5
PL_MUT,601,578,1179,0.51,0.49
SA_CAR,908,911,1819,0.5,0.5
SA_FIX,666,635,1301,0.51,0.49
SA_MUT,668,658,1326,0.5,0.5
SN_CAR,775,842,1617,0.48,0.52
SN_FIX,754,694,1448,0.52,0.48
SN_MUT,713,668,1381,0.52,0.48
SU_CAR,748,748,1496,0.5,0.5
SU_FIX,728,739,1467,0.5,0.5
SU_MUT,766,717,1483,0.52,0.48
UR_CAR,1003,1006,2009,0.5,0.5
UR_FIX,321,317,638,0.5,0.5
UR_MUT,918,881,1799,0.51,0.49
VE_CAR,739,767,1506,0.49,0.51
VE_FIX,745,697,1442,0.52,0.48
VE_MUT,758,740,1498,0.51,0.49
VS_CAR,742,717,1459,0.51,0.49
VS_FIX,687,765,1452,0.47,0.53
VS_MUT,813,722,1535,0.53,0.47
