PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",228,193,421,0.54,0.46,CAR
"CAR_(6,8]",Cardinal,"(6,8]",431,362,793,0.54,0.46,CAR
"CAR_(8,14]",Cardinal,"(8,14]",313,254,567,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",385,300,685,0.56,0.44,CAR
"FIX_(5,6]",Fixed,"(5,6]",151,144,295,0.51,0.49,FIX
"FIX_(6,7]",Fixed,"(6,7]",96,87,183,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",89,83,172,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",1021,795,1816,0.56,0.44,FIX
"MUT_(4,6]",Mutable,"(4,6]",428,371,799,0.54,0.46,MUT
"MUT_(6,7]",Mutable,"(6,7]",232,194,426,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",462,331,793,0.58,0.42,MUT
"MUT_[0,4]",Mutable,"[0,4]",235,213,448,0.52,0.48,MUT
