PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,a0,"(0,2]",144,126,270,0.53,0.47
CE_a0_0,Ceres,a0,0,1144,916,2060,0.56,0.44
"CE_a103_(0,3]",Ceres,a103,"(0,3]",219,169,388,0.56,0.44
CE_a103_0,Ceres,a103,0,1069,873,1942,0.55,0.45
"CE_a120_(0,3]",Ceres,a120,"(0,3]",235,147,382,0.62,0.38
CE_a120_0,Ceres,a120,0,1053,895,1948,0.54,0.46
"CE_a135_(0,3]",Ceres,a135,"(0,3]",290,235,525,0.55,0.45
CE_a135_0,Ceres,a135,0,998,807,1805,0.55,0.45
"CE_a144_(0,3]",Ceres,a144,"(0,3]",254,214,468,0.54,0.46
CE_a144_0,Ceres,a144,0,1034,828,1862,0.56,0.44
"CE_a150_(0,3]",Ceres,a150,"(0,3]",218,170,388,0.56,0.44
CE_a150_0,Ceres,a150,0,1070,872,1942,0.55,0.45
"CE_a180_(0,2]",Ceres,a180,"(0,2]",88,88,176,0.5,0.5
CE_a180_0,Ceres,a180,0,1200,954,2154,0.56,0.44
"CE_a30_(0,1]",Ceres,a30,"(0,1]",342,275,617,0.55,0.45
"CE_a30_(1,3]",Ceres,a30,"(1,3]",58,52,110,0.53,0.47
CE_a30_0,Ceres,a30,0,888,715,1603,0.55,0.45
"CE_a36_(0,1]",Ceres,a36,"(0,1]",321,226,547,0.59,0.41
"CE_a36_(1,4]",Ceres,a36,"(1,4]",119,86,205,0.58,0.42
CE_a36_0,Ceres,a36,0,848,730,1578,0.54,0.46
"CE_a45_(0,3]",Ceres,a45,"(0,3]",446,324,770,0.58,0.42
CE_a45_0,Ceres,a45,0,842,718,1560,0.54,0.46
"CE_a60_(0,3]",Ceres,a60,"(0,3]",328,241,569,0.58,0.42
CE_a60_0,Ceres,a60,0,960,801,1761,0.55,0.45
"CE_a72_(0,3]",Ceres,a72,"(0,3]",285,234,519,0.55,0.45
CE_a72_0,Ceres,a72,0,1003,808,1811,0.55,0.45
"CE_a90_(0,3]",Ceres,a90,"(0,3]",143,106,249,0.57,0.43
CE_a90_0,Ceres,a90,0,1145,936,2081,0.55,0.45
CH_a0_0,Chiron,a0,0,1288,1042,2330,0.55,0.45
