PlanetElement,Planet,Element,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AIR,Ceres,Air,261,214,475,0.55,0.45
CE_EAR,Ceres,Earth,275,213,488,0.56,0.44
CE_FIR,Ceres,Fire,468,385,853,0.55,0.45
CE_WAT,Ceres,Water,286,231,517,0.55,0.45
CH_FIR,Chiron,Fire,486,395,881,0.55,0.45
CH_WAT,Chiron,Water,804,648,1452,0.55,0.45
JN_AIR,Juno,Air,330,267,597,0.55,0.45
JN_EAR,Juno,Earth,354,314,668,0.53,0.47
JN_FIR,Juno,Fire,286,251,537,0.53,0.47
JN_WAT,Juno,Water,320,211,531,0.6,0.4
JU_AIR,Jupiter,Air,283,167,450,0.63,0.37
JU_EAR,Jupiter,Earth,455,319,774,0.59,0.41
JU_FIR,Jupiter,Fire,350,365,715,0.49,0.51
JU_WAT,Jupiter,Water,202,192,394,0.51,0.49
MA_AIR,Mars,Air,310,245,555,0.56,0.44
MA_EAR,Mars,Earth,282,240,522,0.54,0.46
MA_FIR,Mars,Fire,427,298,725,0.59,0.41
MA_WAT,Mars,Water,271,260,531,0.51,0.49
ME_AIR,Mercury,Air,308,258,566,0.54,0.46
ME_EAR,Mercury,Earth,345,232,577,0.6,0.4
ME_FIR,Mercury,Fire,303,287,590,0.51,0.49
ME_WAT,Mercury,Water,334,266,600,0.56,0.44
MO_AIR,Moon,Air,333,247,580,0.57,0.43
MO_EAR,Moon,Earth,310,279,589,0.53,0.47
MO_FIR,Moon,Fire,321,259,580,0.55,0.45
MO_WAT,Moon,Water,326,258,584,0.56,0.44
NE_WAT,Neptune,Water,1290,1043,2333,0.55,0.45
NN_AIR,NNode,Air,340,294,634,0.54,0.46
NN_EAR,NNode,Earth,352,215,567,0.62,0.38
NN_FIR,NNode,Fire,305,261,566,0.54,0.46
NN_WAT,NNode,Water,293,273,566,0.52,0.48
PA_AIR,Pallas,Air,408,299,707,0.58,0.42
PA_EAR,Pallas,Earth,365,299,664,0.55,0.45
PA_FIR,Pallas,Fire,318,249,567,0.56,0.44
PA_WAT,Pallas,Water,199,196,395,0.5,0.5
PH_EAR,Pholus,Earth,477,373,850,0.56,0.44
PH_FIR,Pholus,Fire,813,670,1483,0.55,0.45
PL_EAR,Pluto,Earth,1290,1043,2333,0.55,0.45
SA_AIR,Saturn,Air,95,61,156,0.61,0.39
SA_EAR,Saturn,Earth,507,482,989,0.51,0.49
SA_FIR,Saturn,Fire,597,400,997,0.6,0.4
SA_WAT,Saturn,Water,91,100,191,0.48,0.52
SN_AIR,SNode,Air,305,261,566,0.54,0.46
SN_EAR,SNode,Earth,293,273,566,0.52,0.48
SN_FIR,SNode,Fire,341,294,635,0.54,0.46
SN_WAT,SNode,Water,351,215,566,0.62,0.38
SU_AIR,Sun,Air,344,251,595,0.58,0.42
SU_EAR,Sun,Earth,318,264,582,0.55,0.45
SU_FIR,Sun,Fire,320,256,576,0.56,0.44
SU_WAT,Sun,Water,308,272,580,0.53,0.47
UR_EAR,Uranus,Earth,481,398,879,0.55,0.45
UR_FIR,Uranus,Fire,809,645,1454,0.56,0.44
VE_AIR,Venus,Air,341,280,621,0.55,0.45
VE_EAR,Venus,Earth,266,240,506,0.53,0.47
VE_FIR,Venus,Fire,358,275,633,0.57,0.43
VE_WAT,Venus,Water,325,248,573,0.57,0.43
VS_AIR,Vesta,Air,185,138,323,0.57,0.43
VS_EAR,Vesta,Earth,371,361,732,0.51,0.49
VS_FIR,Vesta,Fire,441,322,763,0.58,0.42
VS_WAT,Vesta,Water,293,222,515,0.57,0.43
