PlanetElement,Planet,Element,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AIR,Ceres,Air,261,214,475,0.55,0.45
CE_EAR,Ceres,Earth,275,213,488,0.56,0.44
CE_FIR,Ceres,Fire,468,385,853,0.55,0.45
CE_WAT,Ceres,Water,283,229,512,0.55,0.45
CH_FIR,Chiron,Fire,483,393,876,0.55,0.45
CH_WAT,Chiron,Water,804,648,1452,0.55,0.45
JN_AIR,Juno,Air,330,267,597,0.55,0.45
JN_EAR,Juno,Earth,354,314,668,0.53,0.47
JN_FIR,Juno,Fire,283,249,532,0.53,0.47
JN_WAT,Juno,Water,320,211,531,0.6,0.4
JU_AIR,Jupiter,Air,280,165,445,0.63,0.37
JU_EAR,Jupiter,Earth,455,319,774,0.59,0.41
JU_FIR,Jupiter,Fire,350,365,715,0.49,0.51
JU_WAT,Jupiter,Water,202,192,394,0.51,0.49
MA_AIR,Mars,Air,310,245,555,0.56,0.44
MA_EAR,Mars,Earth,279,238,517,0.54,0.46
MA_FIR,Mars,Fire,427,298,725,0.59,0.41
MA_WAT,Mars,Water,271,260,531,0.51,0.49
ME_AIR,Mercury,Air,305,256,561,0.54,0.46
ME_EAR,Mercury,Earth,345,232,577,0.6,0.4
ME_FIR,Mercury,Fire,303,287,590,0.51,0.49
ME_WAT,Mercury,Water,334,266,600,0.56,0.44
MO_AIR,Moon,Air,332,247,579,0.57,0.43
MO_EAR,Moon,Earth,308,278,586,0.53,0.47
MO_FIR,Moon,Fire,321,258,579,0.55,0.45
MO_WAT,Moon,Water,326,258,584,0.56,0.44
NE_WAT,Neptune,Water,1287,1041,2328,0.55,0.45
NN_AIR,NNode,Air,337,292,629,0.54,0.46
NN_EAR,NNode,Earth,352,215,567,0.62,0.38
NN_FIR,NNode,Fire,305,261,566,0.54,0.46
NN_WAT,NNode,Water,293,273,566,0.52,0.48
PA_AIR,Pallas,Air,405,297,702,0.58,0.42
PA_EAR,Pallas,Earth,365,299,664,0.55,0.45
PA_FIR,Pallas,Fire,318,249,567,0.56,0.44
PA_WAT,Pallas,Water,199,196,395,0.5,0.5
PH_EAR,Pholus,Earth,474,371,845,0.56,0.44
PH_FIR,Pholus,Fire,813,670,1483,0.55,0.45
PL_EAR,Pluto,Earth,1287,1041,2328,0.55,0.45
SA_AIR,Saturn,Air,92,59,151,0.61,0.39
SA_EAR,Saturn,Earth,507,482,989,0.51,0.49
SA_FIR,Saturn,Fire,597,400,997,0.6,0.4
SA_WAT,Saturn,Water,91,100,191,0.48,0.52
SN_AIR,SNode,Air,305,261,566,0.54,0.46
SN_EAR,SNode,Earth,293,273,566,0.52,0.48
SN_FIR,SNode,Fire,338,292,630,0.54,0.46
SN_WAT,SNode,Water,351,215,566,0.62,0.38
SU_AIR,Sun,Air,341,249,590,0.58,0.42
SU_EAR,Sun,Earth,318,264,582,0.55,0.45
SU_FIR,Sun,Fire,320,256,576,0.56,0.44
SU_WAT,Sun,Water,308,272,580,0.53,0.47
UR_EAR,Uranus,Earth,478,396,874,0.55,0.45
UR_FIR,Uranus,Fire,809,645,1454,0.56,0.44
VE_AIR,Venus,Air,338,278,616,0.55,0.45
VE_EAR,Venus,Earth,266,240,506,0.53,0.47
VE_FIR,Venus,Fire,358,275,633,0.57,0.43
VE_WAT,Venus,Water,325,248,573,0.57,0.43
VS_AIR,Vesta,Air,185,138,323,0.57,0.43
VS_EAR,Vesta,Earth,368,359,727,0.51,0.49
VS_FIR,Vesta,Fire,441,322,763,0.58,0.42
VS_WAT,Vesta,Water,293,222,515,0.57,0.43
