PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,2131,1904,4035,0.53,0.47
CE_FIX,Ceres,Fixed,2007,1879,3886,0.52,0.48
CE_MUT,Ceres,Mutable,2361,1993,4354,0.54,0.46
CH_CAR,Chiron,Cardinal,2014,1819,3833,0.53,0.47
CH_FIX,Chiron,Fixed,2224,1914,4138,0.54,0.46
CH_MUT,Chiron,Mutable,2261,2043,4304,0.53,0.47
JN_CAR,Juno,Cardinal,2169,1968,4137,0.52,0.48
JN_FIX,Juno,Fixed,2173,1950,4123,0.53,0.47
JN_MUT,Juno,Mutable,2157,1858,4015,0.54,0.46
JU_CAR,Jupiter,Cardinal,2202,1962,4164,0.53,0.47
JU_FIX,Jupiter,Fixed,2126,1901,4027,0.53,0.47
JU_MUT,Jupiter,Mutable,2171,1913,4084,0.53,0.47
MA_CAR,Mars,Cardinal,2232,1957,4189,0.53,0.47
MA_FIX,Mars,Fixed,2137,1938,4075,0.52,0.48
MA_MUT,Mars,Mutable,2130,1881,4011,0.53,0.47
ME_CAR,Mercury,Cardinal,2164,1912,4076,0.53,0.47
ME_FIX,Mercury,Fixed,2192,1959,4151,0.53,0.47
ME_MUT,Mercury,Mutable,2143,1905,4048,0.53,0.47
MO_CAR,Moon,Cardinal,2162,1940,4102,0.53,0.47
MO_FIX,Moon,Fixed,2153,1942,4095,0.53,0.47
MO_MUT,Moon,Mutable,2184,1894,4078,0.54,0.46
NE_CAR,Neptune,Cardinal,1899,1609,3508,0.54,0.46
NE_FIX,Neptune,Fixed,1705,1669,3374,0.51,0.49
NE_MUT,Neptune,Mutable,2895,2498,5393,0.54,0.46
NN_CAR,NNode,Cardinal,2256,2023,4279,0.53,0.47
NN_FIX,NNode,Fixed,2084,1826,3910,0.53,0.47
NN_MUT,NNode,Mutable,2159,1927,4086,0.53,0.47
PA_CAR,Pallas,Cardinal,2140,1976,4116,0.52,0.48
PA_FIX,Pallas,Fixed,2247,1879,4126,0.54,0.46
PA_MUT,Pallas,Mutable,2112,1921,4033,0.52,0.48
PH_CAR,Pholus,Cardinal,1594,1430,3024,0.53,0.47
PH_FIX,Pholus,Fixed,1426,1308,2734,0.52,0.48
PH_MUT,Pholus,Mutable,3479,3038,6517,0.53,0.47
PL_CAR,Pluto,Cardinal,3259,2823,6082,0.54,0.46
PL_FIX,Pluto,Fixed,1570,1333,2903,0.54,0.46
PL_MUT,Pluto,Mutable,1670,1620,3290,0.51,0.49
SA_CAR,Saturn,Cardinal,2289,2069,4358,0.53,0.47
SA_FIX,Saturn,Fixed,2066,1783,3849,0.54,0.46
SA_MUT,Saturn,Mutable,2144,1924,4068,0.53,0.47
SN_CAR,SNode,Cardinal,2256,2023,4279,0.53,0.47
SN_FIX,SNode,Fixed,2084,1826,3910,0.53,0.47
SN_MUT,SNode,Mutable,2159,1927,4086,0.53,0.47
SU_CAR,Sun,Cardinal,2135,1893,4028,0.53,0.47
SU_FIX,Sun,Fixed,2215,1967,4182,0.53,0.47
SU_MUT,Sun,Mutable,2149,1916,4065,0.53,0.47
UR_CAR,Uranus,Cardinal,2387,2085,4472,0.53,0.47
UR_FIX,Uranus,Fixed,2232,1949,4181,0.53,0.47
UR_MUT,Uranus,Mutable,1880,1742,3622,0.52,0.48
VE_CAR,Venus,Cardinal,2142,1959,4101,0.52,0.48
VE_FIX,Venus,Fixed,2204,1934,4138,0.53,0.47
VE_MUT,Venus,Mutable,2153,1883,4036,0.53,0.47
VS_CAR,Vesta,Cardinal,2135,1958,4093,0.52,0.48
VS_FIX,Vesta,Fixed,2096,1898,3994,0.52,0.48
VS_MUT,Vesta,Mutable,2268,1920,4188,0.54,0.46
