PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,12,13,25,0.48,0.52
CE_Z01_2ARI,Ceres,AriesD2,12,14,26,0.46,0.54
CE_Z01_3ARI,Ceres,AriesD3,13,12,25,0.52,0.48
CE_Z02_1TAU,Ceres,TaurusD1,16,10,26,0.62,0.38
CE_Z02_2TAU,Ceres,TaurusD2,11,16,27,0.41,0.59
CE_Z02_3TAU,Ceres,TaurusD3,15,16,31,0.48,0.52
CE_Z03_1GEM,Ceres,GeminiD1,16,6,22,0.73,0.27
CE_Z05_1LEO,Ceres,LeoD1,44,58,102,0.43,0.57
CE_Z05_2LEO,Ceres,LeoD2,67,72,139,0.48,0.52
CE_Z05_3LEO,Ceres,LeoD1,7,20,27,0.26,0.74
CE_Z06_1VIR,Ceres,VirgoD1,14,10,24,0.58,0.42
CE_Z06_2VIR,Ceres,VirgoD2,5,18,23,0.22,0.78
CE_Z06_3VIR,Ceres,VirgoD3,10,13,23,0.43,0.57
CE_Z07_1LIB,Ceres,LibraD1,10,12,22,0.45,0.55
CE_Z07_2LIB,Ceres,LibraD2,12,10,22,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,9,13,22,0.41,0.59
CE_Z08_1SCO,Ceres,ScorpioD1,7,16,23,0.3,0.7
CE_Z08_2SCO,Ceres,ScorpioD2,13,12,25,0.52,0.48
CE_Z08_3SCO,Ceres,ScorpioD3,13,14,27,0.48,0.52
CE_Z09_1SAG,Ceres,SagittariusD1,75,85,160,0.47,0.53
CE_Z09_2SAG,Ceres,SagittariusD2,57,50,107,0.53,0.47
CE_Z09_3SAG,Ceres,SagittariusD3,17,11,28,0.61,0.39
CE_Z10_1CAP,Ceres,CapricornD1,11,15,26,0.42,0.58
CE_Z10_2CAP,Ceres,CapricornD2,12,13,25,0.48,0.52
CE_Z10_3CAP,Ceres,CapricornD3,16,9,25,0.64,0.36
CE_Z11_1AQU,Ceres,AquariusD1,14,12,26,0.54,0.46
CE_Z11_2AQU,Ceres,AquariusD2,10,17,27,0.37,0.63
CE_Z11_3AQU,Ceres,AquariusD3,37,32,69,0.54,0.46
CE_Z12_1PIS,Ceres,PiscesD1,76,63,139,0.55,0.45
