PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,13,20,33,0.39,0.61
CE_AM02,Ceres,Butain,17,15,32,0.53,0.47
CE_AM03,Ceres,Turaija,19,14,33,0.58,0.42
CE_AM04,Ceres,Dabaran,18,17,35,0.51,0.49
CE_AM05,Ceres,Haq'a,24,18,42,0.57,0.43
CE_AM06,Ceres,Han'a,17,28,45,0.38,0.62
CE_AM10,Ceres,Gabha,37,48,85,0.44,0.56
CE_AM11,Ceres,Zubra,76,84,160,0.48,0.52
CE_AM12,Ceres,Sarfa,11,22,33,0.33,0.67
CE_AM13,Ceres,Auwa,12,19,31,0.39,0.61
CE_AM14,Ceres,Simak,11,18,29,0.38,0.62
CE_AM15,Ceres,Gafr,12,16,28,0.43,0.57
CE_AM16,Ceres,Zubana,13,16,29,0.45,0.55
CE_AM17,Ceres,Iklik,12,17,29,0.41,0.59
CE_AM18,Ceres,Qualb,16,16,32,0.5,0.5
CE_AM19,Ceres,Saula,48,61,109,0.44,0.56
CE_AM20,Ceres,Na'a'im,92,80,172,0.53,0.47
CE_AM21,Ceres,Balda,20,17,37,0.54,0.46
CE_AM22,Ceres,Dabih,14,19,33,0.42,0.58
CE_AM23,Ceres,Bula,18,14,32,0.56,0.44
CE_AM24,Ceres,Su'ud,20,13,33,0.61,0.39
CE_AM25,Ceres,Ahbija,14,21,35,0.4,0.6
CE_AM26,Ceres,Muqaddam,72,57,129,0.56,0.44
CE_AM27,Ceres,Mu'ahhar,89,72,161,0.55,0.45
CE_AM28,Ceres,Risa,24,12,36,0.67,0.33
CH_AM01,Chiron,Saratan,547,538,1085,0.5,0.5
CH_AM02,Chiron,Butain,12,14,26,0.46,0.54
CH_AM28,Chiron,Risa,160,182,342,0.47,0.53
JN_AM01,Juno,Saratan,8,19,27,0.3,0.7
JN_AM02,Juno,Butain,10,17,27,0.37,0.63
JN_AM03,Juno,Turaija,14,15,29,0.48,0.52
JN_AM04,Juno,Dabaran,26,39,65,0.4,0.6
JN_AM05,Juno,Haq'a,67,85,152,0.44,0.56
JN_AM06,Juno,Han'a,21,9,30,0.7,0.3
JN_AM07,Juno,Dira,13,14,27,0.48,0.52
JN_AM08,Juno,Natra,11,15,26,0.42,0.58
JN_AM09,Juno,Tarf(a),13,14,27,0.48,0.52
JN_AM10,Juno,Gabha,14,12,26,0.54,0.46
JN_AM11,Juno,Zubra,11,17,28,0.39,0.61
JN_AM12,Juno,Sarfa,11,17,28,0.39,0.61
JN_AM13,Juno,Auwa,16,14,30,0.53,0.47
JN_AM14,Juno,Simak,19,14,33,0.58,0.42
JN_AM15,Juno,Gafr,87,58,145,0.6,0.4
JN_AM16,Juno,Zubana,80,81,161,0.5,0.5
JN_AM17,Juno,Iklik,18,19,37,0.49,0.51
JN_AM18,Juno,Qualb,19,18,37,0.51,0.49
JN_AM19,Juno,Saula,20,20,40,0.5,0.5
JN_AM20,Juno,Na'a'im,84,80,164,0.51,0.49
JN_AM21,Juno,Balda,58,49,107,0.54,0.46
JN_AM22,Juno,Dabih,12,13,25,0.48,0.52
JN_AM23,Juno,Bula,23,15,38,0.61,0.39
JN_AM24,Juno,Su'ud,20,12,32,0.62,0.38
JN_AM25,Juno,Ahbija,10,19,29,0.34,0.66
JN_AM26,Juno,Muqaddam,9,20,29,0.31,0.69
JN_AM27,Juno,Mu'ahhar,7,20,27,0.26,0.74
JN_AM28,Juno,Risa,18,9,27,0.67,0.33
JU_AM17,Jupiter,Iklik,25,22,47,0.53,0.47
JU_AM18,Jupiter,Qualb,106,137,243,0.44,0.56
JU_AM19,Jupiter,Saula,50,80,130,0.38,0.62
JU_AM20,Jupiter,Na'a'im,68,79,147,0.46,0.54
JU_AM21,Jupiter,Balda,118,105,223,0.53,0.47
JU_AM22,Jupiter,Dabih,30,27,57,0.53,0.47
JU_AM23,Jupiter,Bula,124,114,238,0.52,0.48
JU_AM24,Jupiter,Su'ud,70,51,121,0.58,0.42
JU_AM25,Jupiter,Ahbija,32,24,56,0.57,0.43
JU_AM26,Jupiter,Muqaddam,96,95,191,0.5,0.5
MA_AM01,Mars,Saratan,27,14,41,0.66,0.34
MA_AM02,Mars,Butain,63,77,140,0.45,0.55
MA_AM03,Mars,Turaija,44,39,83,0.53,0.47
MA_AM04,Mars,Dabaran,29,14,43,0.67,0.33
MA_AM05,Mars,Haq'a,28,13,41,0.68,0.32
MA_AM06,Mars,Han'a,14,28,42,0.33,0.67
MA_AM07,Mars,Dira,19,22,41,0.46,0.54
MA_AM08,Mars,Natra,23,18,41,0.56,0.44
MA_AM09,Mars,Tarf(a),24,17,41,0.59,0.41
MA_AM10,Mars,Gabha,14,27,41,0.34,0.66
