PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,454,436,890,0.51,0.49
CE_RET,Ceres,Retrograde,122,166,288,0.42,0.58
CE_STA,Ceres,Stationary,29,18,47,0.62,0.38
CH_DIR,Chiron,Direct,338,318,656,0.52,0.48
CH_RET,Chiron,Retrograde,232,261,493,0.47,0.53
CH_STA,Chiron,Stationary,35,41,76,0.46,0.54
JN_DIR,Juno,Direct,492,520,1012,0.49,0.51
JN_RET,Juno,Retrograde,89,89,178,0.5,0.5
JN_STA,Juno,Stationary,24,11,35,0.69,0.31
JU_DIR,Jupiter,Direct,412,398,810,0.51,0.49
JU_RET,Jupiter,Retrograde,167,191,358,0.47,0.53
JU_STA,Jupiter,Stationary,26,31,57,0.46,0.54
MA_DIR,Mars,Direct,537,532,1069,0.5,0.5
MA_RET,Mars,Retrograde,52,70,122,0.43,0.57
MA_STA,Mars,Stationary,16,18,34,0.47,0.53
ME_DIR,Mercury,Direct,467,488,955,0.49,0.51
ME_RET,Mercury,Retrograde,120,114,234,0.51,0.49
ME_STA,Mercury,Stationary,18,18,36,0.5,0.5
MO_DIR,Moon,Direct,605,620,1225,0.49,0.51
NE_DIR,Neptune,Direct,326,312,638,0.51,0.49
NE_RET,Neptune,Retrograde,218,243,461,0.47,0.53
NE_STA,Neptune,Stationary,61,65,126,0.48,0.52
NN_DIR,NNode,Direct,605,620,1225,0.49,0.51
PA_DIR,Pallas,Direct,429,476,905,0.47,0.53
PA_RET,Pallas,Retrograde,156,129,285,0.55,0.45
PA_STA,Pallas,Stationary,20,15,35,0.57,0.43
PH_DIR,Pholus,Direct,340,337,677,0.5,0.5
PH_RET,Pholus,Retrograde,211,238,449,0.47,0.53
PH_STA,Pholus,Stationary,54,45,99,0.55,0.45
PL_DIR,Pluto,Direct,344,334,678,0.51,0.49
PL_RET,Pluto,Retrograde,194,228,422,0.46,0.54
PL_STA,Pluto,Stationary,67,58,125,0.54,0.46
SA_DIR,Saturn,Direct,382,363,745,0.51,0.49
SA_RET,Saturn,Retrograde,183,222,405,0.45,0.55
SA_STA,Saturn,Stationary,40,35,75,0.53,0.47
SN_DIR,SNode,Direct,605,620,1225,0.49,0.51
SU_DIR,Sun,Direct,605,620,1225,0.49,0.51
UR_DIR,Uranus,Direct,319,320,639,0.5,0.5
UR_RET,Uranus,Retrograde,247,256,503,0.49,0.51
UR_STA,Uranus,Stationary,39,44,83,0.47,0.53
VE_DIR,Venus,Direct,550,569,1119,0.49,0.51
VE_RET,Venus,Retrograde,45,40,85,0.53,0.47
VE_STA,Venus,Stationary,10,11,21,0.48,0.52
VS_DIR,Vesta,Direct,491,491,982,0.5,0.5
VS_RET,Vesta,Retrograde,97,108,205,0.47,0.53
VS_STA,Vesta,Stationary,17,21,38,0.45,0.55
