PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",73,74,147,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",180,194,374,0.48,0.52,CAR
"CAR_(8,14]",Cardinal,"(8,14]",269,251,520,0.52,0.48,CAR
"CAR_[0,5]",Cardinal,"[0,5]",126,142,268,0.47,0.53,CAR
"FIX_(5,6]",Fixed,"(5,6]",80,94,174,0.46,0.54,FIX
"FIX_(6,7]",Fixed,"(6,7]",81,78,159,0.51,0.49,FIX
"FIX_(7,14]",Fixed,"(7,14]",73,93,166,0.44,0.56,FIX
"FIX_[0,5]",Fixed,"[0,5]",414,396,810,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",278,268,546,0.51,0.49,MUT
"MUT_(6,7]",Mutable,"(6,7]",99,84,183,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",63,74,137,0.46,0.54,MUT
"MUT_[0,4]",Mutable,"[0,4]",208,235,443,0.47,0.53,MUT
