PlanetTriplicity,Planet,Triplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,70,72,142,0.49,0.51
CE_FIX,Ceres,Fixed,212,253,465,0.46,0.54
CE_MUT,Ceres,Mutable,310,294,604,0.51,0.49
CH_CAR,Chiron,Cardinal,432,437,869,0.5,0.5
CH_MUT,Chiron,Mutable,160,182,342,0.47,0.53
JN_CAR,Juno,Cardinal,266,254,520,0.51,0.49
JN_FIX,Juno,Fixed,187,231,418,0.45,0.55
JN_MUT,Juno,Mutable,139,134,273,0.51,0.49
JU_CAR,Jupiter,Cardinal,208,178,386,0.54,0.46
JU_FIX,Jupiter,Fixed,194,242,436,0.44,0.56
JU_MUT,Jupiter,Mutable,190,199,389,0.49,0.51
MA_CAR,Mars,Cardinal,246,259,505,0.49,0.51
MA_FIX,Mars,Fixed,203,204,407,0.5,0.5
MA_MUT,Mars,Mutable,143,156,299,0.48,0.52
ME_CAR,Mercury,Cardinal,200,194,394,0.51,0.49
ME_FIX,Mercury,Fixed,189,236,425,0.44,0.56
ME_MUT,Mercury,Mutable,203,189,392,0.52,0.48
MO_CAR,Moon,Cardinal,203,204,407,0.5,0.5
MO_FIX,Moon,Fixed,199,205,404,0.49,0.51
MO_MUT,Moon,Mutable,190,210,400,0.48,0.52
NE_MUT,Neptune,Mutable,592,619,1211,0.49,0.51
NN_CAR,NNode,Cardinal,294,272,566,0.52,0.48
NN_FIX,NNode,Fixed,179,229,408,0.44,0.56
NN_MUT,NNode,Mutable,119,118,237,0.5,0.5
PA_CAR,Pallas,Cardinal,346,351,697,0.5,0.5
PA_FIX,Pallas,Fixed,153,176,329,0.47,0.53
PA_MUT,Pallas,Mutable,93,92,185,0.5,0.5
PH_CAR,Pholus,Cardinal,420,418,838,0.5,0.5
PH_MUT,Pholus,Mutable,172,201,373,0.46,0.54
PL_CAR,Pluto,Cardinal,592,619,1211,0.49,0.51
SA_CAR,Saturn,Cardinal,461,528,989,0.47,0.53
SA_FIX,Saturn,Fixed,86,58,144,0.6,0.4
SA_MUT,Saturn,Mutable,45,33,78,0.58,0.42
SN_CAR,SNode,Cardinal,294,272,566,0.52,0.48
SN_FIX,SNode,Fixed,179,229,408,0.44,0.56
SN_MUT,SNode,Mutable,119,118,237,0.5,0.5
SU_CAR,Sun,Cardinal,223,188,411,0.54,0.46
SU_FIX,Sun,Fixed,184,222,406,0.45,0.55
SU_MUT,Sun,Mutable,185,209,394,0.47,0.53
UR_CAR,Uranus,Cardinal,158,186,344,0.46,0.54
UR_FIX,Uranus,Fixed,434,433,867,0.5,0.5
VE_CAR,Venus,Cardinal,171,221,392,0.44,0.56
VE_FIX,Venus,Fixed,196,191,387,0.51,0.49
VE_MUT,Venus,Mutable,225,207,432,0.52,0.48
VS_CAR,Vesta,Cardinal,155,171,326,0.48,0.52
VS_FIX,Vesta,Fixed,236,241,477,0.49,0.51
VS_MUT,Vesta,Mutable,201,207,408,0.49,0.51
