PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,70,72,142,0.49,0.51
CE_FIX,Ceres,Fixed,212,253,465,0.46,0.54
CE_MUT,Ceres,Mutable,312,294,606,0.51,0.49
CH_CAR,Chiron,Cardinal,434,437,871,0.5,0.5
CH_MUT,Chiron,Mutable,160,182,342,0.47,0.53
JN_CAR,Juno,Cardinal,266,254,520,0.51,0.49
JN_FIX,Juno,Fixed,187,231,418,0.45,0.55
JN_MUT,Juno,Mutable,141,134,275,0.51,0.49
JU_CAR,Jupiter,Cardinal,208,178,386,0.54,0.46
JU_FIX,Jupiter,Fixed,196,242,438,0.45,0.55
JU_MUT,Jupiter,Mutable,190,199,389,0.49,0.51
MA_CAR,Mars,Cardinal,246,259,505,0.49,0.51
MA_FIX,Mars,Fixed,205,204,409,0.5,0.5
MA_MUT,Mars,Mutable,143,156,299,0.48,0.52
ME_CAR,Mercury,Cardinal,200,194,394,0.51,0.49
ME_FIX,Mercury,Fixed,191,236,427,0.45,0.55
ME_MUT,Mercury,Mutable,203,189,392,0.52,0.48
MO_CAR,Moon,Cardinal,203,204,407,0.5,0.5
MO_FIX,Moon,Fixed,200,204,404,0.5,0.5
MO_MUT,Moon,Mutable,191,211,402,0.48,0.52
NE_MUT,Neptune,Mutable,594,619,1213,0.49,0.51
NN_CAR,NNode,Cardinal,294,272,566,0.52,0.48
NN_FIX,NNode,Fixed,179,229,408,0.44,0.56
NN_MUT,NNode,Mutable,121,118,239,0.51,0.49
PA_CAR,Pallas,Cardinal,346,351,697,0.5,0.5
PA_FIX,Pallas,Fixed,155,176,331,0.47,0.53
PA_MUT,Pallas,Mutable,93,92,185,0.5,0.5
PH_CAR,Pholus,Cardinal,422,418,840,0.5,0.5
PH_MUT,Pholus,Mutable,172,201,373,0.46,0.54
PL_CAR,Pluto,Cardinal,594,619,1213,0.49,0.51
SA_CAR,Saturn,Cardinal,461,528,989,0.47,0.53
SA_FIX,Saturn,Fixed,88,58,146,0.6,0.4
SA_MUT,Saturn,Mutable,45,33,78,0.58,0.42
SN_CAR,SNode,Cardinal,294,272,566,0.52,0.48
SN_FIX,SNode,Fixed,179,229,408,0.44,0.56
SN_MUT,SNode,Mutable,121,118,239,0.51,0.49
SU_CAR,Sun,Cardinal,223,188,411,0.54,0.46
SU_FIX,Sun,Fixed,186,222,408,0.46,0.54
SU_MUT,Sun,Mutable,185,209,394,0.47,0.53
UR_CAR,Uranus,Cardinal,158,186,344,0.46,0.54
UR_FIX,Uranus,Fixed,436,433,869,0.5,0.5
VE_CAR,Venus,Cardinal,173,221,394,0.44,0.56
VE_FIX,Venus,Fixed,196,191,387,0.51,0.49
VE_MUT,Venus,Mutable,225,207,432,0.52,0.48
VS_CAR,Vesta,Cardinal,155,171,326,0.48,0.52
VS_FIX,Vesta,Fixed,236,241,477,0.49,0.51
VS_MUT,Vesta,Mutable,203,207,410,0.5,0.5
