PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1004,953,1957,0.51,0.49
CE_FIX,Ceres,Fixed,966,931,1897,0.51,0.49
CE_MUT,Ceres,Mutable,1147,965,2112,0.54,0.46
CH_CAR,Chiron,Cardinal,834,738,1572,0.53,0.47
CH_FIX,Chiron,Fixed,926,843,1769,0.52,0.48
CH_MUT,Chiron,Mutable,1357,1268,2625,0.52,0.48
JN_CAR,Juno,Cardinal,982,893,1875,0.52,0.48
JN_FIX,Juno,Fixed,1188,1020,2208,0.54,0.46
JN_MUT,Juno,Mutable,947,936,1883,0.5,0.5
JU_CAR,Jupiter,Cardinal,990,943,1933,0.51,0.49
JU_FIX,Jupiter,Fixed,1057,932,1989,0.53,0.47
JU_MUT,Jupiter,Mutable,1070,974,2044,0.52,0.48
MA_CAR,Mars,Cardinal,1023,935,1958,0.52,0.48
MA_FIX,Mars,Fixed,1039,966,2005,0.52,0.48
MA_MUT,Mars,Mutable,1055,948,2003,0.53,0.47
ME_CAR,Mercury,Cardinal,1008,947,1955,0.52,0.48
ME_FIX,Mercury,Fixed,1051,952,2003,0.52,0.48
ME_MUT,Mercury,Mutable,1058,950,2008,0.53,0.47
MO_CAR,Moon,Cardinal,1007,985,1992,0.51,0.49
MO_FIX,Moon,Fixed,1047,936,1983,0.53,0.47
MO_MUT,Moon,Mutable,1063,928,1991,0.53,0.47
NE_CAR,Neptune,Cardinal,129,115,244,0.53,0.47
NE_FIX,Neptune,Fixed,1704,1670,3374,0.51,0.49
NE_MUT,Neptune,Mutable,1284,1064,2348,0.55,0.45
NN_CAR,NNode,Cardinal,997,953,1950,0.51,0.49
NN_FIX,NNode,Fixed,1036,916,1952,0.53,0.47
NN_MUT,NNode,Mutable,1084,980,2064,0.53,0.47
PA_CAR,Pallas,Cardinal,1073,987,2060,0.52,0.48
PA_FIX,Pallas,Fixed,990,934,1924,0.51,0.49
PA_MUT,Pallas,Mutable,1054,928,1982,0.53,0.47
PH_CAR,Pholus,Cardinal,640,551,1191,0.54,0.46
PH_FIX,Pholus,Fixed,749,764,1513,0.5,0.5
PH_MUT,Pholus,Mutable,1728,1534,3262,0.53,0.47
PL_CAR,Pluto,Cardinal,1715,1447,3162,0.54,0.46
PL_MUT,Pluto,Mutable,1402,1402,2804,0.5,0.5
SA_CAR,Saturn,Cardinal,1186,1048,2234,0.53,0.47
SA_FIX,Saturn,Fixed,946,907,1853,0.51,0.49
SA_MUT,Saturn,Mutable,985,894,1879,0.52,0.48
SN_CAR,SNode,Cardinal,997,953,1950,0.51,0.49
SN_FIX,SNode,Fixed,1036,916,1952,0.53,0.47
SN_MUT,SNode,Mutable,1084,980,2064,0.53,0.47
SU_CAR,Sun,Cardinal,1044,911,1955,0.53,0.47
SU_FIX,Sun,Fixed,1021,1009,2030,0.5,0.5
SU_MUT,Sun,Mutable,1052,929,1981,0.53,0.47
UR_CAR,Uranus,Cardinal,1052,887,1939,0.54,0.46
UR_FIX,Uranus,Fixed,1091,1047,2138,0.51,0.49
UR_MUT,Uranus,Mutable,974,915,1889,0.52,0.48
VE_CAR,Venus,Cardinal,1066,956,2022,0.53,0.47
VE_FIX,Venus,Fixed,1042,945,1987,0.52,0.48
VE_MUT,Venus,Mutable,1009,948,1957,0.52,0.48
VS_CAR,Vesta,Cardinal,1048,1008,2056,0.51,0.49
VS_FIX,Vesta,Fixed,1037,941,1978,0.52,0.48
VS_MUT,Vesta,Mutable,1032,900,1932,0.53,0.47
