PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_NE_a36,1,147,0.004,0.037,0.003,0.002,0.016,-0.089,0.158,0.247,1.409,5.699,0.003
CE_PA_a30,1,625,0.001,0.024,0.001,0.001,0.015,-0.122,0.121,0.243,0.18,5.685,0.001
CE_PH_a150,1,170,0,0.045,-0.002,-0.001,0.025,-0.18,0.181,0.361,0.108,4.449,0.003
CE_UR_a30,1,169,0.006,0.029,0.003,0.004,0.017,-0.099,0.157,0.256,1.588,9.034,0.002
CH_PL_a36,1,279,0.001,0.028,-0.001,0,0.015,-0.167,0.134,0.301,-0.253,10.387,0.002
CH_UR_a103,1,41,0.008,0.05,0.001,0.005,0.035,-0.099,0.134,0.233,0.51,0.297,0.008
JN_CH_a120,1,148,0.006,0.049,-0.001,0.001,0.015,-0.134,0.327,0.461,3.142,17.671,0.004
JN_NN_a90,1,138,-0.002,0.025,-0.001,-0.001,0.014,-0.124,0.092,0.216,-0.751,7.444,0.002
JN_SA_a72,1,102,0.005,0.035,0.005,0.004,0.025,-0.099,0.161,0.26,0.646,3.71,0.003
JN_SN_a90,1,138,-0.002,0.025,-0.001,-0.001,0.014,-0.124,0.092,0.216,-0.751,7.444,0.002
JU_NN_a144,1,149,0.004,0.04,-0.001,0,0.022,-0.099,0.186,0.285,1.542,5.025,0.003
JU_PH_a135,1,152,0,0.032,0,-0.001,0.016,-0.099,0.134,0.233,0.802,4.084,0.003
JU_SN_a36,1,149,0.004,0.04,-0.001,0,0.022,-0.099,0.186,0.285,1.542,5.025,0.003
MA_CH_a36,1,146,-0.007,0.034,-0.004,-0.005,0.021,-0.18,0.101,0.281,-1.254,5.457,0.003
MA_JU_a150,1,152,0.009,0.037,0.005,0.007,0.018,-0.18,0.181,0.361,0.398,8.718,0.003
MA_PA_a135,1,67,0.001,0.035,-0.001,0,0.015,-0.099,0.14,0.238,0.757,3.757,0.004
ME_JU_a72,1,139,-0.002,0.022,0,-0.001,0.015,-0.099,0.061,0.16,-1.089,4.329,0.002
ME_MA_a135,1,60,-0.006,0.03,-0.004,-0.004,0.023,-0.099,0.056,0.155,-0.881,1.336,0.004
ME_PL_a150,1,145,0.003,0.026,0.002,0.002,0.013,-0.099,0.12,0.219,0.995,7.791,0.002
ME_VE_a36,1,375,0,0.028,-0.001,-0.001,0.018,-0.109,0.186,0.295,0.951,7.135,0.001
ME_VS_a30,1,181,0.002,0.032,0.004,0.003,0.017,-0.168,0.121,0.289,-0.766,5.982,0.002
MO_NN_a36,1,463,0.001,0.03,0.001,0,0.016,-0.122,0.181,0.303,0.525,7.263,0.001
MO_SN_a144,1,463,0.001,0.03,0.001,0,0.016,-0.122,0.181,0.303,0.525,7.263,0.001
NN_CH_a30,1,83,0.005,0.037,0.004,0.002,0.018,-0.099,0.23,0.329,2.539,15.149,0.004
NN_SN_a180,1,6173,0.002,0.03,0.001,0.001,0.016,-0.22,0.327,0.547,0.883,13.121,0
PA_PH_a120,1,129,-0.001,0.027,0.002,0,0.022,-0.099,0.088,0.187,-0.305,2.267,0.002
PH_PL_a60,1,8,-0.015,0.058,-0.015,-0.015,0.059,-0.099,0.076,0.175,0.019,-1.42,0.02
SN_CH_a150,1,83,0.005,0.037,0.004,0.002,0.018,-0.099,0.23,0.329,2.539,15.149,0.004
SU_NE_a120,1,150,-0.001,0.031,0,-0.001,0.016,-0.134,0.101,0.235,0.047,4.476,0.003
VE_CH_a135,1,147,-0.002,0.023,0,-0.001,0.016,-0.099,0.069,0.167,-0.856,3.716,0.002
VE_NN_a103,1,123,-0.002,0.046,0.001,-0.002,0.023,-0.186,0.233,0.419,0.39,7.526,0.004
VS_JU_a45,1,120,0.002,0.027,0.003,0.002,0.016,-0.099,0.085,0.184,-0.333,2.857,0.003
VS_PA_a60,1,82,-0.002,0.025,0,-0.001,0.013,-0.099,0.083,0.182,-0.856,5.964,0.003
VS_PH_a180,1,90,-0.002,0.027,0,0,0.014,-0.099,0.079,0.178,-0.6,2.302,0.003
VS_PL_a120,1,218,0,0.039,-0.001,0,0.023,-0.186,0.153,0.339,-0.116,4.457,0.003
MO_ME_a180,1,215,-0.001,0.028,-0.001,0,0.018,-0.124,0.096,0.22,-0.225,3.441,0.002
MO_PL_a30,1,461,0,0.029,-0.001,-0.001,0.016,-0.19,0.161,0.351,-0.479,11.395,0.001
SU_SA_a45,1,148,0,0.025,0.001,0.001,0.016,-0.099,0.071,0.17,-0.542,3.203,0.002
ME_PH_a150,1,143,-0.002,0.029,-0.001,-0.002,0.017,-0.116,0.14,0.256,0.103,5.943,0.002
MO_MA_a45,1,439,0.004,0.034,0.002,0.002,0.017,-0.18,0.327,0.507,2.542,24.647,0.002
MO_VS_a150,1,444,0.002,0.032,0.001,0.002,0.016,-0.164,0.327,0.492,2.311,27.403,0.002
MO_VE_a144,1,426,0.003,0.034,0.001,0.001,0.016,-0.116,0.327,0.443,3.369,27.718,0.002
MO_PA_a90,1,451,-0.001,0.028,0,0,0.016,-0.169,0.188,0.357,-0.42,11.997,0.001
MO_PH_a30,1,460,0,0.027,-0.001,-0.001,0.016,-0.18,0.182,0.362,0.277,9.81,0.001
MO_CE_a120,1,448,0.001,0.029,0,0,0.015,-0.122,0.23,0.352,1.869,16.229,0.001
ME_PA_a90,1,117,0.004,0.03,0.001,0.003,0.016,-0.099,0.164,0.263,1.315,7.929,0.003
MO_JU_a103,1,466,0.001,0.031,0,0.001,0.019,-0.18,0.185,0.365,0.215,8.177,0.001
MO_UR_a90,1,461,0.001,0.029,0,0,0.017,-0.167,0.14,0.306,0.12,6.174,0.001
MO_NN_a45,1,454,0.001,0.031,0,0,0.015,-0.134,0.266,0.4,2.028,17.339,0.001
MO_SN_a135,1,454,0.001,0.031,0,0,0.015,-0.134,0.266,0.4,2.028,17.339,0.001
MO_JN_a135,1,444,0.001,0.028,0.001,0,0.016,-0.124,0.235,0.359,1.734,15.115,0.001
MO_VS_a144,1,432,0.001,0.031,0,0.001,0.016,-0.164,0.158,0.323,0.074,8.489,0.002
MO_PH_a36,1,446,0,0.027,-0.001,0,0.017,-0.18,0.134,0.314,-0.243,7.328,0.001
MO_VE_a150,1,424,0.002,0.031,0.001,0.001,0.016,-0.134,0.327,0.461,2.904,32.316,0.001
NN_UR_a135,1,215,0.008,0.044,0.002,0.004,0.024,-0.099,0.327,0.426,2.519,13.709,0.003
SN_UR_a45,1,215,0.008,0.044,0.002,0.004,0.024,-0.099,0.327,0.426,2.519,13.709,0.003
MO_SA_a150,1,450,0.002,0.029,0.001,0.001,0.016,-0.136,0.182,0.318,0.723,8.16,0.001
