PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,634,632,1266,0.5,0.5
CE_FIX,Ceres,Fixed,819,834,1653,0.5,0.5
CE_MUT,Ceres,Mutable,774,753,1527,0.51,0.49
CH_CAR,Chiron,Cardinal,519,497,1016,0.51,0.49
CH_FIX,Chiron,Fixed,687,703,1390,0.49,0.51
CH_MUT,Chiron,Mutable,1021,1019,2040,0.5,0.5
JN_CAR,Juno,Cardinal,786,783,1569,0.5,0.5
JN_FIX,Juno,Fixed,737,710,1447,0.51,0.49
JN_MUT,Juno,Mutable,704,726,1430,0.49,0.51
JU_CAR,Jupiter,Cardinal,775,765,1540,0.5,0.5
JU_FIX,Jupiter,Fixed,725,689,1414,0.51,0.49
JU_MUT,Jupiter,Mutable,727,765,1492,0.49,0.51
MA_CAR,Mars,Cardinal,776,736,1512,0.51,0.49
MA_FIX,Mars,Fixed,774,775,1549,0.5,0.5
MA_MUT,Mars,Mutable,677,708,1385,0.49,0.51
ME_CAR,Mercury,Cardinal,759,718,1477,0.51,0.49
ME_FIX,Mercury,Fixed,749,751,1500,0.5,0.5
ME_MUT,Mercury,Mutable,719,750,1469,0.49,0.51
MO_CAR,Moon,Cardinal,721,774,1495,0.48,0.52
MO_FIX,Moon,Fixed,756,718,1474,0.51,0.49
MO_MUT,Moon,Mutable,750,727,1477,0.51,0.49
NE_FIX,Neptune,Fixed,1024,1008,2032,0.5,0.5
NE_MUT,Neptune,Mutable,1203,1211,2414,0.5,0.5
NN_CAR,NNode,Cardinal,762,835,1597,0.48,0.52
NN_FIX,NNode,Fixed,760,702,1462,0.52,0.48
NN_MUT,NNode,Mutable,705,682,1387,0.51,0.49
PA_CAR,Pallas,Cardinal,815,787,1602,0.51,0.49
PA_FIX,Pallas,Fixed,679,654,1333,0.51,0.49
PA_MUT,Pallas,Mutable,733,778,1511,0.49,0.51
PH_CAR,Pholus,Cardinal,307,300,607,0.51,0.49
PH_FIX,Pholus,Fixed,252,239,491,0.51,0.49
PH_MUT,Pholus,Mutable,1668,1680,3348,0.5,0.5
PL_CAR,Pluto,Cardinal,1631,1624,3255,0.5,0.5
PL_MUT,Pluto,Mutable,596,595,1191,0.5,0.5
SA_CAR,Saturn,Cardinal,905,893,1798,0.5,0.5
SA_FIX,Saturn,Fixed,668,642,1310,0.51,0.49
SA_MUT,Saturn,Mutable,654,684,1338,0.49,0.51
SN_CAR,SNode,Cardinal,762,835,1597,0.48,0.52
SN_FIX,SNode,Fixed,760,702,1462,0.52,0.48
SN_MUT,SNode,Mutable,705,682,1387,0.51,0.49
SU_CAR,Sun,Cardinal,754,729,1483,0.51,0.49
SU_FIX,Sun,Fixed,739,749,1488,0.5,0.5
SU_MUT,Sun,Mutable,734,741,1475,0.5,0.5
UR_CAR,Uranus,Cardinal,1008,1001,2009,0.5,0.5
UR_FIX,Uranus,Fixed,317,309,626,0.51,0.49
UR_MUT,Uranus,Mutable,902,909,1811,0.5,0.5
VE_CAR,Venus,Cardinal,740,753,1493,0.5,0.5
VE_FIX,Venus,Fixed,724,726,1450,0.5,0.5
VE_MUT,Venus,Mutable,763,740,1503,0.51,0.49
VS_CAR,Vesta,Cardinal,719,739,1458,0.49,0.51
VS_FIX,Vesta,Fixed,696,748,1444,0.48,0.52
VS_MUT,Vesta,Mutable,812,732,1544,0.53,0.47
