PlanetPolarity,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,550,535,1085,0.51,0.49
CE_EAR,550,520,1070,0.51,0.49
CE_FIR,533,572,1105,0.48,0.52
CE_WAT,622,576,1198,0.52,0.48
CH_AIR,713,677,1390,0.51,0.49
CH_EAR,219,188,407,0.54,0.46
CH_FIR,305,316,621,0.49,0.51
CH_WAT,1018,1022,2040,0.5,0.5
EM_AIR,626,636,1262,0.5,0.5
EM_EAR,544,450,994,0.55,0.45
EM_FIR,660,688,1348,0.49,0.51
EM_WAT,425,429,854,0.5,0.5
ES_AIR,387,370,757,0.51,0.49
ES_EAR,580,634,1214,0.48,0.52
ES_FIR,505,488,993,0.51,0.49
ES_WAT,783,711,1494,0.52,0.48
JN_AIR,653,617,1270,0.51,0.49
JN_EAR,614,584,1198,0.51,0.49
JN_FIR,500,556,1056,0.47,0.53
JN_WAT,488,446,934,0.52,0.48
JU_AIR,588,544,1132,0.52,0.48
JU_EAR,631,671,1302,0.48,0.52
JU_FIR,496,496,992,0.5,0.5
JU_WAT,540,492,1032,0.52,0.48
MA_AIR,549,567,1116,0.49,0.51
MA_EAR,597,554,1151,0.52,0.48
MA_FIR,610,583,1193,0.51,0.49
MA_WAT,499,499,998,0.5,0.5
ME_AIR,482,536,1018,0.47,0.53
ME_EAR,546,518,1064,0.51,0.49
ME_FIR,595,594,1189,0.5,0.5
ME_WAT,632,555,1187,0.53,0.47
MO_AIR,528,579,1107,0.48,0.52
MO_EAR,547,570,1117,0.49,0.51
MO_FIR,596,520,1116,0.53,0.47
MO_WAT,584,534,1118,0.52,0.48
NE_AIR,1051,981,2032,0.52,0.48
NE_WAT,1204,1222,2426,0.5,0.5
NN_AIR,479,493,972,0.49,0.51
NN_EAR,541,527,1068,0.51,0.49
NN_FIR,607,602,1209,0.5,0.5
NN_WAT,628,581,1209,0.52,0.48
PA_AIR,596,624,1220,0.49,0.51
PA_EAR,635,610,1245,0.51,0.49
PA_FIR,486,461,947,0.51,0.49
PA_WAT,538,508,1046,0.51,0.49
PH_EAR,298,301,599,0.5,0.5
PH_FIR,1706,1662,3368,0.51,0.49
PH_WAT,251,240,491,0.51,0.49
PL_EAR,1638,1629,3267,0.5,0.5
PL_FIR,617,574,1191,0.52,0.48
SA_AIR,411,381,792,0.52,0.48
SA_EAR,661,675,1336,0.49,0.51
SA_FIR,644,619,1263,0.51,0.49
SA_WAT,539,528,1067,0.51,0.49
SN_AIR,607,602,1209,0.5,0.5
SN_EAR,628,581,1209,0.52,0.48
SN_FIR,479,493,972,0.49,0.51
SN_WAT,541,527,1068,0.51,0.49
SU_AIR,561,550,1111,0.5,0.5
SU_EAR,564,564,1128,0.5,0.5
SU_FIR,590,525,1115,0.53,0.47
SU_WAT,540,564,1104,0.49,0.51
UR_AIR,13,6,19,0.68,0.32
UR_EAR,309,310,619,0.5,0.5
UR_FIR,1002,1007,2009,0.5,0.5
UR_WAT,931,880,1811,0.51,0.49
VE_AIR,571,620,1191,0.48,0.52
VE_EAR,572,511,1083,0.53,0.47
VE_FIR,569,566,1135,0.5,0.5
VE_WAT,543,506,1049,0.52,0.48
VS_AIR,559,523,1082,0.52,0.48
VS_EAR,540,590,1130,0.48,0.52
VS_FIR,609,556,1165,0.52,0.48
VS_WAT,547,534,1081,0.51,0.49
