PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,464,427,891,0.52,0.48
CE_RET,Ceres,Retrograde,147,141,288,0.51,0.49
CE_STA,Ceres,Stationary,31,16,47,0.66,0.34
CH_DIR,Chiron,Direct,360,286,646,0.56,0.44
CH_RET,Chiron,Retrograde,245,259,504,0.49,0.51
CH_STA,Chiron,Stationary,37,39,76,0.49,0.51
JN_DIR,Juno,Direct,526,487,1013,0.52,0.48
JN_RET,Juno,Retrograde,94,84,178,0.53,0.47
JN_STA,Juno,Stationary,22,13,35,0.63,0.37
JU_DIR,Jupiter,Direct,419,392,811,0.52,0.48
JU_RET,Jupiter,Retrograde,200,158,358,0.56,0.44
JU_STA,Jupiter,Stationary,23,34,57,0.4,0.6
MA_DIR,Mars,Direct,566,504,1070,0.53,0.47
MA_RET,Mars,Retrograde,59,63,122,0.48,0.52
MA_STA,Mars,Stationary,17,17,34,0.5,0.5
ME_DIR,Mercury,Direct,508,458,966,0.53,0.47
ME_RET,Mercury,Retrograde,113,111,224,0.5,0.5
ME_STA,Mercury,Stationary,21,15,36,0.58,0.42
MO_DIR,Moon,Direct,642,584,1226,0.52,0.48
NE_DIR,Neptune,Direct,344,284,628,0.55,0.45
NE_RET,Neptune,Retrograde,238,234,472,0.5,0.5
NE_STA,Neptune,Stationary,60,66,126,0.48,0.52
NN_DIR,NNode,Direct,642,584,1226,0.52,0.48
PA_DIR,Pallas,Direct,453,442,895,0.51,0.49
PA_RET,Pallas,Retrograde,169,127,296,0.57,0.43
PA_STA,Pallas,Stationary,20,15,35,0.57,0.43
PH_DIR,Pholus,Direct,350,328,678,0.52,0.48
PH_RET,Pholus,Retrograde,240,209,449,0.53,0.47
PH_STA,Pholus,Stationary,52,47,99,0.53,0.47
PL_DIR,Pluto,Direct,347,321,668,0.52,0.48
PL_RET,Pluto,Retrograde,216,206,422,0.51,0.49
PL_STA,Pluto,Stationary,79,57,136,0.58,0.42
SA_DIR,Saturn,Direct,396,350,746,0.53,0.47
SA_RET,Saturn,Retrograde,205,200,405,0.51,0.49
SA_STA,Saturn,Stationary,41,34,75,0.55,0.45
SN_DIR,SNode,Direct,642,584,1226,0.52,0.48
SU_DIR,Sun,Direct,642,584,1226,0.52,0.48
UR_DIR,Uranus,Direct,337,292,629,0.54,0.46
UR_RET,Uranus,Retrograde,256,258,514,0.5,0.5
UR_STA,Uranus,Stationary,49,34,83,0.59,0.41
VE_DIR,Venus,Direct,579,541,1120,0.52,0.48
VE_RET,Venus,Retrograde,52,33,85,0.61,0.39
VE_STA,Venus,Stationary,11,10,21,0.52,0.48
VS_DIR,Vesta,Direct,534,459,993,0.54,0.46
VS_RET,Vesta,Retrograde,86,109,195,0.44,0.56
VS_STA,Vesta,Stationary,22,16,38,0.58,0.42
