MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,61,65,126,0.48,0.52
F_Z02_TAU,Full,Taurus,44,58,102,0.43,0.57
F_Z03_GEM,Full,Gemini,60,72,132,0.45,0.55
F_Z04_CAN,Full,Cancer,49,39,88,0.56,0.44
F_Z05_LEO,Full,Leo,64,70,134,0.48,0.52
F_Z06_VIR,Full,Virgo,31,45,76,0.41,0.59
F_Z07_LIB,Full,Libra,68,51,119,0.57,0.43
F_Z08_SCO,Full,Scorpio,42,48,90,0.47,0.53
F_Z09_SAG,Full,Sagittarius,64,84,148,0.43,0.57
F_Z10_CAP,Full,Capricorn,30,44,74,0.41,0.59
F_Z11_AQU,Full,Aquarius,58,73,131,0.44,0.56
F_Z12_PIS,Full,Pisces,46,45,91,0.51,0.49
N_Z01_ARI,New,Aries,48,41,89,0.54,0.46
N_Z02_TAU,New,Taurus,65,63,128,0.51,0.49
N_Z03_GEM,New,Gemini,41,48,89,0.46,0.54
N_Z04_CAN,New,Cancer,53,64,117,0.45,0.55
N_Z05_LEO,New,Leo,48,57,105,0.46,0.54
N_Z06_VIR,New,Virgo,53,65,118,0.45,0.55
N_Z07_LIB,New,Libra,52,84,136,0.38,0.62
N_Z08_SCO,New,Scorpio,67,65,132,0.51,0.49
N_Z09_SAG,New,Sagittarius,41,50,91,0.45,0.55
N_Z10_CAP,New,Capricorn,58,74,132,0.44,0.56
N_Z11_AQU,New,Aquarius,43,47,90,0.48,0.52
N_Z12_PIS,New,Pisces,39,47,86,0.45,0.55
