PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,242,277,519,0.47,0.53
CE_POS,Ceres,Positive,369,394,763,0.48,0.52
CH_NEG,Chiron,Negative,180,208,388,0.46,0.54
CH_POS,Chiron,Positive,431,463,894,0.48,0.52
JN_NEG,Juno,Negative,281,324,605,0.46,0.54
JN_POS,Juno,Positive,330,347,677,0.49,0.51
JU_NEG,Jupiter,Negative,375,398,773,0.49,0.51
JU_POS,Jupiter,Positive,236,273,509,0.46,0.54
MA_NEG,Mars,Negative,274,278,552,0.5,0.5
MA_POS,Mars,Positive,337,393,730,0.46,0.54
ME_NEG,Mercury,Negative,298,340,638,0.47,0.53
ME_POS,Mercury,Positive,313,331,644,0.49,0.51
MO_NEG,Moon,Negative,311,332,643,0.48,0.52
MO_POS,Moon,Positive,300,339,639,0.47,0.53
NE_NEG,Neptune,Negative,611,671,1282,0.48,0.52
NN_NEG,NNode,Negative,266,300,566,0.47,0.53
NN_POS,NNode,Positive,345,371,716,0.48,0.52
PA_NEG,Pallas,Negative,294,339,633,0.46,0.54
PA_POS,Pallas,Positive,317,332,649,0.49,0.51
PH_NEG,Pholus,Negative,411,452,863,0.48,0.52
PH_POS,Pholus,Positive,200,219,419,0.48,0.52
PL_NEG,Pluto,Negative,611,671,1282,0.48,0.52
SA_NEG,Saturn,Negative,460,529,989,0.47,0.53
SA_POS,Saturn,Positive,151,142,293,0.52,0.48
SN_NEG,SNode,Negative,266,300,566,0.47,0.53
SN_POS,SNode,Positive,345,371,716,0.48,0.52
SU_NEG,Sun,Negative,293,353,646,0.45,0.55
SU_POS,Sun,Positive,318,318,636,0.5,0.5
UR_NEG,Uranus,Negative,427,465,892,0.48,0.52
UR_POS,Uranus,Positive,184,206,390,0.47,0.53
VE_NEG,Venus,Negative,291,306,597,0.49,0.51
VE_POS,Venus,Positive,320,365,685,0.47,0.53
VS_NEG,Vesta,Negative,394,384,778,0.51,0.49
VS_POS,Vesta,Positive,217,287,504,0.43,0.57
