MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,203,171,374,0.54,0.46
F_02_TAU,Full,Taurus,256,176,432,0.59,0.41
F_03_GEM,Full,Gemini,225,203,428,0.53,0.47
F_04_CAN,Full,Cancer,208,181,389,0.53,0.47
F_05_LEO,Full,Leo,256,179,435,0.59,0.41
F_06_VIR,Full,Virgo,281,207,488,0.58,0.42
F_07_LIB,Full,Libra,244,170,414,0.59,0.41
F_08_SCO,Full,Scorpio,257,216,473,0.54,0.46
F_09_SAG,Full,Sagittarius,235,238,473,0.5,0.5
F_10_CAP,Full,Capricorn,251,202,453,0.55,0.45
F_11_AQU,Full,Aquarius,232,208,440,0.53,0.47
F_12_PIS,Full,Pisces,179,185,364,0.49,0.51
N_01_ARI,New,Aries,201,154,355,0.57,0.43
N_02_TAU,New,Taurus,279,193,472,0.59,0.41
N_03_GEM,New,Gemini,252,218,470,0.54,0.46
N_04_CAN,New,Cancer,251,204,455,0.55,0.45
N_05_LEO,New,Leo,243,205,448,0.54,0.46
N_06_VIR,New,Virgo,258,233,491,0.53,0.47
N_07_LIB,New,Libra,254,225,479,0.53,0.47
N_08_SCO,New,Scorpio,232,173,405,0.57,0.43
N_09_SAG,New,Sagittarius,222,199,421,0.53,0.47
N_10_CAP,New,Capricorn,257,183,440,0.58,0.42
N_11_AQU,New,Aquarius,234,184,418,0.56,0.44
N_12_PIS,New,Pisces,177,168,345,0.51,0.49
