PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1226,1081,2307,0.53,0.47,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1884,1626,3510,0.54,0.46,CAR
"CAR_(8,14]",Cardinal,"(8,14]",932,776,1708,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2932,2435,5367,0.55,0.45,CAR
"FIX_(5,6]",Fixed,"(5,6]",1410,1175,2585,0.55,0.45,FIX
"FIX_(6,7]",Fixed,"(6,7]",1027,908,1935,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",1336,1096,2432,0.55,0.45,FIX
"FIX_[0,5]",Fixed,"[0,5]",3201,2739,5940,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",2598,2162,4760,0.55,0.45,MUT
"MUT_(6,7]",Mutable,"(6,7]",1256,1051,2307,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",1714,1511,3225,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",1406,1194,2600,0.54,0.46,MUT
