PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1226,1081,2307,0.53,0.47,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1884,1626,3510,0.54,0.46,CAR
"CAR_(8,14]",Cardinal,"(8,14]",932,776,1708,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2942,2444,5386,0.55,0.45,CAR
"FIX_(5,6]",Fixed,"(5,6]",1412,1175,2587,0.55,0.45,FIX
"FIX_(6,7]",Fixed,"(6,7]",1028,913,1941,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",1338,1099,2437,0.55,0.45,FIX
"FIX_[0,5]",Fixed,"[0,5]",3206,2740,5946,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",2600,2166,4766,0.55,0.45,MUT
"MUT_(6,7]",Mutable,"(6,7]",1259,1055,2314,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",1719,1512,3231,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",1406,1194,2600,0.54,0.46,MUT
