PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",187,214,401,0.47,0.53,CAR
"CAR_(6,8]",Cardinal,"(6,8]",392,384,776,0.51,0.49,CAR
"CAR_(8,14]",Cardinal,"(8,14]",293,274,567,0.52,0.48,CAR
"CAR_[0,5]",Cardinal,"[0,5]",323,279,602,0.54,0.46,CAR
"FIX_(5,6]",Fixed,"(5,6]",132,145,277,0.48,0.52,FIX
"FIX_(6,7]",Fixed,"(6,7]",84,90,174,0.48,0.52,FIX
"FIX_(7,14]",Fixed,"(7,14]",79,92,171,0.46,0.54,FIX
"FIX_[0,5]",Fixed,"[0,5]",900,824,1724,0.52,0.48,FIX
"MUT_(4,6]",Mutable,"(4,6]",395,395,790,0.5,0.5,MUT
"MUT_(6,7]",Mutable,"(6,7]",214,188,402,0.53,0.47,MUT
"MUT_(7,13]",Mutable,"(7,13]",373,333,706,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",213,235,448,0.48,0.52,MUT
