PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,945,894,1839,0.51,0.49
CE_RET,Ceres,Retrograde,241,248,489,0.49,0.51
CE_STA,Ceres,Stationary,46,35,81,0.57,0.43
CH_DIR,Chiron,Direct,712,621,1333,0.53,0.47
CH_RET,Chiron,Retrograde,452,480,932,0.48,0.52
CH_STA,Chiron,Stationary,68,76,144,0.47,0.53
JN_DIR,Juno,Direct,916,890,1806,0.51,0.49
JN_RET,Juno,Retrograde,256,241,497,0.52,0.48
JN_STA,Juno,Stationary,60,46,106,0.57,0.43
JU_DIR,Jupiter,Direct,814,767,1581,0.51,0.49
JU_RET,Jupiter,Retrograde,361,354,715,0.5,0.5
JU_STA,Jupiter,Stationary,57,56,113,0.5,0.5
MA_DIR,Mars,Direct,1102,1061,2163,0.51,0.49
MA_RET,Mars,Retrograde,102,93,195,0.52,0.48
MA_STA,Mars,Stationary,28,23,51,0.55,0.45
ME_DIR,Mercury,Direct,961,912,1873,0.51,0.49
ME_RET,Mercury,Retrograde,236,226,462,0.51,0.49
ME_STA,Mercury,Stationary,35,39,74,0.47,0.53
MO_DIR,Moon,Direct,1232,1177,2409,0.51,0.49
NE_DIR,Neptune,Direct,688,596,1284,0.54,0.46
NE_RET,Neptune,Retrograde,435,457,892,0.49,0.51
NE_STA,Neptune,Stationary,109,124,233,0.47,0.53
NN_DIR,NNode,Direct,1232,1177,2409,0.51,0.49
PA_DIR,Pallas,Direct,907,900,1807,0.5,0.5
PA_RET,Pallas,Retrograde,286,240,526,0.54,0.46
PA_STA,Pallas,Stationary,39,37,76,0.51,0.49
PH_DIR,Pholus,Direct,647,636,1283,0.5,0.5
PH_RET,Pholus,Retrograde,470,446,916,0.51,0.49
PH_STA,Pholus,Stationary,115,95,210,0.55,0.45
PL_DIR,Pluto,Direct,669,631,1300,0.51,0.49
PL_RET,Pluto,Retrograde,424,421,845,0.5,0.5
PL_STA,Pluto,Stationary,139,125,264,0.53,0.47
SA_DIR,Saturn,Direct,738,714,1452,0.51,0.49
SA_RET,Saturn,Retrograde,411,399,810,0.51,0.49
SA_STA,Saturn,Stationary,83,64,147,0.56,0.44
SN_DIR,SNode,Direct,1232,1177,2409,0.51,0.49
SU_DIR,Sun,Direct,1232,1177,2409,0.51,0.49
UR_DIR,Uranus,Direct,695,633,1328,0.52,0.48
UR_RET,Uranus,Retrograde,461,467,928,0.5,0.5
UR_STA,Uranus,Stationary,76,77,153,0.5,0.5
VE_DIR,Venus,Direct,1127,1070,2197,0.51,0.49
VE_RET,Venus,Retrograde,86,84,170,0.51,0.49
VE_STA,Venus,Stationary,19,23,42,0.45,0.55
VS_DIR,Vesta,Direct,976,897,1873,0.52,0.48
VS_RET,Vesta,Retrograde,222,235,457,0.49,0.51
VS_STA,Vesta,Stationary,34,45,79,0.43,0.57
