PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,310,289,599,0.52,0.48
CE_FIX,Ceres,Fixed,449,450,899,0.5,0.5
CE_MUT,Ceres,Mutable,436,412,848,0.51,0.49
CH_CAR,Chiron,Cardinal,453,441,894,0.51,0.49
CH_MUT,Chiron,Mutable,742,710,1452,0.51,0.49
JN_CAR,Juno,Cardinal,468,427,895,0.52,0.48
JN_FIX,Juno,Fixed,486,499,985,0.49,0.51
JN_MUT,Juno,Mutable,241,225,466,0.52,0.48
JU_CAR,Jupiter,Cardinal,417,358,775,0.54,0.46
JU_FIX,Jupiter,Fixed,388,399,787,0.49,0.51
JU_MUT,Jupiter,Mutable,390,394,784,0.5,0.5
MA_CAR,Mars,Cardinal,425,385,810,0.52,0.48
MA_FIX,Mars,Fixed,389,432,821,0.47,0.53
MA_MUT,Mars,Mutable,381,334,715,0.53,0.47
ME_CAR,Mercury,Cardinal,389,383,772,0.5,0.5
ME_FIX,Mercury,Fixed,409,411,820,0.5,0.5
ME_MUT,Mercury,Mutable,397,357,754,0.53,0.47
MO_CAR,Moon,Cardinal,408,383,791,0.52,0.48
MO_FIX,Moon,Fixed,394,385,779,0.51,0.49
MO_MUT,Moon,Mutable,393,383,776,0.51,0.49
NE_MUT,Neptune,Mutable,1195,1151,2346,0.51,0.49
NN_CAR,NNode,Cardinal,470,481,951,0.49,0.51
NN_FIX,NNode,Fixed,280,286,566,0.49,0.51
NN_MUT,NNode,Mutable,445,384,829,0.54,0.46
PA_CAR,Pallas,Cardinal,462,458,920,0.5,0.5
PA_FIX,Pallas,Fixed,382,371,753,0.51,0.49
PA_MUT,Pallas,Mutable,351,322,673,0.52,0.48
PH_CAR,Pholus,Cardinal,455,408,863,0.53,0.47
PH_MUT,Pholus,Mutable,740,743,1483,0.5,0.5
PL_CAR,Pluto,Cardinal,1195,1151,2346,0.51,0.49
SA_CAR,Saturn,Cardinal,476,513,989,0.48,0.52
SA_FIX,Saturn,Fixed,190,170,360,0.53,0.47
SA_MUT,Saturn,Mutable,529,468,997,0.53,0.47
SN_CAR,SNode,Cardinal,471,481,952,0.49,0.51
SN_FIX,SNode,Fixed,280,286,566,0.49,0.51
SN_MUT,SNode,Mutable,444,384,828,0.54,0.46
SU_CAR,Sun,Cardinal,400,386,786,0.51,0.49
SU_FIX,Sun,Fixed,406,384,790,0.51,0.49
SU_MUT,Sun,Mutable,389,381,770,0.51,0.49
UR_CAR,Uranus,Cardinal,748,706,1454,0.51,0.49
UR_FIX,Uranus,Fixed,447,445,892,0.5,0.5
VE_CAR,Venus,Cardinal,357,412,769,0.46,0.54
VE_FIX,Venus,Fixed,424,374,798,0.53,0.47
VE_MUT,Venus,Mutable,414,365,779,0.53,0.47
VS_CAR,Vesta,Cardinal,422,411,833,0.51,0.49
VS_FIX,Vesta,Fixed,393,387,780,0.5,0.5
VS_MUT,Vesta,Mutable,380,353,733,0.52,0.48
