PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",122,124,246,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",245,298,543,0.45,0.55,CAR
"CAR_(8,14]",Cardinal,"(8,14]",261,270,531,0.49,0.51,CAR
"CAR_[0,5]",Cardinal,"[0,5]",159,167,326,0.49,0.51,CAR
"FIX_(5,6]",Fixed,"(5,6]",81,116,197,0.41,0.59,FIX
"FIX_(6,7]",Fixed,"(6,7]",86,78,164,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",81,85,166,0.49,0.51,FIX
"FIX_[0,5]",Fixed,"[0,5]",539,580,1119,0.48,0.52,FIX
"MUT_(4,6]",Mutable,"(4,6]",293,323,616,0.48,0.52,MUT
"MUT_(6,7]",Mutable,"(6,7]",144,134,278,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",141,168,309,0.46,0.54,MUT
"MUT_[0,4]",Mutable,"[0,4]",209,234,443,0.47,0.53,MUT
