PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,2325,1762,4087,0.57,0.43
CE_FIX,Ceres,Fixed,2260,1859,4119,0.55,0.45
CE_MUT,Ceres,Mutable,2509,1889,4398,0.57,0.43
CH_CAR,Chiron,Cardinal,2299,1863,4162,0.55,0.45
CH_FIX,Chiron,Fixed,2361,1777,4138,0.57,0.43
CH_MUT,Chiron,Mutable,2434,1870,4304,0.57,0.43
JN_CAR,Juno,Cardinal,2480,1845,4325,0.57,0.43
JN_FIX,Juno,Fixed,2349,1825,4174,0.56,0.44
JN_MUT,Juno,Mutable,2265,1840,4105,0.55,0.45
JU_CAR,Jupiter,Cardinal,2399,1848,4247,0.56,0.44
JU_FIX,Jupiter,Fixed,2276,1814,4090,0.56,0.44
JU_MUT,Jupiter,Mutable,2419,1848,4267,0.57,0.43
MA_CAR,Mars,Cardinal,2430,1843,4273,0.57,0.43
MA_FIX,Mars,Fixed,2336,1896,4232,0.55,0.45
MA_MUT,Mars,Mutable,2328,1771,4099,0.57,0.43
ME_CAR,Mercury,Cardinal,2352,1843,4195,0.56,0.44
ME_FIX,Mercury,Fixed,2405,1839,4244,0.57,0.43
ME_MUT,Mercury,Mutable,2337,1828,4165,0.56,0.44
MO_CAR,Moon,Cardinal,2345,1858,4203,0.56,0.44
MO_FIX,Moon,Fixed,2379,1823,4202,0.57,0.43
MO_MUT,Moon,Mutable,2370,1829,4199,0.56,0.44
NE_CAR,Neptune,Cardinal,2021,1487,3508,0.58,0.42
NE_FIX,Neptune,Fixed,1793,1581,3374,0.53,0.47
NE_MUT,Neptune,Mutable,3280,2442,5722,0.57,0.43
NN_CAR,NNode,Cardinal,2371,1928,4299,0.55,0.45
NN_FIX,NNode,Fixed,2446,1778,4224,0.58,0.42
NN_MUT,NNode,Mutable,2277,1804,4081,0.56,0.44
PA_CAR,Pallas,Cardinal,2351,1850,4201,0.56,0.44
PA_FIX,Pallas,Fixed,2414,1847,4261,0.57,0.43
PA_MUT,Pallas,Mutable,2329,1813,4142,0.56,0.44
PH_CAR,Pholus,Cardinal,1689,1330,3019,0.56,0.44
PH_FIX,Pholus,Fixed,1573,1232,2805,0.56,0.44
PH_MUT,Pholus,Mutable,3832,2948,6780,0.57,0.43
PL_CAR,Pluto,Cardinal,3556,2656,6212,0.57,0.43
PL_FIX,Pluto,Fixed,1657,1246,2903,0.57,0.43
PL_MUT,Pluto,Mutable,1881,1608,3489,0.54,0.46
SA_CAR,Saturn,Cardinal,2452,1906,4358,0.56,0.44
SA_FIX,Saturn,Fixed,2239,1725,3964,0.56,0.44
SA_MUT,Saturn,Mutable,2403,1879,4282,0.56,0.44
SN_CAR,SNode,Cardinal,2371,1928,4299,0.55,0.45
SN_FIX,SNode,Fixed,2446,1778,4224,0.58,0.42
SN_MUT,SNode,Mutable,2277,1804,4081,0.56,0.44
SU_CAR,Sun,Cardinal,2351,1782,4133,0.57,0.43
SU_FIX,Sun,Fixed,2386,1906,4292,0.56,0.44
SU_MUT,Sun,Mutable,2357,1822,4179,0.56,0.44
UR_CAR,Uranus,Cardinal,2706,2100,4806,0.56,0.44
UR_FIX,Uranus,Fixed,2415,1761,4176,0.58,0.42
UR_MUT,Uranus,Mutable,1973,1649,3622,0.54,0.46
VE_CAR,Venus,Cardinal,2373,1846,4219,0.56,0.44
VE_FIX,Venus,Fixed,2386,1850,4236,0.56,0.44
VE_MUT,Venus,Mutable,2335,1814,4149,0.56,0.44
VS_CAR,Vesta,Cardinal,2371,1882,4253,0.56,0.44
VS_FIX,Vesta,Fixed,2318,1801,4119,0.56,0.44
VS_MUT,Vesta,Mutable,2405,1827,4232,0.57,0.43
