
DAILY PLANET SPEED PHASE:

          Date speed  Planet SpeedPhase  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06  0.37   Ceres     Direct 1675 1655  3330     0.50      0.50
 2: 2021-02-06  0.04  Chiron     Direct 1280 1190  2470     0.52      0.48
 3: 2021-02-06  0.25    Juno     Direct 1708 1649  3357     0.51      0.49
 4: 2021-02-06  0.24 Jupiter     Direct 1479 1397  2876     0.51      0.49
 5: 2021-02-06  0.54    Mars     Direct 1988 1944  3932     0.51      0.49
 6: 2021-02-06 -1.04 Mercury Retrograde  422  431   853     0.49      0.51
 7: 2021-02-06 14.02    Moon     Direct 2246 2194  4440     0.51      0.49
 8: 2021-02-06  0.03 Neptune     Direct 1186 1124  2310     0.51      0.49
 9: 2021-02-06  1.00   NNode     Direct 2246 2194  4440     0.51      0.49
10: 2021-02-06  0.34  Pallas     Direct 1676 1662  3338     0.50      0.50
11: 2021-02-06  0.03  Pholus     Direct 1158 1150  2308     0.50      0.50
12: 2021-02-06  0.03   Pluto     Direct 1167 1119  2286     0.51      0.49
13: 2021-02-06  0.12  Saturn     Direct 1315 1291  2606     0.50      0.50
14: 2021-02-06  1.00   SNode     Direct 2246 2194  4440     0.51      0.49
15: 2021-02-06  1.01     Sun     Direct 2246 2194  4440     0.51      0.49
16: 2021-02-06  0.02  Uranus     Direct 1257 1205  2462     0.51      0.49
17: 2021-02-06  1.25   Venus     Direct 2028 1991  4019     0.50      0.50
18: 2021-02-06 -0.14   Vesta Retrograde  369  408   777     0.47      0.53

DAILY PLANET ZODIAC SIGN POSITION:

          Date  Planet     ZodSign  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06   Ceres      Pisces  253  223   476     0.53      0.47
 2: 2021-02-06  Chiron       Aries  296  307   603     0.49      0.51
 3: 2021-02-06    Juno Sagittarius  243  263   506     0.48      0.52
 4: 2021-02-06 Jupiter    Aquarius  166  134   300     0.55      0.45
 5: 2021-02-06    Mars      Taurus  217  191   408     0.53      0.47
 6: 2021-02-06 Mercury    Aquarius  180  187   367     0.49      0.51
 7: 2021-02-06    Moon Sagittarius  194  176   370     0.52      0.48
 8: 2021-02-06 Neptune      Pisces 1195 1213  2408     0.50      0.50
 9: 2021-02-06   NNode      Gemini  100   71   171     0.58      0.42
10: 2021-02-06  Pallas    Aquarius  251  231   482     0.52      0.48
11: 2021-02-06  Pholus   Capricorn  299  302   601     0.50      0.50
12: 2021-02-06   Pluto   Capricorn 1629 1620  3249     0.50      0.50
13: 2021-02-06  Saturn    Aquarius   56   48   104     0.54      0.46
14: 2021-02-06   SNode Sagittarius  100   71   171     0.58      0.42
15: 2021-02-06     Sun    Aquarius  199  167   366     0.54      0.46
16: 2021-02-06  Uranus      Taurus  300  301   601     0.50      0.50
17: 2021-02-06   Venus    Aquarius  156  162   318     0.49      0.51
18: 2021-02-06   Vesta       Virgo  170  152   322     0.53      0.47

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 2246 2194  4440     0.51      0.49
 2: 2021-02-06    0.08   0.00   0.15         0      23        12       24  Pallas  Pholus   SemiSquare   82   68   150     0.55      0.45
 3: 2021-02-06    0.12   0.00   0.28         0      23         9       24   Vesta  Pallas     Quincunx   48   31    79     0.61      0.39
 4: 2021-02-06    0.91   0.01   1.60         0       6         3        7    Moon   Venus      Sextile  161  153   314     0.51      0.49
 5: 2021-02-06    0.32   0.01   0.75         0      23         7       24   Venus  Saturn  Conjunction   26   31    57     0.46      0.54
 6: 2021-02-06    0.30   0.02   0.59         0      23        12       24   Venus  Chiron      Sextile   54   49   103     0.52      0.48
 7: 2021-02-06    0.98   0.03   1.72        10      16        13        7    Moon   Ceres    BiSeptile  172  156   328     0.52      0.48
 8: 2021-02-06    1.00   0.03   1.78         8      14        11        7    Moon   Pluto   SemiSquare  157  167   324     0.48      0.52
 9: 2021-02-06    0.87   0.04   1.70         0       5         2        6    Moon  Pholus  SemiSextile  157  182   339     0.46      0.54
10: 2021-02-06    0.98   0.07   1.77         4      10         7        7    Moon  Pallas     Quintile  162  184   346     0.47      0.53
11: 2021-02-06    1.09   0.09   1.98         8      14        11        7    Moon Mercury     Quintile  147  174   321     0.46      0.54
12: 2021-02-06    1.02   0.10   1.85         2       8         5        7    Moon  Uranus     Quincunx  162  172   334     0.49      0.51
13: 2021-02-06    0.20   0.11   0.30         0      23        NA       24 Jupiter  Pholus SemiQuintile   45   75   120     0.38      0.62
14: 2021-02-06    0.97   0.11   1.78        17      23        20        7    Moon    Mars     Quincunx  139  180   319     0.44      0.56
15: 2021-02-06    1.02   0.14   1.89         1       7         4        7    Moon  Chiron        Trine  166  167   333     0.50      0.50
16: 2021-02-06    0.95   0.14   1.78         0       6         3        7    Moon     Sun     Quintile  139  177   316     0.44      0.56
17: 2021-02-06    1.00   0.15   1.86        10      16        13        7    Moon Jupiter      Sextile  175  153   328     0.53      0.47
18: 2021-02-06    0.91   0.15   1.90        19      23        22        5    Moon   NNode   Opposition   84   82   166     0.51      0.49
19: 2021-02-06    0.91   0.15   1.90        19      23        22        5    Moon   SNode  Conjunction   84   82   166     0.51      0.49
20: 2021-02-06    1.02   0.17   1.91         1       7         4        7    Moon Neptune    BiSeptile  165  164   329     0.50      0.50
21: 2021-02-06    0.22   0.18   0.25         0      23        NA       24  Saturn  Chiron      Sextile    6    4    10     0.60      0.40
22: 2021-02-06    1.02   0.20   1.94         0       6         3        7    Moon  Saturn      Sextile  166  167   333     0.50      0.50
23: 2021-02-06    0.82   0.23   1.41         0      23        NA       24   Venus  Uranus       Square   41   49    90     0.46      0.54
24: 2021-02-06    1.01   0.24   1.95        16      22        19        7    Moon    Juno  Conjunction   79   84   163     0.48      0.52
25: 2021-02-06    0.57   0.27   0.88         0      23        NA       24     Sun   Ceres SemiQuintile   65   66   131     0.50      0.50
26: 2021-02-06    0.87   0.28   1.47        13      18        15        6    Moon  Uranus   BiQuintile  159  172   331     0.48      0.52
27: 2021-02-06    1.03   0.36   1.70         0      23        NA       24   Venus   Vesta SesquiSquare   32   41    73     0.44      0.56
28: 2021-02-06    0.97   0.39   1.56         0      23        NA       24   Venus  Pholus  SemiSextile   64   55   119     0.54      0.46
29: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   NNode        Trine   45   60   105     0.43      0.57
30: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   SNode      Sextile   45   60   105     0.43      0.57
31: 2021-02-06    0.70   0.56   0.85         0      23        NA       24  Pallas Neptune  SemiSextile   86   88   174     0.49      0.51
32: 2021-02-06    0.66   0.57   0.74         0      23        NA       24   Vesta Neptune   Opposition   38   28    66     0.58      0.42
33: 2021-02-06    0.81   0.68   0.95         0      23        NA       24    Mars    Juno     Quincunx   38   43    81     0.47      0.53
34: 2021-02-06    0.82   0.70   0.95         0      23        NA       24   Vesta  Saturn SesquiSquare  104   83   187     0.56      0.44
35: 2021-02-06    0.77   0.73   0.81         0      23        NA       24  Saturn  Pholus  SemiSextile   80   67   147     0.54      0.46
36: 2021-02-06    1.28   0.74   1.81         0      23        NA       24 Mercury  Chiron   SemiSquare   50   51   101     0.50      0.50
37: 2021-02-06    0.92   0.75   1.08         0      23        NA       24   Ceres   Pluto      Sextile   57   50   107     0.53      0.47
38: 2021-02-06    0.81   0.80   0.83         0      23        NA       24  Chiron  Uranus  SemiSextile 1341 1348  2689     0.50      0.50
39: 2021-02-06    0.99   0.85   1.13         0      23        NA       24  Pallas  Chiron   SemiSquare   42   41    83     0.51      0.49
40: 2021-02-06    0.99   0.98   0.99         0      23        NA       24  Chiron  Pholus       Square  256  278   534     0.48      0.52
