PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CECH_a30,1,221,0.001,0.013,0.001,0.001,0.01,-0.063,0.04,0.103,-0.485,3.118,0.001
CEJU_a150,1,183,-0.001,0.017,-0.001,-0.001,0.012,-0.067,0.098,0.165,0.901,7.449,0.001
CENN_a144,1,253,-0.001,0.016,-0.001,-0.001,0.011,-0.061,0.056,0.117,0.218,2.721,0.001
CESN_a36,1,252,-0.001,0.016,-0.001,-0.001,0.012,-0.061,0.056,0.117,0.218,2.698,0.001
CEUR_a135,1,207,-0.001,0.017,0,0,0.011,-0.087,0.098,0.185,0.058,7.891,0.001
CHPH_a45,1,809,0,0.016,0,0,0.013,-0.067,0.074,0.141,0.265,2.188,0.001
JNJU_a45,1,249,0,0.014,0,0,0.009,-0.059,0.051,0.11,-0.089,2.683,0.001
JNNN_a36,1,227,0,0.017,0,-0.001,0.014,-0.088,0.084,0.172,0.546,6.134,0.001
JNPH_a120,1,132,0.002,0.013,0.003,0.002,0.011,-0.049,0.043,0.091,-0.113,1.692,0.001
JNSN_a144,1,227,0,0.017,0,-0.001,0.014,-0.088,0.084,0.172,0.546,6.134,0.001
JNUR_a120,1,230,0.001,0.011,0,0.001,0.009,-0.046,0.043,0.088,0.114,2.079,0.001
JUCH_a120,1,259,0,0.012,0,0,0.01,-0.048,0.049,0.097,0.007,1.746,0.001
JUUR_a72,1,240,-0.001,0.018,0,0,0.017,-0.087,0.081,0.167,0.01,3.821,0.001
MAPL_a36,1,239,0,0.017,0,0,0.012,-0.069,0.054,0.123,-0.414,3.045,0.001
MEPA_a60,1,295,0.001,0.012,0,0,0.01,-0.038,0.046,0.084,0.749,1.554,0.001
MEUR_a36,1,251,0,0.014,0,-0.001,0.011,-0.032,0.066,0.098,0.936,2.726,0.001
MEVE_a45,1,524,0,0.016,0,0,0.012,-0.075,0.139,0.213,1.361,13.189,0.001
MOPH_a103,1,773,0.001,0.018,0,0.001,0.011,-0.247,0.098,0.345,-3.261,48.435,0.001
MOVE_a144,1,723,0.001,0.015,0,0.001,0.011,-0.075,0.098,0.173,0.53,5.063,0.001
NEPL_a60,1,1583,0.001,0.015,0,0.001,0.012,-0.067,0.074,0.141,0.168,1.824,0
NNSN_a180,1,10364,0.001,0.015,0,0,0.011,-0.247,0.197,0.444,-0.082,15.124,0
PACH_a72,1,174,0.001,0.021,0,0.001,0.014,-0.084,0.065,0.149,-0.255,3.33,0.002
PASA_a150,1,203,0.001,0.014,0,0.001,0.011,-0.035,0.054,0.089,0.407,1.164,0.001
PHPL_a150,1,84,0.002,0.013,0.003,0.001,0.013,-0.023,0.042,0.064,0.305,0.144,0.001
SNNE_a72,1,222,0.001,0.018,0,0,0.012,-0.067,0.057,0.124,-0.147,2.576,0.001
SUCE_a90,1,238,0,0.016,0,0,0.011,-0.105,0.064,0.169,-0.788,8.786,0.001
SUCH_a120,1,254,0.001,0.019,0,0,0.01,-0.091,0.13,0.221,0.596,11.935,0.001
SUJU_a120,1,224,0.001,0.013,0,0,0.01,-0.035,0.044,0.079,0.605,1.076,0.001
SUPH_a72,1,249,0.001,0.015,0,0.001,0.013,-0.04,0.076,0.116,0.765,3.73,0.001
SUSA_a103,1,246,0,0.013,0,0,0.011,-0.036,0.064,0.1,0.67,2.402,0.001
SUUR_a45,1,245,0.001,0.014,0.001,0.001,0.01,-0.062,0.048,0.109,-0.18,2.099,0.001
URPH_a120,1,829,0,0.016,0,0,0.01,-0.097,0.065,0.162,-0.484,5.591,0.001
VEMA_a150,1,94,0.002,0.012,0.002,0.002,0.01,-0.025,0.032,0.057,0.36,-0.239,0.001
VESA_a135,1,251,0,0.015,-0.001,0,0.01,-0.101,0.078,0.179,-0.653,11.22,0.001
VESU_a30,1,775,0.001,0.014,0,0.001,0.011,-0.047,0.071,0.118,0.366,2.09,0
VSNN_a120,1,237,0.001,0.027,0.001,0.001,0.013,-0.247,0.197,0.444,-1.308,38.604,0.002
VSSA_a144,1,261,0,0.013,0,0,0.009,-0.039,0.064,0.103,0.514,3.225,0.001
VSSN_a60,1,237,0.001,0.027,0.001,0.001,0.013,-0.247,0.197,0.444,-1.308,38.604,0.002
MOPL_a103,1,772,0.001,0.014,0,0.001,0.011,-0.075,0.071,0.146,0.046,3.874,0.001
MOCH_a60,1,759,0.001,0.016,0,0.001,0.011,-0.101,0.078,0.179,-0.284,4.948,0.001
MOUR_a135,1,771,0.001,0.015,0,0.001,0.01,-0.069,0.103,0.172,0.448,5.191,0.001
MOCE_a90,1,750,0,0.015,0.001,0,0.011,-0.068,0.197,0.265,2.786,38.852,0.001
MOJU_a60,1,767,0.001,0.014,0,0.001,0.011,-0.067,0.064,0.132,0.114,1.918,0
MOSU_a180,1,368,0.002,0.016,0.001,0.001,0.011,-0.075,0.059,0.134,-0.133,4.085,0.001
MENN_a120,1,444,0,0.013,0.001,0,0.009,-0.084,0.049,0.133,-1.154,6.557,0.001
MESN_a60,1,444,0,0.013,0.001,0,0.009,-0.084,0.049,0.133,-1.154,6.566,0.001
MOPA_a135,1,741,0.001,0.015,0.001,0.001,0.012,-0.087,0.103,0.19,-0.114,5.855,0.001
MOVE_a150,1,724,0.001,0.015,0.001,0.001,0.011,-0.084,0.081,0.165,0.154,3.921,0.001
SUPA_a45,1,319,-0.001,0.019,0.001,0,0.012,-0.247,0.04,0.287,-7.011,86.382,0.001
MOMA_a60,1,748,0.001,0.014,0,0.001,0.011,-0.087,0.054,0.141,-0.289,3.184,0.001
MOSA_a72,1,747,0.001,0.015,0,0,0.011,-0.047,0.197,0.244,3.154,36.209,0.001
MOVS_a72,1,770,0.001,0.014,0,0.001,0.011,-0.068,0.13,0.198,0.901,10.539,0.001
MONN_a45,1,766,0.001,0.015,0,0.001,0.011,-0.084,0.139,0.223,0.688,12.003,0.001
MOSN_a135,1,766,0.001,0.015,0,0.001,0.011,-0.084,0.139,0.223,0.688,12.003,0.001
MONE_a150,1,759,0.001,0.014,0.001,0.001,0.011,-0.069,0.083,0.152,0.301,3.874,0.001
MOCH_a72,1,778,0,0.014,0.001,0,0.011,-0.087,0.051,0.139,-0.555,4.769,0
MOPL_a90,1,782,0.002,0.015,0.002,0.001,0.01,-0.097,0.139,0.236,0.721,12.446,0.001
MOCE_a103,1,776,0.001,0.017,0,0.001,0.011,-0.247,0.067,0.314,-3.689,57.391,0.001
MOPA_a144,1,752,0.001,0.014,0.001,0.001,0.011,-0.067,0.064,0.131,-0.165,2.775,0.001
MOPH_a120,1,761,0.002,0.016,0.002,0.002,0.011,-0.057,0.197,0.254,3.271,33.304,0.001
JNCE_a103,1,289,0.002,0.015,0.001,0.001,0.012,-0.068,0.063,0.131,0.029,2.37,0.001
MOUR_a120,1,767,0,0.014,0,0,0.011,-0.058,0.078,0.136,0.348,3.775,0.001
MOJN_a0,1,371,0,0.013,0,0,0.012,-0.049,0.049,0.098,0.248,1.706,0.001
MOJU_a45,1,792,0,0.013,-0.001,0,0.012,-0.06,0.051,0.111,-0.153,1.883,0
MONN_a36,1,774,0,0.014,0,0,0.011,-0.084,0.059,0.143,-0.374,3.844,0.001
MOSN_a144,1,774,0,0.014,0,0,0.011,-0.084,0.059,0.143,-0.374,3.844,0.001
