MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,205,169,374,0.55,0.45
F_Z02_TAU,Full,Taurus,247,185,432,0.57,0.43
F_Z03_GEM,Full,Gemini,231,197,428,0.54,0.46
F_Z04_CAN,Full,Cancer,180,209,389,0.46,0.54
F_Z05_LEO,Full,Leo,233,207,440,0.53,0.47
F_Z06_VIR,Full,Virgo,267,221,488,0.55,0.45
F_Z07_LIB,Full,Libra,227,187,414,0.55,0.45
F_Z08_SCO,Full,Scorpio,262,211,473,0.55,0.45
F_Z09_SAG,Full,Sagittarius,249,224,473,0.53,0.47
F_Z10_CAP,Full,Capricorn,259,194,453,0.57,0.43
F_Z11_AQU,Full,Aquarius,223,217,440,0.51,0.49
F_Z12_PIS,Full,Pisces,189,175,364,0.52,0.48
N_Z01_ARI,New,Aries,193,162,355,0.54,0.46
N_Z02_TAU,New,Taurus,256,216,472,0.54,0.46
N_Z03_GEM,New,Gemini,244,226,470,0.52,0.48
N_Z04_CAN,New,Cancer,222,233,455,0.49,0.51
N_Z05_LEO,New,Leo,218,230,448,0.49,0.51
N_Z06_VIR,New,Virgo,260,231,491,0.53,0.47
N_Z07_LIB,New,Libra,254,225,479,0.53,0.47
N_Z08_SCO,New,Scorpio,224,181,405,0.55,0.45
N_Z09_SAG,New,Sagittarius,218,203,421,0.52,0.48
N_Z10_CAP,New,Capricorn,199,241,440,0.45,0.55
N_Z11_AQU,New,Aquarius,229,197,426,0.54,0.46
N_Z12_PIS,New,Pisces,186,159,345,0.54,0.46
