PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1201,1117,2318,0.52,0.48,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1865,1658,3523,0.53,0.47,CAR
"CAR_(8,14]",Cardinal,"(8,14]",923,785,1708,0.54,0.46,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2814,2635,5449,0.52,0.48,CAR
"FIX_(5,6]",Fixed,"(5,6]",1336,1264,2600,0.51,0.49,FIX
"FIX_(6,7]",Fixed,"(6,7]",1007,940,1947,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",1260,1177,2437,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",3200,2814,6014,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",2510,2261,4771,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",1194,1137,2331,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",1730,1566,3296,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",1369,1231,2600,0.53,0.47,MUT
