PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,477,457,934,0.51,0.49
CE_FIX,Ceres,Fixed,544,494,1038,0.52,0.48
CE_MUT,Ceres,Mutable,723,584,1307,0.55,0.45
CH_CAR,Chiron,Cardinal,342,261,603,0.57,0.43
CH_FIX,Chiron,Fixed,394,367,761,0.52,0.48
CH_MUT,Chiron,Mutable,1008,907,1915,0.53,0.47
JN_CAR,Juno,Cardinal,520,444,964,0.54,0.46
JN_FIX,Juno,Fixed,655,555,1210,0.54,0.46
JN_MUT,Juno,Mutable,569,536,1105,0.51,0.49
JU_CAR,Jupiter,Cardinal,646,553,1199,0.54,0.46
JU_FIX,Jupiter,Fixed,575,484,1059,0.54,0.46
JU_MUT,Jupiter,Mutable,523,498,1021,0.51,0.49
MA_CAR,Mars,Cardinal,636,522,1158,0.55,0.45
MA_FIX,Mars,Fixed,556,525,1081,0.51,0.49
MA_MUT,Mars,Mutable,552,488,1040,0.53,0.47
ME_CAR,Mercury,Cardinal,582,473,1055,0.55,0.45
ME_FIX,Mercury,Fixed,603,531,1134,0.53,0.47
ME_MUT,Mercury,Mutable,559,531,1090,0.51,0.49
MO_CAR,Moon,Cardinal,587,526,1113,0.53,0.47
MO_FIX,Moon,Fixed,575,488,1063,0.54,0.46
MO_MUT,Moon,Mutable,582,521,1103,0.53,0.47
NE_FIX,Neptune,Fixed,514,468,982,0.52,0.48
NE_MUT,Neptune,Mutable,1230,1067,2297,0.54,0.46
NN_CAR,NNode,Cardinal,592,539,1131,0.52,0.48
NN_FIX,NNode,Fixed,602,535,1137,0.53,0.47
NN_MUT,NNode,Mutable,550,461,1011,0.54,0.46
PA_CAR,Pallas,Cardinal,566,490,1056,0.54,0.46
PA_FIX,Pallas,Fixed,584,514,1098,0.53,0.47
PA_MUT,Pallas,Mutable,594,531,1125,0.53,0.47
PH_CAR,Pholus,Cardinal,323,261,584,0.55,0.45
PH_MUT,Pholus,Mutable,1421,1274,2695,0.53,0.47
PL_CAR,Pluto,Cardinal,1641,1439,3080,0.53,0.47
PL_MUT,Pluto,Mutable,103,96,199,0.52,0.48
SA_CAR,Saturn,Cardinal,696,613,1309,0.53,0.47
SA_FIX,Saturn,Fixed,385,332,717,0.54,0.46
SA_MUT,Saturn,Mutable,663,590,1253,0.53,0.47
SN_CAR,SNode,Cardinal,592,539,1131,0.52,0.48
SN_FIX,SNode,Fixed,602,535,1137,0.53,0.47
SN_MUT,SNode,Mutable,550,461,1011,0.54,0.46
SU_CAR,Sun,Cardinal,617,454,1071,0.58,0.42
SU_FIX,Sun,Fixed,545,557,1102,0.49,0.51
SU_MUT,Sun,Mutable,582,524,1106,0.53,0.47
UR_CAR,Uranus,Cardinal,1000,885,1885,0.53,0.47
UR_FIX,Uranus,Fixed,336,265,601,0.56,0.44
UR_MUT,Uranus,Mutable,408,385,793,0.51,0.49
VE_CAR,Venus,Cardinal,579,529,1108,0.52,0.48
VE_FIX,Venus,Fixed,588,483,1071,0.55,0.45
VE_MUT,Venus,Mutable,577,523,1100,0.52,0.48
VS_CAR,Vesta,Cardinal,582,484,1066,0.55,0.45
VS_FIX,Vesta,Fixed,594,603,1197,0.5,0.5
VS_MUT,Vesta,Mutable,568,448,1016,0.56,0.44
