PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",1046,939,1985,0.53,0.47
"CE_(5,7]",Ceres,"(5,7]",1644,1555,3199,0.51,0.49
"CE_(7,13]",Ceres,"(7,13]",702,658,1360,0.52,0.48
"CE_[0,4]",Ceres,"[0,4]",1903,1676,3579,0.53,0.47
"CH_(4,5]",Chiron,"(4,5]",1055,961,2016,0.52,0.48
"CH_(5,7]",Chiron,"(5,7]",1759,1585,3344,0.53,0.47
"CH_(7,13]",Chiron,"(7,13]",818,677,1495,0.55,0.45
"CH_[0,4]",Chiron,"[0,4]",1663,1605,3268,0.51,0.49
"JN_(4,5]",Juno,"(4,5]",1030,957,1987,0.52,0.48
"JN_(5,7]",Juno,"(5,7]",1700,1510,3210,0.53,0.47
"JN_(7,14]",Juno,"(7,14]",692,708,1400,0.49,0.51
"JN_[0,4]",Juno,"[0,4]",1873,1653,3526,0.53,0.47
"JU_(4,5]",Jupiter,"(4,5]",1011,966,1977,0.51,0.49
"JU_(5,7]",Jupiter,"(5,7]",1741,1517,3258,0.53,0.47
"JU_(7,12]",Jupiter,"(7,12]",728,672,1400,0.52,0.48
"JU_[0,4]",Jupiter,"[0,4]",1815,1673,3488,0.52,0.48
"MA_(4,5]",Mars,"(4,5]",1048,974,2022,0.52,0.48
"MA_(5,7]",Mars,"(5,7]",1560,1447,3007,0.52,0.48
"MA_(7,13]",Mars,"(7,13]",699,655,1354,0.52,0.48
"MA_[0,4]",Mars,"[0,4]",1988,1752,3740,0.53,0.47
"ME_(4,5]",Mercury,"(4,5]",1029,957,1986,0.52,0.48
"ME_(5,7]",Mercury,"(5,7]",1587,1502,3089,0.51,0.49
"ME_(7,14]",Mercury,"(7,14]",667,589,1256,0.53,0.47
"ME_[0,4]",Mercury,"[0,4]",2012,1780,3792,0.53,0.47
"MO_(13,15]",Moon,"(13,15]",1522,1365,2887,0.53,0.47
"MO_(15,17]",Moon,"(15,17]",1273,1192,2465,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",914,829,1743,0.52,0.48
"MO_[5,13]",Moon,"[5,13]",1586,1442,3028,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",1074,1011,2085,0.52,0.48
"NE_(5,6]",Neptune,"(5,6]",892,794,1686,0.53,0.47
"NE_(6,13]",Neptune,"(6,13]",1158,1037,2195,0.53,0.47
"NE_[0,4]",Neptune,"[0,4]",2171,1986,4157,0.52,0.48
"NN_(5,6]",NNode,"(5,6]",1069,1072,2141,0.5,0.5
"NN_(6,7]",NNode,"(6,7]",943,893,1836,0.51,0.49
"NN_(7,13]",NNode,"(7,13]",1053,969,2022,0.52,0.48
"NN_[1,5]",NNode,"[1,5]",2230,1894,4124,0.54,0.46
"PA_(4,5]",Pallas,"(4,5]",1009,924,1933,0.52,0.48
"PA_(5,7]",Pallas,"(5,7]",1663,1521,3184,0.52,0.48
"PA_(7,13]",Pallas,"(7,13]",763,680,1443,0.53,0.47
"PA_[0,4]",Pallas,"[0,4]",1860,1703,3563,0.52,0.48
"PH_(4,5]",Pholus,"(4,5]",1067,962,2029,0.53,0.47
"PH_(5,6]",Pholus,"(5,6]",915,818,1733,0.53,0.47
"PH_(6,13]",Pholus,"(6,13]",1256,1215,2471,0.51,0.49
"PH_[0,4]",Pholus,"[0,4]",2057,1833,3890,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",1110,1013,2123,0.52,0.48
"PL_(5,6]",Pluto,"(5,6]",913,857,1770,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",1230,1072,2302,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",2042,1886,3928,0.52,0.48
"SA_(4,5]",Saturn,"(4,5]",1010,936,1946,0.52,0.48
"SA_(5,7]",Saturn,"(5,7]",1571,1451,3022,0.52,0.48
"SA_(7,14]",Saturn,"(7,14]",667,614,1281,0.52,0.48
"SA_[0,4]",Saturn,"[0,4]",2047,1827,3874,0.53,0.47
"SN_(5,6]",SNode,"(5,6]",1170,1045,2215,0.53,0.47
"SN_(6,7]",SNode,"(6,7]",886,915,1801,0.49,0.51
"SN_(7,13]",SNode,"(7,13]",1127,1022,2149,0.52,0.48
"SN_[1,5]",SNode,"[1,5]",2112,1846,3958,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",1113,958,2071,0.54,0.46
"SU_(5,7]",Sun,"(5,7]",1614,1518,3132,0.52,0.48
"SU_(7,14]",Sun,"(7,14]",696,651,1347,0.52,0.48
"SU_[0,4]",Sun,"[0,4]",1872,1701,3573,0.52,0.48
"UR_(4,5]",Uranus,"(4,5]",1080,928,2008,0.54,0.46
"UR_(5,7]",Uranus,"(5,7]",1688,1536,3224,0.52,0.48
"UR_(7,15]",Uranus,"(7,15]",812,809,1621,0.5,0.5
"UR_[0,4]",Uranus,"[0,4]",1715,1555,3270,0.52,0.48
"VE_(4,5]",Venus,"(4,5]",1070,920,1990,0.54,0.46
"VE_(5,7]",Venus,"(5,7]",1677,1546,3223,0.52,0.48
"VE_(7,14]",Venus,"(7,14]",875,788,1663,0.53,0.47
"VE_[0,4]",Venus,"[0,4]",1673,1574,3247,0.52,0.48
"VS_(4,5]",Vesta,"(4,5]",1063,978,2041,0.52,0.48
"VS_(5,7]",Vesta,"(5,7]",1651,1498,3149,0.52,0.48
"VS_(7,13]",Vesta,"(7,13]",714,634,1348,0.53,0.47
"VS_[0,4]",Vesta,"[0,4]",1867,1718,3585,0.52,0.48
