PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,1701,1753,3454,0.49,0.51
CE_RET,Ceres,Retrograde,465,499,964,0.48,0.52
CE_STA,Ceres,Stationary,83,75,158,0.53,0.47
CH_DIR,Chiron,Direct,1288,1318,2606,0.49,0.51
CH_RET,Chiron,Retrograde,839,882,1721,0.49,0.51
CH_STA,Chiron,Stationary,122,127,249,0.49,0.51
JN_DIR,Juno,Direct,1716,1741,3457,0.5,0.5
JN_RET,Juno,Retrograde,443,491,934,0.47,0.53
JN_STA,Juno,Stationary,90,95,185,0.49,0.51
JU_DIR,Jupiter,Direct,1464,1549,3013,0.49,0.51
JU_RET,Jupiter,Retrograde,680,666,1346,0.51,0.49
JU_STA,Jupiter,Stationary,105,112,217,0.48,0.52
MA_DIR,Mars,Direct,2003,2051,4054,0.49,0.51
MA_RET,Mars,Retrograde,194,227,421,0.46,0.54
MA_STA,Mars,Stationary,52,49,101,0.51,0.49
ME_DIR,Mercury,Direct,1731,1838,3569,0.49,0.51
ME_RET,Mercury,Retrograde,448,420,868,0.52,0.48
ME_STA,Mercury,Stationary,70,69,139,0.5,0.5
MO_DIR,Moon,Direct,2249,2327,4576,0.49,0.51
NE_DIR,Neptune,Direct,1210,1206,2416,0.5,0.5
NE_RET,Neptune,Retrograde,830,880,1710,0.49,0.51
NE_STA,Neptune,Stationary,209,241,450,0.46,0.54
NN_DIR,NNode,Direct,2249,2327,4576,0.49,0.51
PA_DIR,Pallas,Direct,1684,1737,3421,0.49,0.51
PA_RET,Pallas,Retrograde,501,514,1015,0.49,0.51
PA_STA,Pallas,Stationary,64,76,140,0.46,0.54
PH_DIR,Pholus,Direct,1210,1193,2403,0.5,0.5
PH_RET,Pholus,Retrograde,880,952,1832,0.48,0.52
PH_STA,Pholus,Stationary,159,182,341,0.47,0.53
PL_DIR,Pluto,Direct,1199,1198,2397,0.5,0.5
PL_RET,Pluto,Retrograde,815,891,1706,0.48,0.52
PL_STA,Pluto,Stationary,235,238,473,0.5,0.5
SA_DIR,Saturn,Direct,1337,1363,2700,0.5,0.5
SA_RET,Saturn,Retrograde,784,817,1601,0.49,0.51
SA_STA,Saturn,Stationary,128,147,275,0.47,0.53
SN_DIR,SNode,Direct,2249,2327,4576,0.49,0.51
SU_DIR,Sun,Direct,2249,2327,4576,0.49,0.51
UR_DIR,Uranus,Direct,1257,1302,2559,0.49,0.51
UR_RET,Uranus,Retrograde,844,875,1719,0.49,0.51
UR_STA,Uranus,Stationary,148,150,298,0.5,0.5
VE_DIR,Venus,Direct,2048,2107,4155,0.49,0.51
VE_RET,Venus,Retrograde,156,175,331,0.47,0.53
VE_STA,Venus,Stationary,45,45,90,0.5,0.5
VS_DIR,Vesta,Direct,1811,1791,3602,0.5,0.5
VS_RET,Vesta,Retrograde,377,455,832,0.45,0.55
VS_STA,Vesta,Stationary,61,81,142,0.43,0.57
