PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,302,294,596,0.51,0.49
CE_FIX,Ceres,Fixed,422,477,899,0.47,0.53
CE_MUT,Ceres,Mutable,405,423,828,0.49,0.51
CH_CAR,Chiron,Cardinal,411,460,871,0.47,0.53
CH_MUT,Chiron,Mutable,718,734,1452,0.49,0.51
JN_CAR,Juno,Cardinal,451,444,895,0.5,0.5
JN_FIX,Juno,Fixed,461,524,985,0.47,0.53
JN_MUT,Juno,Mutable,217,226,443,0.49,0.51
JU_CAR,Jupiter,Cardinal,409,366,775,0.53,0.47
JU_FIX,Jupiter,Fixed,346,418,764,0.45,0.55
JU_MUT,Jupiter,Mutable,374,410,784,0.48,0.52
MA_CAR,Mars,Cardinal,420,390,810,0.52,0.48
MA_FIX,Mars,Fixed,360,438,798,0.45,0.55
MA_MUT,Mars,Mutable,349,366,715,0.49,0.51
ME_CAR,Mercury,Cardinal,370,402,772,0.48,0.52
ME_FIX,Mercury,Fixed,367,430,797,0.46,0.54
ME_MUT,Mercury,Mutable,392,362,754,0.52,0.48
MO_CAR,Moon,Cardinal,393,388,781,0.5,0.5
MO_FIX,Moon,Fixed,384,389,773,0.5,0.5
MO_MUT,Moon,Mutable,352,417,769,0.46,0.54
NE_MUT,Neptune,Mutable,1129,1194,2323,0.49,0.51
NN_CAR,NNode,Cardinal,428,523,951,0.45,0.55
NN_FIX,NNode,Fixed,281,285,566,0.5,0.5
NN_MUT,NNode,Mutable,420,386,806,0.52,0.48
PA_CAR,Pallas,Cardinal,449,471,920,0.49,0.51
PA_FIX,Pallas,Fixed,341,389,730,0.47,0.53
PA_MUT,Pallas,Mutable,339,334,673,0.5,0.5
PH_CAR,Pholus,Cardinal,411,429,840,0.49,0.51
PH_MUT,Pholus,Mutable,718,765,1483,0.48,0.52
PL_CAR,Pluto,Cardinal,1129,1194,2323,0.49,0.51
SA_CAR,Saturn,Cardinal,459,530,989,0.46,0.54
SA_FIX,Saturn,Fixed,145,192,337,0.43,0.57
SA_MUT,Saturn,Mutable,525,472,997,0.53,0.47
SN_CAR,SNode,Cardinal,429,523,952,0.45,0.55
SN_FIX,SNode,Fixed,281,285,566,0.5,0.5
SN_MUT,SNode,Mutable,419,386,805,0.52,0.48
SU_CAR,Sun,Cardinal,367,419,786,0.47,0.53
SU_FIX,Sun,Fixed,375,398,773,0.49,0.51
SU_MUT,Sun,Mutable,387,377,764,0.51,0.49
UR_CAR,Uranus,Cardinal,719,735,1454,0.49,0.51
UR_FIX,Uranus,Fixed,410,459,869,0.47,0.53
VE_CAR,Venus,Cardinal,346,423,769,0.45,0.55
VE_FIX,Venus,Fixed,392,383,775,0.51,0.49
VE_MUT,Venus,Mutable,391,388,779,0.5,0.5
VS_CAR,Vesta,Cardinal,403,430,833,0.48,0.52
VS_FIX,Vesta,Fixed,382,398,780,0.49,0.51
VS_MUT,Vesta,Mutable,344,366,710,0.48,0.52
