PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,568,541,1109,0.51,0.49
CE_RET,Ceres,Retrograde,131,157,288,0.45,0.55
CE_STA,Ceres,Stationary,24,23,47,0.51,0.49
CH_DIR,Chiron,Direct,397,378,775,0.51,0.49
CH_RET,Chiron,Retrograde,288,293,581,0.5,0.5
CH_STA,Chiron,Stationary,38,50,88,0.43,0.57
JN_DIR,Juno,Direct,545,543,1088,0.5,0.5
JN_RET,Juno,Retrograde,143,156,299,0.48,0.52
JN_STA,Juno,Stationary,35,22,57,0.61,0.39
JU_DIR,Jupiter,Direct,527,488,1015,0.52,0.48
JU_RET,Jupiter,Retrograde,168,194,362,0.46,0.54
JU_STA,Jupiter,Stationary,28,39,67,0.42,0.58
MA_DIR,Mars,Direct,653,635,1288,0.51,0.49
MA_RET,Mars,Retrograde,52,70,122,0.43,0.57
MA_STA,Mars,Stationary,18,16,34,0.53,0.47
ME_DIR,Mercury,Direct,574,564,1138,0.5,0.5
ME_RET,Mercury,Retrograde,129,135,264,0.49,0.51
ME_STA,Mercury,Stationary,20,22,42,0.48,0.52
MO_DIR,Moon,Direct,723,721,1444,0.5,0.5
NE_DIR,Neptune,Direct,381,358,739,0.52,0.48
NE_RET,Neptune,Retrograde,279,282,561,0.5,0.5
NE_STA,Neptune,Stationary,63,81,144,0.44,0.56
NN_DIR,NNode,Direct,723,721,1444,0.5,0.5
PA_DIR,Pallas,Direct,540,556,1096,0.49,0.51
PA_RET,Pallas,Retrograde,157,149,306,0.51,0.49
PA_STA,Pallas,Stationary,26,16,42,0.62,0.38
PH_DIR,Pholus,Direct,386,346,732,0.53,0.47
PH_RET,Pholus,Retrograde,268,312,580,0.46,0.54
PH_STA,Pholus,Stationary,69,63,132,0.52,0.48
PL_DIR,Pluto,Direct,393,348,741,0.53,0.47
PL_RET,Pluto,Retrograde,239,303,542,0.44,0.56
PL_STA,Pluto,Stationary,91,70,161,0.57,0.43
SA_DIR,Saturn,Direct,459,406,865,0.53,0.47
SA_RET,Saturn,Retrograde,217,268,485,0.45,0.55
SA_STA,Saturn,Stationary,47,47,94,0.5,0.5
SN_DIR,SNode,Direct,723,721,1444,0.5,0.5
SU_DIR,Sun,Direct,723,721,1444,0.5,0.5
UR_DIR,Uranus,Direct,384,407,791,0.49,0.51
UR_RET,Uranus,Retrograde,286,272,558,0.51,0.49
UR_STA,Uranus,Stationary,53,42,95,0.56,0.44
VE_DIR,Venus,Direct,663,675,1338,0.5,0.5
VE_RET,Venus,Retrograde,50,35,85,0.59,0.41
VE_STA,Venus,Stationary,10,11,21,0.48,0.52
VS_DIR,Vesta,Direct,565,563,1128,0.5,0.5
VS_RET,Vesta,Retrograde,136,134,270,0.5,0.5
VS_STA,Vesta,Stationary,22,24,46,0.48,0.52
