PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,560,526,1086,0.52,0.48
CE_RET,Ceres,Retrograde,131,157,288,0.45,0.55
CE_STA,Ceres,Stationary,24,23,47,0.51,0.49
CH_DIR,Chiron,Direct,389,363,752,0.52,0.48
CH_RET,Chiron,Retrograde,288,293,581,0.5,0.5
CH_STA,Chiron,Stationary,38,50,88,0.43,0.57
JN_DIR,Juno,Direct,545,543,1088,0.5,0.5
JN_RET,Juno,Retrograde,135,141,276,0.49,0.51
JN_STA,Juno,Stationary,35,22,57,0.61,0.39
JU_DIR,Jupiter,Direct,519,473,992,0.52,0.48
JU_RET,Jupiter,Retrograde,168,194,362,0.46,0.54
JU_STA,Jupiter,Stationary,28,39,67,0.42,0.58
MA_DIR,Mars,Direct,645,620,1265,0.51,0.49
MA_RET,Mars,Retrograde,52,70,122,0.43,0.57
MA_STA,Mars,Stationary,18,16,34,0.53,0.47
ME_DIR,Mercury,Direct,566,549,1115,0.51,0.49
ME_RET,Mercury,Retrograde,129,135,264,0.49,0.51
ME_STA,Mercury,Stationary,20,22,42,0.48,0.52
MO_DIR,Moon,Direct,715,706,1421,0.5,0.5
NE_DIR,Neptune,Direct,373,343,716,0.52,0.48
NE_RET,Neptune,Retrograde,279,282,561,0.5,0.5
NE_STA,Neptune,Stationary,63,81,144,0.44,0.56
NN_DIR,NNode,Direct,715,706,1421,0.5,0.5
PA_DIR,Pallas,Direct,532,541,1073,0.5,0.5
PA_RET,Pallas,Retrograde,157,149,306,0.51,0.49
PA_STA,Pallas,Stationary,26,16,42,0.62,0.38
PH_DIR,Pholus,Direct,386,346,732,0.53,0.47
PH_RET,Pholus,Retrograde,260,297,557,0.47,0.53
PH_STA,Pholus,Stationary,69,63,132,0.52,0.48
PL_DIR,Pluto,Direct,393,348,741,0.53,0.47
PL_RET,Pluto,Retrograde,237,292,529,0.45,0.55
PL_STA,Pluto,Stationary,85,66,151,0.56,0.44
SA_DIR,Saturn,Direct,452,397,849,0.53,0.47
SA_RET,Saturn,Retrograde,217,268,485,0.45,0.55
SA_STA,Saturn,Stationary,46,41,87,0.53,0.47
SN_DIR,SNode,Direct,715,706,1421,0.5,0.5
SU_DIR,Sun,Direct,715,706,1421,0.5,0.5
UR_DIR,Uranus,Direct,376,392,768,0.49,0.51
UR_RET,Uranus,Retrograde,286,272,558,0.51,0.49
UR_STA,Uranus,Stationary,53,42,95,0.56,0.44
VE_DIR,Venus,Direct,655,660,1315,0.5,0.5
VE_RET,Venus,Retrograde,50,35,85,0.59,0.41
VE_STA,Venus,Stationary,10,11,21,0.48,0.52
VS_DIR,Vesta,Direct,557,548,1105,0.5,0.5
VS_RET,Vesta,Retrograde,136,134,270,0.5,0.5
VS_STA,Vesta,Stationary,22,24,46,0.48,0.52
