PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,2164,1949,4113,0.53,0.47
CE_FIX,2161,1962,4123,0.52,0.48
CE_MUT,2333,1992,4325,0.54,0.46
CH_CAR,2334,1980,4314,0.54,0.46
CH_FIX,2119,1918,4037,0.52,0.48
CH_MUT,2205,2005,4210,0.52,0.48
EM_CAR,2108,1961,4069,0.52,0.48
EM_FIX,2347,1925,4272,0.55,0.45
EM_MUT,2203,2017,4220,0.52,0.48
ES_CAR,2380,2091,4471,0.53,0.47
ES_FIX,2026,1875,3901,0.52,0.48
ES_MUT,2252,1937,4189,0.54,0.46
JN_CAR,2283,1975,4258,0.54,0.46
JN_FIX,2236,2013,4249,0.53,0.47
JN_MUT,2139,1915,4054,0.53,0.47
JU_CAR,2247,1967,4214,0.53,0.47
JU_FIX,2209,1968,4177,0.53,0.47
JU_MUT,2202,1968,4170,0.53,0.47
MA_CAR,2305,1965,4270,0.54,0.46
MA_FIX,2160,2049,4209,0.51,0.49
MA_MUT,2193,1889,4082,0.54,0.46
ME_CAR,2166,1919,4085,0.53,0.47
ME_FIX,2255,2009,4264,0.53,0.47
ME_MUT,2237,1975,4212,0.53,0.47
MO_CAR,2248,1962,4210,0.53,0.47
MO_FIX,2187,2006,4193,0.52,0.48
MO_MUT,2223,1935,4158,0.53,0.47
NE_CAR,1765,1664,3429,0.51,0.49
NE_FIX,1751,1667,3418,0.51,0.49
NE_MUT,3142,2572,5714,0.55,0.45
NN_CAR,2230,1959,4189,0.53,0.47
NN_FIX,2244,1960,4204,0.53,0.47
NN_MUT,2184,1984,4168,0.52,0.48
PA_CAR,2123,1986,4109,0.52,0.48
PA_FIX,2309,1955,4264,0.54,0.46
PA_MUT,2226,1962,4188,0.53,0.47
PH_CAR,1504,1444,2948,0.51,0.49
PH_FIX,1573,1365,2938,0.54,0.46
PH_MUT,3581,3094,6675,0.54,0.46
PL_CAR,3265,2782,6047,0.54,0.46
PL_FIX,1498,1336,2834,0.53,0.47
PL_MUT,1895,1785,3680,0.51,0.49
SA_CAR,2170,2078,4248,0.51,0.49
SA_FIX,2247,1887,4134,0.54,0.46
SA_MUT,2241,1938,4179,0.54,0.46
SN_CAR,2230,1959,4189,0.53,0.47
SN_FIX,2244,1960,4204,0.53,0.47
SN_MUT,2184,1984,4168,0.52,0.48
SU_CAR,2207,1868,4075,0.54,0.46
SU_FIX,2184,2003,4187,0.52,0.48
SU_MUT,2267,2032,4299,0.53,0.47
UR_CAR,2625,2332,4957,0.53,0.47
UR_FIX,2107,1961,4068,0.52,0.48
UR_MUT,1926,1610,3536,0.54,0.46
VE_CAR,2255,1964,4219,0.53,0.47
VE_FIX,2214,2020,4234,0.52,0.48
VE_MUT,2189,1919,4108,0.53,0.47
VS_CAR,2229,1955,4184,0.53,0.47
VS_FIX,2178,1971,4149,0.52,0.48
VS_MUT,2251,1977,4228,0.53,0.47
