PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,5160,4506,9666,0.53,0.47
CE_RET,Ceres,Retrograde,1341,1264,2605,0.51,0.49
CE_STA,Ceres,Stationary,226,202,428,0.53,0.47
CH_DIR,Chiron,Direct,3908,3484,7392,0.53,0.47
CH_RET,Chiron,Retrograde,2504,2206,4710,0.53,0.47
CH_STA,Chiron,Stationary,315,282,597,0.53,0.47
JN_DIR,Juno,Direct,5015,4484,9499,0.53,0.47
JN_RET,Juno,Retrograde,1427,1258,2685,0.53,0.47
JN_STA,Juno,Stationary,285,230,515,0.55,0.45
JU_DIR,Jupiter,Direct,4462,3878,8340,0.54,0.46
JU_RET,Jupiter,Retrograde,1946,1818,3764,0.52,0.48
JU_STA,Jupiter,Stationary,319,276,595,0.54,0.46
MA_DIR,Mars,Direct,5961,5287,11248,0.53,0.47
MA_RET,Mars,Retrograde,602,564,1166,0.52,0.48
MA_STA,Mars,Stationary,164,121,285,0.58,0.42
ME_DIR,Mercury,Direct,5219,4653,9872,0.53,0.47
ME_RET,Mercury,Retrograde,1286,1144,2430,0.53,0.47
ME_STA,Mercury,Stationary,222,175,397,0.56,0.44
MO_DIR,Moon,Direct,6727,5972,12699,0.53,0.47
NE_DIR,Neptune,Direct,3430,2989,6419,0.53,0.47
NE_RET,Neptune,Retrograde,2635,2382,5017,0.53,0.47
NE_STA,Neptune,Stationary,662,601,1263,0.52,0.48
NN_DIR,NNode,Direct,6727,5972,12699,0.53,0.47
PA_DIR,Pallas,Direct,5071,4380,9451,0.54,0.46
PA_RET,Pallas,Retrograde,1450,1388,2838,0.51,0.49
PA_STA,Pallas,Stationary,206,204,410,0.5,0.5
PH_DIR,Pholus,Direct,3766,3301,7067,0.53,0.47
PH_RET,Pholus,Retrograde,2568,2324,4892,0.52,0.48
PH_STA,Pholus,Stationary,393,347,740,0.53,0.47
PL_DIR,Pluto,Direct,3421,3086,6507,0.53,0.47
PL_RET,Pluto,Retrograde,2614,2322,4936,0.53,0.47
PL_STA,Pluto,Stationary,692,564,1256,0.55,0.45
SA_DIR,Saturn,Direct,3996,3530,7526,0.53,0.47
SA_RET,Saturn,Retrograde,2335,2085,4420,0.53,0.47
SA_STA,Saturn,Stationary,396,357,753,0.53,0.47
SN_DIR,SNode,Direct,6727,5972,12699,0.53,0.47
SU_DIR,Sun,Direct,6727,5972,12699,0.53,0.47
UR_DIR,Uranus,Direct,3719,3239,6958,0.53,0.47
UR_RET,Uranus,Retrograde,2595,2337,4932,0.53,0.47
UR_STA,Uranus,Stationary,413,396,809,0.51,0.49
VE_DIR,Venus,Direct,6126,5424,11550,0.53,0.47
VE_RET,Venus,Retrograde,471,444,915,0.51,0.49
VE_STA,Venus,Stationary,130,104,234,0.56,0.44
VS_DIR,Vesta,Direct,5305,4682,9987,0.53,0.47
VS_RET,Vesta,Retrograde,1218,1100,2318,0.53,0.47
VS_STA,Vesta,Stationary,204,190,394,0.52,0.48
